FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
澎湖縣馬公市復興里10鄰復國路1號,10016,1001601,1001601-002,10鄰,復國路,,,,,,1號,119.56199896918,23.563107391485
澎湖縣馬公市復興里6鄰復國路2巷1號,10016,1001601,1001601-002,6鄰,復國路,,2巷,,,,1號,119.56266960478,23.563557715214
澎湖縣馬公市復興里5鄰復國路2號,10016,1001601,1001601-002,5鄰,復國路,,,,,,2號,119.56275616073,23.563291562375
澎湖縣馬公市復興里4鄰復國路2巷2號,10016,1001601,1001601-002,4鄰,復國路,,2巷,,,,2號,119.56312607564,23.563792342498
澎湖縣馬公市復興里6鄰復國路2巷3號,10016,1001601,1001601-002,6鄰,復國路,,2巷,,,,3號,119.56274269658,23.563591063879
澎湖縣馬公市復興里5鄰復國路4號,10016,1001601,1001601-002,5鄰,復國路,,,,,,4號,119.56270198402,23.563330857513
澎湖縣馬公市復興里4鄰復國路2巷4號,10016,1001601,1001601-002,4鄰,復國路,,2巷,,,,4號,119.56316149928,23.563843769224
澎湖縣馬公市復興里10鄰復國路5號,10016,1001601,1001601-002,10鄰,復國路,,,,,,5號,119.56170515866,23.563292928063
澎湖縣馬公市復興里6鄰復國路2巷5號,10016,1001601,1001601-002,6鄰,復國路,,2巷,,,,5號,119.56280301939,23.563614300302
澎湖縣馬公市復興里4鄰復國路2巷6號,10016,1001601,1001601-002,4鄰,復國路,,2巷,,,,6號,119.56321864303,23.563885565054
澎湖縣馬公市復興里11鄰復國路6號,10016,1001601,1001601-002,11鄰,復國路,,,,,,6號,119.56324750947,23.565956968935
澎湖縣馬公市復興里6鄰復國路6號,10016,1001601,1001601-002,6鄰,復國路,,,,,,6號,119.56259310648,23.563447704146
澎湖縣馬公市復興里10鄰復國路1巷6號,10016,1001601,1001601-002,10鄰,復國路,,1巷,,,,6號,119.56034764196,23.563708024474
澎湖縣馬公市復興里10鄰復國路7號,10016,1001601,1001601-002,10鄰,復國路,,,,,,7號,119.56152877266,23.563254903517
澎湖縣馬公市復興里6鄰復國路2巷7號,10016,1001601,1001601-002,6鄰,復國路,,2巷,,,,7號,119.56280923914,23.56367995629
澎湖縣馬公市復興里10鄰復國路1巷8號,10016,1001601,1001601-002,10鄰,復國路,,1巷,,,,8號,119.55997469666,23.56341795384
澎湖縣馬公市復興里10鄰復國路9號,10016,1001601,1001601-002,10鄰,復國路,,,,,,9號,119.56147465749,23.563262437789
澎湖縣馬公市復興里6鄰復國路2巷9號,10016,1001601,1001601-002,6鄰,復國路,,2巷,,,,9號,119.56292819291,23.563728011406
澎湖縣馬公市復興里10鄰復國路1巷10號,10016,1001601,1001601-002,10鄰,復國路,,1巷,,,,10號,119.55990466363,23.563405062909
澎湖縣馬公市復興里10鄰復國路11號,10016,1001601,1001601-002,10鄰,復國路,,,,,,11號,119.5615989003,23.563429100363
澎湖縣馬公市復興里6鄰復國路2巷11號,10016,1001601,1001601-002,6鄰,復國路,,2巷,,,,11號,119.56286138712,23.563776723556
澎湖縣馬公市復興里10鄰復國路13號,10016,1001601,1001601-002,10鄰,復國路,,,,,,13號,119.56181231887,23.563636104087
澎湖縣馬公市復興里7鄰復國路2巷13號,10016,1001601,1001601-002,7鄰,復國路,,2巷,,,,13號,119.56298301502,23.563854460805
澎湖縣馬公市復興里7鄰復國路2巷13之1號,10016,1001601,1001601-002,7鄰,復國路,,2巷,,,,13之1號,119.56293696172,23.563956369055
澎湖縣馬公市復興里10鄰復國路15號,10016,1001601,1001601-002,10鄰,復國路,,,,,,15號,119.56175597107,23.563630996455
澎湖縣馬公市復興里7鄰復國路2巷15號,10016,1001601,1001601-002,7鄰,復國路,,2巷,,,,15號,119.56308256716,23.563926820775
澎湖縣馬公市復興里10鄰復國路17號,10016,1001601,1001601-002,10鄰,復國路,,,,,,17號,119.56158153811,23.56364472126
澎湖縣馬公市復興里7鄰復國路2巷17號,10016,1001601,1001601-002,7鄰,復國路,,2巷,,,,17號,119.56314267463,23.564009487348
澎湖縣馬公市復興里10鄰復國路19號,10016,1001601,1001601-002,10鄰,復國路,,,,,,19號,119.56145063088,23.563635835946
澎湖縣馬公市復興里7鄰復國路2巷19號,10016,1001601,1001601-002,7鄰,復國路,,2巷,,,,19號,119.56325190267,23.564045002521
澎湖縣馬公市復興里7鄰復國路2巷21號,10016,1001601,1001601-002,7鄰,復國路,,2巷,,,,21號,119.56323884469,23.564174896116
