FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村1號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,1號,119.60128062474,23.666882572299
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村2號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,2號,119.60139503492,23.666844423045
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村3號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,3號,119.60127054682,23.666847732035
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村4號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,4號,119.60138058848,23.666803765346
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村5號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,5號,119.60124768951,23.666809932536
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村6號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,6號,119.60136565605,23.666766407556
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村7號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,7號,119.60123639425,23.666762378697
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村8號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,8號,119.60134578335,23.666729068364
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村9號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,9號,119.6012079508,23.666731868632
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村10號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,10號,119.60132785498,23.666694157234
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村11號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,11號,119.60120107584,23.666692633496
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村12號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,12號,119.60131345459,23.666651938079
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村13號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,13號,119.60118561933,23.666658475946
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村14號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,14號,119.601299087,23.66661677019
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村15號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,15號,119.60117012919,23.666618269242
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村16號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,16號,119.60128470365,23.666577557555
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村17號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,17號,119.60170597192,23.666931416952
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村18號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,18號,119.60174006997,23.666920574944
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村19號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,19號,119.60178432663,23.666905671665
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村20號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,20號,119.60182270981,23.666877155112
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村21號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,21號,119.60186195133,23.666865619186
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村22號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,22號,119.6018991938,23.666857721604
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村23號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,23號,119.60196961975,23.666806084208
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村24號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,24號,119.6019987205,23.66679600958
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村25號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,25號,119.60205614124,23.666784755004
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村26號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,26號,119.60208346827,23.666770032922
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村27號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,27號,119.60214070135,23.666758912042
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村28號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,28號,119.60217555734,23.666737622193
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村29號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,29號,119.60218488098,23.666878436876
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村30號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,30號,119.60212665227,23.666927873218
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村31號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,31號,119.60206155938,23.66694348238
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村32號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,32號,119.60201475001,23.666982747696
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村33號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,33號,119.60196411092,23.666977514878
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村34號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,34號,119.60190540187,23.666991005797
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村35號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,35號,119.60179919468,23.667055058947
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村36號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,36號,119.60173521983,23.667067834196
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村38號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,38號,119.60178296376,23.667226365749
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村39號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,39號,119.6018884619,23.667191205274
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村40號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,40號,119.60194721775,23.667165951129
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村41號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,41號,119.60199391177,23.6671449126
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村42號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,42號,119.60205273534,23.667133562351
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村43號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,43號,119.60210093412,23.667111119949
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村45號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,45號,119.60233710386,23.667261754439
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村46號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,46號,119.60227517405,23.667253657253
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村47號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,47號,119.60216217166,23.667298590954
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村48號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,48號,119.60205363973,23.667332379049
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村49號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,49號,119.60199486456,23.667352071727
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村50號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,50號,119.60192827084,23.66731339917
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村51號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,51號,119.60186501531,23.667344237225
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村52號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,52號,119.60181385539,23.667380583235
澎湖縣白沙鄉赤崁村22鄰赤崁漁港新村60號,10016,1001603,1001603-008,22鄰,赤崁漁港新村,,,,,,60號,119.60269299411,23.666807472828
