FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
基隆市中正區信義里7鄰信六路1號,10017,1001701,1001701-003,7鄰,信六路,,,,,,1號,121.74847494916,25.134616776372
基隆市中正區信義里7鄰信六路3號,10017,1001701,1001701-003,7鄰,信六路,,,,,,3號,121.74843242155,25.134652109028
基隆市中正區信義里7鄰信六路5號,10017,1001701,1001701-003,7鄰,信六路,,,,,,5號,121.74838015722,25.134684511699
基隆市中正區信義里7鄰信六路7號,10017,1001701,1001701-003,7鄰,信六路,,,,,,7號,121.74833485847,25.134704511194
基隆市中正區信義里7鄰信六路11號,10017,1001701,1001701-003,7鄰,信六路,,,,,,11號,121.74828611136,25.134728229456
基隆市中正區信義里7鄰信六路13號,10017,1001701,1001701-003,7鄰,信六路,,,,,,13號,121.74825497879,25.134745710873
基隆市中正區信義里7鄰信六路15號,10017,1001701,1001701-003,7鄰,信六路,,,,,,15號,121.74822386827,25.13476681229
基隆市中正區信義里7鄰信六路17號,10017,1001701,1001701-003,7鄰,信六路,,,,,,17號,121.74818673595,25.134792457968
基隆市中正區信義里18鄰信六路19號,10017,1001701,1001701-003,18鄰,信六路,,,,,,19號,121.74778107097,25.134993928173
基隆市中正區信義里18鄰信六路21號,10017,1001701,1001701-003,18鄰,信六路,,,,,,21號,121.74768004819,25.135031993295
基隆市中正區義重里3鄰信六路34巷1號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,1號,121.74787762928,25.135704554595
基隆市中正區義重里6鄰信六路2號,10017,1001701,1001701-004,6鄰,信六路,,,,,,2號,121.74859693546,25.134764025211
基隆市中正區義重里3鄰信六路34巷2號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,2號,121.74786268309,25.13572557435
基隆市中正區義重里3鄰信六路34巷3號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,3號,121.74793127886,25.135752943219
基隆市中正區義重里6鄰信六路4號,10017,1001701,1001701-004,6鄰,信六路,,,,,,4號,121.74856306688,25.134804459959
基隆市中正區義重里3鄰信六路34巷4號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,4號,121.74797317055,25.135777557991
基隆市中正區義重里3鄰信六路34巷5號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,5號,121.74793718799,25.13563221274
基隆市中正區義重里6鄰信六路6號,10017,1001701,1001701-004,6鄰,信六路,,,,,,6號,121.74854014504,25.134818568726
基隆市中正區義重里3鄰信六路34巷6號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,6號,121.74802344835,25.135679443666
基隆市中正區義重里3鄰信六路34巷7號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,7號,121.74809336358,25.135711771047
基隆市中正區義重里3鄰信六路34巷8號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,8號,121.74812400074,25.135726873212
基隆市中正區義重里3鄰信六路34巷9號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,9號,121.74814978411,25.135742902651
基隆市中正區義重里3鄰信六路34巷10號,10017,1001701,1001701-004,3鄰,信六路,,34巷,,,,10號,121.74820673751,25.135763830216
基隆市中正區義重里6鄰信六路10號,10017,1001701,1001701-004,6鄰,信六路,,,,,,10號,121.74847896264,25.134852190088
基隆市中正區義重里2鄰信六路34巷11號,10017,1001701,1001701-004,2鄰,信六路,,34巷,,,,11號,121.74817022715,25.13564746668
基隆市中正區義重里6鄰信六路12號,10017,1001701,1001701-004,6鄰,信六路,,,,,,12號,121.74841731352,25.134890598476
基隆市中正區義重里2鄰信六路34巷12號,10017,1001701,1001701-004,2鄰,信六路,,34巷,,,,12號,121.74808298385,25.135603310228
基隆市中正區義重里2鄰信六路34巷13號,10017,1001701,1001701-004,2鄰,信六路,,34巷,,,,13號,121.74803351242,25.135573317119
基隆市中正區義重里6鄰信六路16號,10017,1001701,1001701-004,6鄰,信六路,,,,,,16號,121.7483516613,25.134923068759
基隆市中正區義重里6鄰信六路18號,10017,1001701,1001701-004,6鄰,信六路,,,,,,18號,121.74828279423,25.134965034358
基隆市中正區義重里1鄰信六路22號,10017,1001701,1001701-004,1鄰,信六路,,,,,,22號,121.74792993149,25.135158925854
基隆市中正區義重里1鄰信六路26號,10017,1001701,1001701-004,1鄰,信六路,,,,,,26號,121.74785365288,25.135203636985
基隆市中正區義重里1鄰信六路28號,10017,1001701,1001701-004,1鄰,信六路,,,,,,28號,121.74779218468,25.13523924561
基隆市中正區義重里1鄰信六路30號,10017,1001701,1001701-004,1鄰,信六路,,,,,,30號,121.74774937509,25.135277197537
基隆市中正區義重里1鄰信六路32號,10017,1001701,1001701-004,1鄰,信六路,,,,,,32號,121.74771175657,25.135304470543
基隆市中正區港通里13鄰信六路35號,10017,1001701,1001701-005,13鄰,信六路,,,,,,35號,121.74711278341,25.135383884481
基隆市中正區港通里12鄰信六路36號,10017,1001701,1001701-005,12鄰,信六路,,,,,,36號,121.7475932131,25.135328423412
基隆市中正區港通里13鄰信六路37號,10017,1001701,1001701-005,13鄰,信六路,,,,,,37號,121.74707201787,25.135436730681
基隆市中正區港通里13鄰信六路39號,10017,1001701,1001701-005,13鄰,信六路,,,,,,39號,121.74703675484,25.135453465316
基隆市中正區港通里12鄰信六路40號,10017,1001701,1001701-005,12鄰,信六路,,,,,,40號,121.74753206246,25.135385263535
基隆市中正區港通里12鄰信六路40之1號,10017,1001701,1001701-005,12鄰,信六路,,,,,,40之1號,121.74753206246,25.135385263535
基隆市中正區港通里12鄰信六路40之2號,10017,1001701,1001701-005,12鄰,信六路,,,,,,40之2號,121.74753206246,25.135385263535
基隆市中正區港通里12鄰信六路40之3號,10017,1001701,1001701-005,12鄰,信六路,,,,,,40之3號,121.74753206246,25.135385263535
