FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹市香山區中埔里2鄰育德街15巷1號,10018,1001803,1001803-007,2鄰,育德街,,15巷,,,,1號,120.94730519427,24.795594422179
新竹市香山區中埔里2鄰育德街7巷1號,10018,1001803,1001803-007,2鄰,育德街,,7巷,,,,1號,120.94760591405,24.795719483963
新竹市香山區中埔里2鄰育德街7巷2號,10018,1001803,1001803-007,2鄰,育德街,,7巷,,,,2號,120.94749822458,24.795674393373
新竹市香山區中埔里2鄰育德街15巷2號,10018,1001803,1001803-007,2鄰,育德街,,15巷,,,,2號,120.94716831832,24.795571802355
新竹市香山區中埔里2鄰育德街15巷3號,10018,1001803,1001803-007,2鄰,育德街,,15巷,,,,3號,120.94733439483,24.795539086971
新竹市香山區中埔里2鄰育德街7巷3號,10018,1001803,1001803-007,2鄰,育德街,,7巷,,,,3號,120.94763966762,24.795655934238
新竹市香山區中埔里2鄰育德街15巷5號,10018,1001803,1001803-007,2鄰,育德街,,15巷,,,,5號,120.94736141856,24.795485827575
新竹市香山區中埔里2鄰育德街7巷5號,10018,1001803,1001803-007,2鄰,育德街,,7巷,,,,5號,120.94766432092,24.795594548194
新竹市香山區中埔里2鄰育德街5號,10018,1001803,1001803-007,2鄰,育德街,,,,,,5號,120.94761040004,24.795871076186
新竹市香山區中埔里2鄰育德街15巷6號,10018,1001803,1001803-007,2鄰,育德街,,15巷,,,,6號,120.94720425664,24.795487848801
新竹市香山區中埔里2鄰育德街6號,10018,1001803,1001803-007,2鄰,育德街,,,,,,6號,120.94755198436,24.796016506909
新竹市香山區中埔里2鄰育德街7巷6號,10018,1001803,1001803-007,2鄰,育德街,,7巷,,,,6號,120.94752514937,24.795621133913
新竹市香山區中埔里2鄰育德街7號,10018,1001803,1001803-007,2鄰,育德街,,,,,,7號,120.94754750536,24.795848482588
新竹市香山區中埔里2鄰育德街15巷7號,10018,1001803,1001803-007,2鄰,育德街,,15巷,,,,7號,120.94738389261,24.795432566574
新竹市香山區中埔里2鄰育德街15巷8號,10018,1001803,1001803-007,2鄰,育德街,,15巷,,,,8號,120.94724474372,24.795405883138
新竹市香山區中埔里2鄰育德街8號,10018,1001803,1001803-007,2鄰,育德街,,,,,,8號,120.94748464056,24.795989848844
新竹市香山區中埔里2鄰育德街7巷8號,10018,1001803,1001803-007,2鄰,育德街,,7巷,,,,8號,120.9475498965,24.795571936568
新竹市香山區中埔里2鄰育德街9號,10018,1001803,1001803-007,2鄰,育德街,,,,,,9號,120.94743536762,24.795797250928
新竹市香山區中埔里2鄰育德街7巷10號,10018,1001803,1001803-007,2鄰,育德街,,7巷,,,,10號,120.94758582336,24.795514617369
新竹市香山區中埔里2鄰育德街10號,10018,1001803,1001803-007,2鄰,育德街,,,,,,10號,120.94742174927,24.79595912943
新竹市香山區中埔里2鄰育德街11號,10018,1001803,1001803-007,2鄰,育德街,,,,,,11號,120.94737474781,24.795774748342
新竹市香山區中埔里2鄰育德街12號,10018,1001803,1001803-007,2鄰,育德街,,,,,,12號,120.94735222876,24.795934456838
新竹市香山區中埔里2鄰育德街13號,10018,1001803,1001803-007,2鄰,育德街,,,,,,13號,120.94731412977,24.795748092564
新竹市香山區中埔里2鄰育德街15號,10018,1001803,1001803-007,2鄰,育德街,,,,,,15號,120.9472647879,24.795719364151
新竹市香山區中埔里2鄰育德街16號,10018,1001803,1001803-007,2鄰,育德街,,,,,,16號,120.94729388632,24.795905815555
新竹市香山區中埔里2鄰育德街17號,10018,1001803,1001803-007,2鄰,育德街,,,,,,17號,120.9470750191,24.795645172132
新竹市香山區中埔里2鄰育德街18號,10018,1001803,1001803-007,2鄰,育德街,,,,,,18號,120.94723781619,24.79588322423
新竹市香山區中埔里2鄰育德街19號,10018,1001803,1001803-007,2鄰,育德街,,,,,,19號,120.94699778576,24.79561679491
新竹市香山區中埔里2鄰育德街20號,10018,1001803,1001803-007,2鄰,育德街,,,,,,20號,120.94718164802,24.795858646552
新竹市香山區中埔里2鄰育德街21號,10018,1001803,1001803-007,2鄰,育德街,,,,,,21號,120.94693944444,24.795586076904
新竹市香山區中埔里2鄰育德街22號,10018,1001803,1001803-007,2鄰,育德街,,,,,,22號,120.94712112716,24.795836053613
新竹市香山區中埔里2鄰育德街23號,10018,1001803,1001803-007,2鄰,育德街,,,,,,23號,120.94687654914,24.795565559608
