FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹市東區金山里5鄰金山東街33號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,33號,121.02760617133,24.778579187711
新竹市東區金山里5鄰金山東街35號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,35號,121.02761053671,24.778643019461
新竹市東區金山里5鄰金山東街37號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,37號,121.02750246097,24.778704524455
新竹市東區金山里5鄰金山東街39號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,39號,121.02732661777,24.77864704415
新竹市東區金山里5鄰金山東街41號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,41號,121.02728735557,24.778638112947
新竹市東區金山里5鄰金山東街43號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,43號,121.02724235671,24.778625029598
新竹市東區金山里5鄰金山東街53號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,53號,121.02706789415,24.778548678859
新竹市東區金山里5鄰金山東街55號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,55號,121.02698473581,24.778595101129
新竹市東區金山里5鄰金山東街59號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,59號,121.02687040527,24.778543658385
新竹市東區金山里5鄰金山東街61號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,61號,121.02680246476,24.778536447641
新竹市東區金山里5鄰金山東街63號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,63號,121.02674619203,24.778522192436
新竹市東區金山里5鄰金山東街65號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,65號,121.02667142506,24.778501349591
新竹市東區金山里5鄰金山東街67號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,67號,121.0266178241,24.778494858501
新竹市東區金山里5鄰金山東街69號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,69號,121.02658350361,24.77847184154
新竹市東區金山里5鄰金山東街71號,10018,1001801,1001801-045,5鄰,金山東街,,,,,,71號,121.02644583807,24.778435841603
