FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義市東區朝陽里10鄰南門街1號,10020,1002001,1002001-058,10鄰,南門街,,,,,,1號,120.45642999783,23.474730001369
嘉義市東區朝陽里10鄰南門街2之1號,10020,1002001,1002001-058,10鄰,南門街,,,,,,2之1號,120.45652999805,23.474710005556
嘉義市東區朝陽里10鄰南門街5號,10020,1002001,1002001-058,10鄰,南門街,,,,,,5號,120.4563199991,23.47520000403
嘉義市東區朝陽里10鄰南門街6號,10020,1002001,1002001-058,10鄰,南門街,,,,,,6號,120.45653999538,23.474750006794
嘉義市東區朝陽里10鄰南門街7號,10020,1002001,1002001-058,10鄰,南門街,,,,,,7號,120.45631999545,23.475220005271
嘉義市東區朝陽里10鄰南門街8號,10020,1002001,1002001-058,10鄰,南門街,,,,,,8號,120.45652000042,23.474780006709
嘉義市東區朝陽里10鄰南門街9號,10020,1002001,1002001-058,10鄰,南門街,,,,,,9號,120.45630999518,23.475250003887
嘉義市東區朝陽里10鄰南門街10號,10020,1002001,1002001-058,10鄰,南門街,,,,,,10號,120.45651000023,23.474810005341
嘉義市東區朝陽里10鄰南門街11號,10020,1002001,1002001-058,10鄰,南門街,,,,,,11號,120.4563000047,23.475280002536
嘉義市東區朝陽里10鄰南門街12號,10020,1002001,1002001-058,10鄰,南門街,,,,,,12號,120.45651000461,23.474840002725
嘉義市東區朝陽里10鄰南門街13號,10020,1002001,1002001-058,10鄰,南門街,,,,,,13號,120.45629999739,23.475320005018
嘉義市東區朝陽里10鄰南門街14號,10020,1002001,1002001-058,10鄰,南門街,,,,,,14號,120.45648999697,23.474940002471
嘉義市東區朝陽里10鄰南門街16號,10020,1002001,1002001-058,10鄰,南門街,,,,,,16號,120.45647999676,23.474970001099
嘉義市東區朝陽里10鄰南門街18號,10020,1002001,1002001-058,10鄰,南門街,,,,,,18號,120.45648000109,23.475000007512
嘉義市東區朝陽里10鄰南門街19號,10020,1002001,1002001-058,10鄰,南門街,,,,,,19號,120.4562799993,23.475420004761
嘉義市東區朝陽里10鄰南門街20號,10020,1002001,1002001-058,10鄰,南門街,,,,,,20號,120.45647000088,23.47503000614
嘉義市東區朝陽里10鄰南門街21號,10020,1002001,1002001-058,10鄰,南門街,,,,,,21號,120.456269999,23.475450003373
嘉義市東區朝陽里10鄰南門街22號,10020,1002001,1002001-058,10鄰,南門街,,,,,,22號,120.45646000066,23.475060004767
嘉義市東區朝陽里11鄰南門街23號,10020,1002001,1002001-058,11鄰,南門街,,,,,,23號,120.45621000204,23.475710000055
嘉義市東區朝陽里10鄰南門街24號,10020,1002001,1002001-058,10鄰,南門街,,,,,,24號,120.456490001,23.47508000224
嘉義市東區朝陽里11鄰南門街25號,10020,1002001,1002001-058,11鄰,南門街,,,,,,25號,120.45618000162,23.475850003517
嘉義市東區朝陽里10鄰南門街26號,10020,1002001,1002001-058,10鄰,南門街,,,,,,26號,120.45644999933,23.475150007153
嘉義市東區朝陽里11鄰南門街27號,10020,1002001,1002001-058,11鄰,南門街,,,,,,27號,120.45616999574,23.475910008493
嘉義市東區朝陽里10鄰南門街28號,10020,1002001,1002001-058,10鄰,南門街,,,,,,28號,120.45642999886,23.475210004402
嘉義市東區朝陽里10鄰南門街30號,10020,1002001,1002001-058,10鄰,南門街,,,,,,30號,120.45642000297,23.475270000407
嘉義市東區朝陽里10鄰南門街32號,10020,1002001,1002001-058,10鄰,南門街,,,,,,32號,120.45641999821,23.475350005407
嘉義市東區朝陽里10鄰南門街34號,10020,1002001,1002001-058,10鄰,南門街,,,,,,34號,120.45642000257,23.475380002788
嘉義市東區朝陽里10鄰南門街36號,10020,1002001,1002001-058,10鄰,南門街,,,,,,36號,120.45641999713,23.475410000135
嘉義市東區朝陽里11鄰南門街38號,10020,1002001,1002001-058,11鄰,南門街,,,,,,38號,120.45631000485,23.475680008295
嘉義市東區朝陽里11鄰南門街40號,10020,1002001,1002001-058,11鄰,南門街,,,,,,40號,120.45631999423,23.475710004372
嘉義市東區朝陽里11鄰南門街42號,10020,1002001,1002001-058,11鄰,南門街,,,,,,42號,120.45631000371,23.475740003019
嘉義市東區朝陽里11鄰南門街44號,10020,1002001,1002001-058,11鄰,南門街,,,,,,44號,120.45630000155,23.475780006767
嘉義市東區朝陽里11鄰南門街46號,10020,1002001,1002001-058,11鄰,南門街,,,,,,46號,120.45629000123,23.475810005378
嘉義市東區朝陽里11鄰南門街48號,10020,1002001,1002001-058,11鄰,南門街,,,,,,48號,120.45627000239,23.475860006493
嘉義市東區朝陽里11鄰南門街50號,10020,1002001,1002001-058,11鄰,南門街,,,,,,50號,120.45625999659,23.475920002447
嘉義市東區朝陽里11鄰南門街52號,10020,1002001,1002001-058,11鄰,南門街,,,,,,52號,120.45624000018,23.47601000607
嘉義市東區朝陽里11鄰南門街54號,10020,1002001,1002001-058,11鄰,南門街,,,,,,54號,120.45621999517,23.476040005903
嘉義市東區朝陽里11鄰南門街56號,10020,1002001,1002001-058,11鄰,南門街,,,,,,56號,120.45621000278,23.476080000647
嘉義市東區朝陽里11鄰南門街58號,10020,1002001,1002001-058,11鄰,南門街,,,,,,58號,120.45620000238,23.47611000828
嘉義市東區朝陽里11鄰南門街60號,10020,1002001,1002001-058,11鄰,南門街,,,,,,60號,120.4561999969,23.476140005623
