FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義市西區重興里6鄰坤明街53巷1號,10020,1002002,1002002-005,6鄰,坤明街,,53巷,,,,1號,120.43863999803,23.48595000229
嘉義市西區重興里6鄰坤明街53巷2號,10020,1002002,1002002-005,6鄰,坤明街,,53巷,,,,2號,120.43849000242,23.485990006168
嘉義市西區重興里6鄰坤明街53巷3號,10020,1002002,1002002-005,6鄰,坤明街,,53巷,,,,3號,120.43861999677,23.485920005228
嘉義市西區重興里6鄰坤明街53巷5號,10020,1002002,1002002-005,6鄰,坤明街,,53巷,,,,5號,120.43859999873,23.485880003068
嘉義市西區重興里6鄰坤明街53巷7號,10020,1002002,1002002-005,6鄰,坤明街,,53巷,,,,7號,120.43859000287,23.485850005921
嘉義市西區重興里6鄰坤明街53巷9號,10020,1002002,1002002-005,6鄰,坤明街,,53巷,,,,9號,120.43857000168,23.485819999823
嘉義市西區重興里6鄰坤明街53巷10號,10020,1002002,1002002-005,6鄰,坤明街,,53巷,,,,10號,120.43842999541,23.485880004694
嘉義市西區重興里6鄰坤明街15號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,15號,120.43928000432,23.485560002767
嘉義市西區重興里6鄰坤明街17號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,17號,120.43924875999,23.485598113856
嘉義市西區重興里6鄰坤明街20號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,20號,120.43956023201,23.485550870042
嘉義市西區重興里6鄰坤明街22號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,22號,120.439519988,23.48557573811
嘉義市西區重興里6鄰坤明街23號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,23號,120.43912000476,23.485660001928
嘉義市西區重興里6鄰坤明街26號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,26號,120.43949910227,23.485606725801
嘉義市西區重興里6鄰坤明街28號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,28號,120.4394679269,23.485640114554
嘉義市西區重興里6鄰坤明街30號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,30號,120.43945000237,23.485670002212
嘉義市西區重興里6鄰坤明街32號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,32號,120.43938484058,23.485679186024
嘉義市西區重興里6鄰坤明街36號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,36號,120.43935102191,23.485712565245
嘉義市西區重興里6鄰坤明街38號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,38號,120.43930951506,23.485735080946
嘉義市西區重興里6鄰坤明街40號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,40號,120.43927054325,23.485760043822
嘉義市西區重興里6鄰坤明街52號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,52號,120.43897999784,23.48591000503
嘉義市西區重興里6鄰坤明街56號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,56號,120.43895000127,23.485910005418
嘉義市西區重興里6鄰坤明街57號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,57號,120.43860306741,23.485976083022
嘉義市西區重興里6鄰坤明街58號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,58號,120.4389099965,23.485950008266
嘉義市西區重興里6鄰坤明街59號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,59號,120.43857580547,23.485991507194
嘉義市西區重興里6鄰坤明街60號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,60號,120.43887000119,23.485960004842
嘉義市西區重興里6鄰坤明街62號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,62號,120.43878999696,23.485930008494
嘉義市西區重興里6鄰坤明街66號,10020,1002002,1002002-005,6鄰,坤明街,,,,,,66號,120.43863999935,23.486100006672
