FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義市東區興村里6鄰軍輝路281巷1號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,1號,120.45848816402,23.453771506865
嘉義市東區興村里6鄰軍輝路281巷2號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,2號,120.45840729227,23.453897825909
嘉義市東區興村里6鄰軍輝路281巷3號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,3號,120.4584493956,23.45374979076
嘉義市東區興村里6鄰軍輝路281巷5號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,5號,120.45841063639,23.453725817193
嘉義市東區興村里6鄰軍輝路281巷6號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,6號,120.45837380872,23.453876218429
嘉義市東區興村里6鄰軍輝路281巷7號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,7號,120.45836668025,23.45370417336
嘉義市東區興村里6鄰軍輝路281巷8號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,8號,120.45833503991,23.453854592594
嘉義市東區興村里6鄰軍輝路281巷9號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,9號,120.45832595289,23.453682811623
嘉義市東區興村里6鄰軍輝路281巷10號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,10號,120.45829627112,23.453832966749
嘉義市東區興村里6鄰軍輝路281巷11號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,11號,120.45828464934,23.453658738892
嘉義市東區興村里6鄰軍輝路281巷12號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,12號,120.45826269967,23.453808920857
嘉義市東區興村里6鄰軍輝路281巷13號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,13號,120.45824071276,23.453632309225
嘉義市東區興村里6鄰軍輝路281巷15號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,15號,120.4582174966,23.453613085145
嘉義市東區興村里6鄰軍輝路281巷16號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,16號,120.45822393091,23.453787294994
嘉義市東區興村里6鄰軍輝路281巷17號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,17號,120.45818067656,23.453593633224
嘉義市東區興村里6鄰軍輝路281巷18號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,18號,120.45818519163,23.453758445274
嘉義市東區興村里6鄰軍輝路281巷19號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,19號,120.45814191781,23.453569569293
嘉義市東區興村里6鄰軍輝路281巷20號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,20號,120.45814907509,23.45373448082
嘉義市東區興村里6鄰軍輝路281巷21號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,21號,120.4581006335,23.453540801014
嘉義市東區興村里6鄰軍輝路281巷22號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,22號,120.45811031632,23.453710416881
嘉義市東區興村里6鄰軍輝路281巷23號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,23號,120.45806454652,23.453509612692
嘉義市東區興村里6鄰軍輝路281巷25號,10020,1002001,1002001-054,6鄰,軍輝路,,281巷,,,,25號,120.45802058092,23.453490316514
