FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市北投區東華里1鄰公舘路401號,63,6301200,6301200-012,1鄰,公舘路,,,,,,401號,121.50304533198,25.122630960485
臺北市北投區東華里1鄰公舘路403號,63,6301200,6301200-012,1鄰,公舘路,,,,,,403號,121.50295850245,25.122374020046
臺北市北投區東華里1鄰公舘路405號,63,6301200,6301200-012,1鄰,公舘路,,,,,,405號,121.5029085611,25.122165191057
臺北市北投區八仙里9鄰公舘路423巷8弄1號,63,6301200,6301200-018,9鄰,公舘路,,423巷,8弄,,,1號,121.50330537716,25.120196857324
臺北市北投區八仙里9鄰公舘路423巷8弄3號,63,6301200,6301200-018,9鄰,公舘路,,423巷,8弄,,,3號,121.5032380723,25.120142872605
臺北市北投區八仙里9鄰公舘路423巷8弄5號,63,6301200,6301200-018,9鄰,公舘路,,423巷,8弄,,,5號,121.50316818903,25.120091252918
臺北市北投區八仙里9鄰公舘路423巷8弄7號,63,6301200,6301200-018,9鄰,公舘路,,423巷,8弄,,,7號,121.50310605041,25.120039624969
臺北市北投區八仙里9鄰公舘路423巷8弄9號,63,6301200,6301200-018,9鄰,公舘路,,423巷,8弄,,,9號,121.50303355044,25.119978579823
臺北市北投區八仙里9鄰公舘路423巷10號,63,6301200,6301200-018,9鄰,公舘路,,423巷,,,,10號,121.50346043003,25.120252918394
臺北市北投區八仙里9鄰公舘路423巷8弄11號,63,6301200,6301200-018,9鄰,公舘路,,423巷,8弄,,,11號,121.50297146012,25.11993872418
臺北市北投區八仙里16鄰公舘路423巷11號,63,6301200,6301200-018,16鄰,公舘路,,423巷,,,,11號,121.50336003964,25.120747272114
臺北市北投區八仙里9鄰公舘路423巷12號,63,6301200,6301200-018,9鄰,公舘路,,423巷,,,,12號,121.5035658784,25.120163002353
臺北市北投區八仙里9鄰公舘路423巷12之1號,63,6301200,6301200-018,9鄰,公舘路,,423巷,,,,12之1號,121.50364556294,25.120087320667
臺北市北投區八仙里16鄰公舘路423巷13號,63,6301200,6301200-018,16鄰,公舘路,,423巷,,,,13號,121.50345926496,25.120743016996
臺北市北投區八仙里9鄰公舘路423巷8弄13號,63,6301200,6301200-018,9鄰,公舘路,,423巷,8弄,,,13號,121.50290935055,25.119894155953
臺北市北投區八仙里16鄰公舘路423巷15號,63,6301200,6301200-018,16鄰,公舘路,,423巷,,,,15號,121.50345456882,25.120644817208
臺北市北投區八仙里9鄰公舘路423巷8弄15號,63,6301200,6301200-018,9鄰,公舘路,,423巷,8弄,,,15號,121.50282909638,25.119833146037
臺北市北投區八仙里16鄰公舘路423巷17號,63,6301200,6301200-018,16鄰,公舘路,,423巷,,,,17號,121.50333370775,25.12063736423
臺北市北投區八仙里9鄰公舘路423巷8弄17號,63,6301200,6301200-018,9鄰,公舘路,,423巷,8弄,,,17號,121.50276671745,25.119717871262
臺北市北投區八仙里16鄰公舘路423巷19號,63,6301200,6301200-018,16鄰,公舘路,,423巷,,,,19號,121.50364831436,25.120526325476
