FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市中山區集英里13鄰天祥路48巷1號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,1號,121.52086201882,25.061854596863
臺北市中山區集英里12鄰天祥路33巷1號,63,6300400,6300400-008,12鄰,天祥路,,33巷,,,,1號,121.5211618601,25.061462403834
臺北市中山區集英里14鄰天祥路47巷1號,63,6300400,6300400-008,14鄰,天祥路,,47巷,,,,1號,121.52114517316,25.062217858775
臺北市中山區集英里22鄰天祥路86巷6弄1號,63,6300400,6300400-008,22鄰,天祥路,,86巷,6弄,,,1號,121.52001033146,25.064084110602
臺北市中山區集英里23鄰天祥路86巷10弄1號,63,6300400,6300400-008,23鄰,天祥路,,86巷,10弄,,,1號,121.51966423251,25.063997145174
臺北市中山區集英里22鄰天祥路86巷1號,63,6300400,6300400-008,22鄰,天祥路,,86巷,,,,1號,121.5203238139,25.064335960719
臺北市中山區集英里9鄰天祥路16巷13弄1號,63,6300400,6300400-008,9鄰,天祥路,,16巷,13弄,,,1號,121.52057887162,25.061319042708
臺北市中山區集英里9鄰天祥路1號,63,6300400,6300400-008,9鄰,天祥路,,,,,,1號,121.52114509601,25.060629704701
臺北市中山區集英里22鄰天祥路86巷1之1號,63,6300400,6300400-008,22鄰,天祥路,,86巷,,,,1之1號,121.52022288378,25.064322239619
臺北市中山區集英里20鄰天祥路61巷2號,63,6300400,6300400-008,20鄰,天祥路,,61巷,,,,2號,121.52100834998,25.063327960377
臺北市中山區集英里22鄰天祥路86巷6弄2號,63,6300400,6300400-008,22鄰,天祥路,,86巷,6弄,,,2號,121.519925962,25.064074583517
臺北市中山區集英里13鄰天祥路48巷2號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2號,121.52079581094,25.061740055269
臺北市中山區集英里12鄰天祥路33巷2號,63,6300400,6300400-008,12鄰,天祥路,,33巷,,,,2號,121.52121193599,25.061355281596
臺北市中山區集英里16鄰天祥路60巷2號,63,6300400,6300400-008,16鄰,天祥路,,60巷,,,,2號,121.52074558696,25.062126479184
臺北市中山區集英里14鄰天祥路47巷2號,63,6300400,6300400-008,14鄰,天祥路,,47巷,,,,2號,121.52123512028,25.062126323491
臺北市中山區集英里9鄰天祥路2號,63,6300400,6300400-008,9鄰,天祥路,,,,,,2號,121.52093312722,25.060601134303
臺北市中山區集英里9鄰天祥路2之1號,63,6300400,6300400-008,9鄰,天祥路,,,,,,2之1號,121.52092932052,25.060556431635
臺北市中山區集英里13鄰天祥路48巷2之1號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2之1號,121.52090706461,25.061725111795
臺北市中山區集英里13鄰天祥路48巷2之2號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2之2號,121.52086761246,25.061726487031
臺北市中山區集英里13鄰天祥路48巷2之3號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2之3號,121.52076299038,25.061734572972
臺北市中山區集英里13鄰天祥路48巷2之4號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2之4號,121.52073443676,25.061734952976
臺北市中山區集英里13鄰天祥路48巷2之5號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2之5號,121.52070934103,25.061735040979
臺北市中山區集英里13鄰天祥路48巷2之6號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2之6號,121.52083668642,25.061679134959
臺北市中山區集英里13鄰天祥路48巷2之7號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2之7號,121.52083659104,25.061656574154
臺北市中山區集英里13鄰天祥路48巷2之8號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2之8號,121.52068235444,25.061735659236
臺北市中山區集英里13鄰天祥路48巷2之9號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,2之9號,121.5206563678,25.061736012168
臺北市中山區集英里22鄰天祥路86巷6弄3號,63,6300400,6300400-008,22鄰,天祥路,,86巷,6弄,,,3號,121.5200180061,25.064028452789
臺北市中山區集英里23鄰天祥路86巷10弄3號,63,6300400,6300400-008,23鄰,天祥路,,86巷,10弄,,,3號,121.51964444529,25.063951703947
臺北市中山區集英里13鄰天祥路48巷3號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,3號,121.52079482515,25.061856213834
臺北市中山區集英里12鄰天祥路33巷3號,63,6300400,6300400-008,12鄰,天祥路,,33巷,,,,3號,121.52122248999,25.061460286111
臺北市中山區集英里11鄰天祥路16巷3號,63,6300400,6300400-008,11鄰,天祥路,,16巷,,,,3號,121.52071562878,25.061191881372
臺北市中山區集英里14鄰天祥路47巷3號,63,6300400,6300400-008,14鄰,天祥路,,47巷,,,,3號,121.52119588419,25.062216281441
臺北市中山區集英里9鄰天祥路3號,63,6300400,6300400-008,9鄰,天祥路,,,,,,3號,121.52114668424,25.060663075894
臺北市中山區集英里9鄰天祥路16巷13弄3號,63,6300400,6300400-008,9鄰,天祥路,,16巷,13弄,,,3號,121.52060211632,25.061350044854
臺北市中山區集英里22鄰天祥路86巷6弄4號,63,6300400,6300400-008,22鄰,天祥路,,86巷,6弄,,,4號,121.51993164845,25.064017533319
臺北市中山區集英里12鄰天祥路33巷4號,63,6300400,6300400-008,12鄰,天祥路,,33巷,,,,4號,121.52126258933,25.061354210018
臺北市中山區集英里16鄰天祥路60巷4號,63,6300400,6300400-008,16鄰,天祥路,,60巷,,,,4號,121.52067294996,25.062130038169
臺北市中山區集英里14鄰天祥路47巷4號,63,6300400,6300400-008,14鄰,天祥路,,47巷,,,,4號,121.52127212774,25.06212574218
臺北市中山區集英里9鄰天祥路16巷4號,63,6300400,6300400-008,9鄰,天祥路,,16巷,,,,4號,121.52076225901,25.061010497448
臺北市中山區集英里9鄰天祥路5號,63,6300400,6300400-008,9鄰,天祥路,,,,,,5號,121.52115055617,25.060744269776
臺北市中山區集英里11鄰天祥路16巷5號,63,6300400,6300400-008,11鄰,天祥路,,16巷,,,,5號,121.52067378188,25.061217577538
臺北市中山區集英里12鄰天祥路33巷5號,63,6300400,6300400-008,12鄰,天祥路,,33巷,,,,5號,121.52127894775,25.06145831843
臺北市中山區集英里13鄰天祥路48巷5號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,5號,121.52073869172,25.061857575315
臺北市中山區集英里14鄰天祥路47巷5號,63,6300400,6300400-008,14鄰,天祥路,,47巷,,,,5號,121.52124794302,25.062214663246
臺北市中山區集英里22鄰天祥路86巷5號,63,6300400,6300400-008,22鄰,天祥路,,86巷,,,,5號,121.51966783248,25.064164440677
臺北市中山區集英里22鄰天祥路86巷6弄5號,63,6300400,6300400-008,22鄰,天祥路,,86巷,6弄,,,5號,121.52002533481,25.063975378213
臺北市中山區集英里23鄰天祥路86巷10弄5號,63,6300400,6300400-008,23鄰,天祥路,,86巷,10弄,,,5號,121.51965209641,25.063920981748
臺北市中山區集英里20鄰天祥路61巷6號,63,6300400,6300400-008,20鄰,天祥路,,61巷,,,,6號,121.52107578102,25.063330721078
臺北市中山區集英里22鄰天祥路86巷6弄6號,63,6300400,6300400-008,22鄰,天祥路,,86巷,6弄,,,6號,121.51993694505,25.063964402666
臺北市中山區集英里17鄰天祥路60巷6號,63,6300400,6300400-008,17鄰,天祥路,,60巷,,,,6號,121.52063308389,25.06213200162
臺北市中山區集英里14鄰天祥路47巷6號,63,6300400,6300400-008,14鄰,天祥路,,47巷,,,,6號,121.52135564801,25.062108214386
臺北市中山區集英里13鄰天祥路48巷6號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,6號,121.52058891598,25.061746892747
臺北市中山區集英里12鄰天祥路33巷6號,63,6300400,6300400-008,12鄰,天祥路,,33巷,,,,6號,121.5213028662,25.061353355412
臺北市中山區集英里9鄰天祥路6號,63,6300400,6300400-008,9鄰,天祥路,,,,,,6號,121.52090427307,25.060661651352
臺北市中山區集英里9鄰天祥路16巷6號,63,6300400,6300400-008,9鄰,天祥路,,16巷,,,,6號,121.52071845629,25.061035406015
臺北市中山區集英里13鄰天祥路48巷6之1號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,6之1號,121.52055321202,25.061748651994
臺北市中山區集英里14鄰天祥路47巷7號,63,6300400,6300400-008,14鄰,天祥路,,47巷,,,,7號,121.52129726659,25.06221312686
臺北市中山區集英里13鄰天祥路48巷7號,63,6300400,6300400-008,13鄰,天祥路,,48巷,,,,7號,121.52070715628,25.061858335922
臺北市中山區集英里12鄰天祥路33巷7號,63,6300400,6300400-008,12鄰,天祥路,,33巷,,,,7號,121.52136565109,25.061455296591
臺北市中山區集英里11鄰天祥路16巷7號,63,6300400,6300400-008,11鄰,天祥路,,16巷,,,,7號,121.5206514992,25.061231279021
臺北市中山區集英里22鄰天祥路86巷6弄7號,63,6300400,6300400-008,22鄰,天祥路,,86巷,6弄,,,7號,121.520031711,25.063929114133
臺北市中山區集英里23鄰天祥路86巷10弄7號,63,6300400,6300400-008,23鄰,天祥路,,86巷,10弄,,,7號,121.5196588801,25.063893747418
臺北市中山區集英里22鄰天祥路86巷7號,63,6300400,6300400-008,22鄰,天祥路,,86巷,,,,7號,121.51961367587,25.064157696653
臺北市中山區集英里9鄰天祥路7號,63,6300400,6300400-008,9鄰,天祥路,,,,,,7號,121.52115195942,25.060773741493
臺北市中山區集英里9鄰天祥路8號,63,6300400,6300400-008,9鄰,天祥路,,,,,,8號,121.52090648464,25.060720569795
臺北市中山區集英里9鄰天祥路16巷8號,63,6300400,6300400-008,9鄰,天祥路,,16巷,,,,8號,121.52067286218,25.061079695084
臺北市中山區集英里20鄰天祥路61巷8號,63,6300400,6300400-008,20鄰,天祥路,,61巷,,,,8號,121.52120824831,25.063323087876
臺北市中山區集英里23鄰天祥路86巷8號,63,6300400,6300400-008,23鄰,天祥路,,86巷,,,,8號,121.5196574355,25.064079965348
臺北市中山區集英里22鄰天祥路86巷6弄8號,63,6300400,6300400-008,22鄰,天祥路,,86巷,6弄,,,8號,121.51994169024,25.063916835232
臺北市中山區集英里12鄰天祥路33巷8號,63,6300400,6300400-008,12鄰,天祥路,,33巷,,,,8號,121.52135736486,25.061352198077
