FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市北投區奇岩里23鄰崇仰六路1號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,1號,121.51603805983,25.129506409063
臺北市北投區奇岩里23鄰崇仰六路2號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,2號,121.51555574713,25.128906895756
臺北市北投區奇岩里23鄰崇仰六路3號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,3號,121.51619346191,25.129523427313
臺北市北投區奇岩里23鄰崇仰六路4號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,4號,121.51569691888,25.128966756715
臺北市北投區奇岩里23鄰崇仰六路5號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,5號,121.51640556575,25.129523004375
臺北市北投區奇岩里23鄰崇仰六路6號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,6號,121.51579776132,25.129072195776
臺北市北投區奇岩里23鄰崇仰六路7號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,7號,121.51653497811,25.129526534728
臺北市北投區奇岩里23鄰崇仰六路8號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,8號,121.51593361834,25.129214798473
臺北市北投區奇岩里23鄰崇仰六路9號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,9號,121.51672803236,25.129498073592
臺北市北投區奇岩里23鄰崇仰六路10號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,10號,121.51611275325,25.129310124226
臺北市北投區奇岩里23鄰崇仰六路11號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,11號,121.51687740119,25.129462352593
臺北市北投區奇岩里23鄰崇仰六路12號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,12號,121.51631197548,25.129314648484
臺北市北投區奇岩里23鄰崇仰六路14號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,14號,121.51647037573,25.129323052327
臺北市北投區奇岩里23鄰崇仰六路15號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,15號,121.51704794138,25.129402741749
臺北市北投區奇岩里23鄰崇仰六路16號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,16號,121.51666124232,25.129326260063
臺北市北投區奇岩里23鄰崇仰六路17號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,17號,121.5172439514,25.129223764034
臺北市北投區奇岩里23鄰崇仰六路18號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,18號,121.51681085975,25.129128124741
臺北市北投區奇岩里23鄰崇仰六路19號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,19號,121.517302135,25.129101439352
臺北市北投區奇岩里23鄰崇仰六路20號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,20號,121.5167298588,25.129100113464
臺北市北投區奇岩里23鄰崇仰六路22號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,22號,121.51642536445,25.129012212996
臺北市北投區奇岩里23鄰崇仰六路23號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,23號,121.51715937208,25.128930044682
臺北市北投區奇岩里23鄰崇仰六路24號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,24號,121.5163029997,25.12900303355
臺北市北投區奇岩里23鄰崇仰六路25號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,25號,121.51707952141,25.129073958607
臺北市北投區奇岩里23鄰崇仰六路26號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,26號,121.51613036234,25.12897888915
臺北市北投區奇岩里23鄰崇仰六路27號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,27號,121.51687885858,25.12897681323
臺北市北投區奇岩里23鄰崇仰六路28號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,28號,121.51601293422,25.128867712095
臺北市北投區奇岩里23鄰崇仰六路29號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,29號,121.5162871005,25.128797241738
臺北市北投區奇岩里23鄰崇仰六路30號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,30號,121.51590036224,25.128762810547
臺北市北投區奇岩里23鄰崇仰六路32號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,32號,121.515764331,25.128658884323
臺北市北投區奇岩里23鄰崇仰六路34號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,34號,121.51560679811,25.12856395243
臺北市北投區奇岩里23鄰崇仰六路36號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,36號,121.51544816493,25.128480896
臺北市北投區奇岩里23鄰崇仰六路42號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,42號,121.51548858065,25.130178414824
臺北市北投區奇岩里23鄰崇仰六路46號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,46號,121.51545132205,25.130369793339
臺北市北投區奇岩里23鄰崇仰六路48號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,48號,121.51541865507,25.130537565737
臺北市北投區奇岩里23鄰崇仰六路50號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,50號,121.5153387005,25.130725987076
臺北市北投區奇岩里23鄰崇仰六路52號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,52號,121.51533342197,25.130883715364
臺北市北投區奇岩里23鄰崇仰六路53號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,53號,121.51508259787,25.131087175424
臺北市北投區奇岩里23鄰崇仰六路54號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,54號,121.51533999517,25.131084158988
臺北市北投區奇岩里23鄰崇仰六路56號,63,6301200,6301200-020,23鄰,崇仰六路,,,,,,56號,121.51523606544,25.131245417166
