FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市大同區至聖里1鄰庫倫街60巷2號,63,6300600,6300600-022,1鄰,庫倫街,,60巷,,,,2號,121.51965005738,25.071716737303
臺北市大同區至聖里8鄰庫倫街2號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,2號,121.51673885273,25.07187280186
臺北市大同區至聖里8鄰庫倫街4號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,4號,121.51679129838,25.071872610264
臺北市大同區至聖里8鄰庫倫街6號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,6號,121.51685199822,25.071862296543
臺北市大同區至聖里8鄰庫倫街8號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,8號,121.51690447426,25.071864623631
臺北市大同區至聖里8鄰庫倫街10號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,10號,121.51695139879,25.071864451204
臺北市大同區至聖里8鄰庫倫街12號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,12號,121.51700108817,25.071861750304
臺北市大同區至聖里8鄰庫倫街14號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,14號,121.5170507782,25.071861568214
臺北市大同區至聖里8鄰庫倫街16號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,16號,121.51710323306,25.071858848621
臺北市大同區至聖里8鄰庫倫街18號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,18號,121.51715017811,25.071861203916
臺北市大同區至聖里8鄰庫倫街20號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,20號,121.51719433641,25.071858513192
臺北市大同區至聖里8鄰庫倫街22號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,22號,121.51726335465,25.071855744863
臺北市大同區至聖里8鄰庫倫街24號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,24號,121.51730751295,25.071853054105
臺北市大同區至聖里8鄰庫倫街26號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,26號,121.51737377622,25.071852805125
臺北市大同區至聖里8鄰庫倫街28號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,28號,121.51741242334,25.071850142572
臺北市大同區至聖里8鄰庫倫街30號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,30號,121.51745934786,25.071849969984
臺北市大同區至聖里8鄰庫倫街32號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,32號,121.51751181332,25.071849778066
臺北市大同區至聖里8鄰庫倫街34號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,34號,121.51756976877,25.071844520304
臺北市大同區至聖里8鄰庫倫街36號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,36號,121.51762774543,25.071844309129
臺北市大同區至聖里8鄰庫倫街38號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,38號,121.51767742416,25.071839080185
臺北市大同區至聖里8鄰庫倫街40號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,40號,121.51772713472,25.071841425653
臺北市大同區至聖里8鄰庫倫街42號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,42號,121.51779614295,25.071838639055
臺北市大同區至聖里8鄰庫倫街44號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,44號,121.51784032177,25.071838475924
臺北市大同區至聖里8鄰庫倫街46號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,46號,121.51789554282,25.071838274257
臺北市大同區至聖里8鄰庫倫街48號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,48號,121.51802537696,25.071831609947
臺北市大同區至聖里8鄰庫倫街48之1號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,48之1號,121.51805592648,25.071831503339
臺北市大同區至聖里8鄰庫倫街48之2號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,48之2號,121.51815192559,25.071812101037
臺北市大同區至聖里8鄰庫倫街48之3號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,48之3號,121.51821545446,25.07181690791
臺北市大同區至聖里8鄰庫倫街48之4號,63,6300600,6300600-022,8鄰,庫倫街,,,,,,48之4號,121.5182899633,25.071811592081
臺北市大同區至聖里1鄰庫倫街56號,63,6300600,6300600-022,1鄰,庫倫街,,,,,,56號,121.51950668476,25.071801317394
臺北市大同區至聖里1鄰庫倫街56之1號,63,6300600,6300600-022,1鄰,庫倫街,,,,,,56之1號,121.5195212941,25.071782162901
