FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市松山區三民里1鄰延壽街143之1號,63,6300100,6300100-004,1鄰,延壽街,,,,,,143之1號,121.56335962932,25.056952285542
臺北市松山區三民里1鄰延壽街145號,63,6300100,6300100-004,1鄰,延壽街,,,,,,145號,121.56327389419,25.056944954967
臺北市松山區三民里1鄰延壽街147號,63,6300100,6300100-004,1鄰,延壽街,,,,,,147號,121.56317848571,25.056937606857
臺北市松山區三民里1鄰延壽街151號,63,6300100,6300100-004,1鄰,延壽街,,,,,,151號,121.56306923633,25.05692917363
臺北市松山區三民里1鄰延壽街153號,63,6300100,6300100-004,1鄰,延壽街,,,,,,153號,121.56295307741,25.05692041442
臺北市松山區三民里1鄰延壽街155號,63,6300100,6300100-004,1鄰,延壽街,,,,,,155號,121.56287501059,25.056914607369
臺北市松山區三民里1鄰延壽街157號,63,6300100,6300100-004,1鄰,延壽街,,,,,,157號,121.56281323326,25.05691000247
臺北市松山區三民里1鄰延壽街159號,63,6300100,6300100-004,1鄰,延壽街,,,,,,159號,121.56269526707,25.056900482524
臺北市松山區三民里1鄰延壽街161號,63,6300100,6300100-004,1鄰,延壽街,,,,,,161號,121.56262263016,25.056894365869
臺北市松山區三民里1鄰延壽街163號,63,6300100,6300100-004,1鄰,延壽街,,,,,,163號,121.562486886,25.056885409647
臺北市松山區三民里1鄰延壽街165號,63,6300100,6300100-004,1鄰,延壽街,,,,,,165號,121.56240258068,25.056878632891
臺北市松山區三民里1鄰延壽街167號,63,6300100,6300100-004,1鄰,延壽街,,,,,,167號,121.56226706898,25.056868483887
臺北市松山區三民里1鄰延壽街169號,63,6300100,6300100-004,1鄰,延壽街,,,,,,169號,121.56218802797,25.056862030143
臺北市松山區三民里1鄰延壽街171號,63,6300100,6300100-004,1鄰,延壽街,,,,,,171號,121.56206202485,25.056850535893
臺北市松山區三民里1鄰延壽街173號,63,6300100,6300100-004,1鄰,延壽街,,,,,,173號,121.56197836399,25.056843801596
臺北市松山區三民里1鄰延壽街175號,63,6300100,6300100-004,1鄰,延壽街,,,,,,175號,121.56185946227,25.056835575533
臺北市松山區新東里8鄰延壽街3號,63,6300100,6300100-007,8鄰,延壽街,,,,,,3號,121.56895524456,25.057410658316
臺北市松山區新東里8鄰延壽街5號,63,6300100,6300100-007,8鄰,延壽街,,,,,,5號,121.56886046847,25.05742664889
臺北市松山區新東里8鄰延壽街7號,63,6300100,6300100-007,8鄰,延壽街,,,,,,7號,121.56877502836,25.057416801552
臺北市松山區新東里8鄰延壽街9號,63,6300100,6300100-007,8鄰,延壽街,,,,,,9號,121.56871376066,25.057415338916
臺北市松山區新東里8鄰延壽街11號,63,6300100,6300100-007,8鄰,延壽街,,,,,,11號,121.56860603857,25.057407274074
臺北市松山區新東里8鄰延壽街13號,63,6300100,6300100-007,8鄰,延壽街,,,,,,13號,121.56854834662,25.057375264895
臺北市松山區新東里8鄰延壽街13之1號,63,6300100,6300100-007,8鄰,延壽街,,,,,,13之1號,121.56849448666,25.0573703883
臺北市松山區新東里8鄰延壽街13之2號,63,6300100,6300100-007,8鄰,延壽街,,,,,,13之2號,121.56858003631,25.057403988117
臺北市松山區新東里8鄰延壽街15號,63,6300100,6300100-007,8鄰,延壽街,,,,,,15號,121.56841784948,25.057360922346
臺北市松山區新東里8鄰延壽街17號,63,6300100,6300100-007,8鄰,延壽街,,,,,,17號,121.56833318638,25.05741852919
臺北市松山區新東里9鄰延壽街81號,63,6300100,6300100-007,9鄰,延壽街,,,,,,81號,121.56720506182,25.057260229255
臺北市松山區新東里9鄰延壽街83號,63,6300100,6300100-007,9鄰,延壽街,,,,,,83號,121.56712042649,25.057252914763
