FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市北投區湖山里5鄰建國街1號,63,6301200,6301200-040,5鄰,建國街,,,,,,1號,121.54899283923,25.150212525225
臺北市北投區湖山里6鄰建國街2號,63,6301200,6301200-040,6鄰,建國街,,,,,,2號,121.54904774895,25.150431962275
臺北市北投區湖山里6鄰建國街2之1號,63,6301200,6301200-040,6鄰,建國街,,,,,,2之1號,121.54851477139,25.151302505467
臺北市北投區湖山里5鄰建國街3號,63,6301200,6301200-040,5鄰,建國街,,,,,,3號,121.54895863615,25.150247219955
臺北市北投區湖山里6鄰建國街4號,63,6301200,6301200-040,6鄰,建國街,,,,,,4號,121.54743854782,25.15096729882
臺北市北投區湖山里6鄰建國街4之1號,63,6301200,6301200-040,6鄰,建國街,,,,,,4之1號,121.54729046089,25.151174071198
臺北市北投區湖山里6鄰建國街4之3號,63,6301200,6301200-040,6鄰,建國街,,,,,,4之3號,121.54755370321,25.15107816951
臺北市北投區湖山里6鄰建國街4之4號,63,6301200,6301200-040,6鄰,建國街,,,,,,4之4號,121.54757708243,25.150904972444
臺北市北投區湖山里6鄰建國街4之5號,63,6301200,6301200-040,6鄰,建國街,,,,,,4之5號,121.54760390342,25.151154053282
臺北市北投區湖山里5鄰建國街5號,63,6301200,6301200-040,5鄰,建國街,,,,,,5號,121.54883046834,25.150351750896
臺北市北投區湖山里5鄰建國街7號,63,6301200,6301200-040,5鄰,建國街,,,,,,7號,121.54851157108,25.150275969092
臺北市北投區湖山里5鄰建國街7之1號,63,6301200,6301200-040,5鄰,建國街,,,,,,7之1號,121.54853199603,25.150249874945
臺北市北投區湖山里5鄰建國街9號,63,6301200,6301200-040,5鄰,建國街,,,,,,9號,121.54879428859,25.149931192273
臺北市北投區湖山里5鄰建國街11號,63,6301200,6301200-040,5鄰,建國街,,,,,,11號,121.54882673952,25.14986623341
