FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市大安區永康里7鄰愛國東路79巷11號,63,6300300,6300300-018,7鄰,愛國東路,,79巷,,,,11號,121.52776182837,25.032251198959
臺北市大安區永康里7鄰愛國東路79巷13號,63,6300300,6300300-018,7鄰,愛國東路,,79巷,,,,13號,121.52779090955,25.032642093484
臺北市大安區永康里10鄰愛國東路71號,63,6300300,6300300-018,10鄰,愛國東路,,,,,,71號,121.52707705178,25.031738196955
臺北市大安區永康里10鄰愛國東路73號,63,6300300,6300300-018,10鄰,愛國東路,,,,,,73號,121.52715910053,25.03172682848
臺北市大安區永康里10鄰愛國東路75號,63,6300300,6300300-018,10鄰,愛國東路,,,,,,75號,121.52728091954,25.031702688561
臺北市大安區永康里10鄰愛國東路77號,63,6300300,6300300-018,10鄰,愛國東路,,,,,,77號,121.52735550303,25.031690470737
臺北市大安區永康里7鄰愛國東路87號,63,6300300,6300300-018,7鄰,愛國東路,,,,,,87號,121.52787938311,25.031651866595
臺北市大安區永康里7鄰愛國東路99號,63,6300300,6300300-018,7鄰,愛國東路,,,,,,99號,121.52842842776,25.03154517152
臺北市大安區永康里7鄰愛國東路101號,63,6300300,6300300-018,7鄰,愛國東路,,,,,,101號,121.52851111081,25.031531579134
臺北市大安區永康里7鄰愛國東路103號,63,6300300,6300300-018,7鄰,愛國東路,,,,,,103號,121.52860657751,25.03151588283
臺北市大安區永康里7鄰愛國東路105號,63,6300300,6300300-018,7鄰,愛國東路,,,,,,105號,121.52868832973,25.031502447134
臺北市大安區永康里7鄰愛國東路256號,63,6300300,6300300-018,7鄰,愛國東路,,,,,,256號,121.52751129943,25.031494603998
臺北市大安區光明里11鄰愛國東路3號,63,6300300,6300300-019,11鄰,愛國東路,,,,,,3號,121.52290698142,25.032436950257
臺北市大安區光明里6鄰愛國東路31號,63,6300300,6300300-019,6鄰,愛國東路,,,,,,31號,121.52480004246,25.032165664064
臺北市大安區光明里6鄰愛國東路35號,63,6300300,6300300-019,6鄰,愛國東路,,,,,,35號,121.52630417779,25.03197749911
臺北市大安區錦泰里4鄰愛國東路210巷9號,63,6300300,6300300-020,4鄰,愛國東路,,210巷,,,,9號,121.52405397609,25.031350702875
臺北市大安區錦泰里4鄰愛國東路210巷11號,63,6300300,6300300-020,4鄰,愛國東路,,210巷,,,,11號,121.52397473123,25.030963026725
臺北市大安區錦泰里4鄰愛國東路216號,63,6300300,6300300-020,4鄰,愛國東路,,,,,,216號,121.52458625919,25.031803886451
臺北市大安區錦泰里4鄰愛國東路246號,63,6300300,6300300-020,4鄰,愛國東路,,,,,,246號,121.52620523362,25.031598561009
臺北市中正區新營里22鄰愛國東路116巷1號,63,6300500,6300500-021,22鄰,愛國東路,,116巷,,,,1號,121.52144799363,25.032536618692
臺北市中正區新營里24鄰愛國東路116巷23弄1號,63,6300500,6300500-021,24鄰,愛國東路,,116巷,23弄,,,1號,121.52089493078,25.031879633058
臺北市中正區新營里8鄰愛國東路74巷1號,63,6300500,6300500-021,8鄰,愛國東路,,74巷,,,,1號,121.51988106072,25.033139172712
臺北市中正區新營里8鄰愛國東路74巷1之1號,63,6300500,6300500-021,8鄰,愛國東路,,74巷,,,,1之1號,121.51991388952,25.033136674451
臺北市中正區新營里7鄰愛國東路74巷1之2號,63,6300500,6300500-021,7鄰,愛國東路,,74巷,,,,1之2號,121.51993638562,25.033172428287
臺北市中正區新營里8鄰愛國東路74巷1之3號,63,6300500,6300500-021,8鄰,愛國東路,,74巷,,,,1之3號,121.51995457621,25.033134139662
臺北市中正區新營里8鄰愛國東路74巷2號,63,6300500,6300500-021,8鄰,愛國東路,,74巷,,,,2號,121.51996255205,25.033056289517
臺北市中正區新營里22鄰愛國東路110巷2號,63,6300500,6300500-021,22鄰,愛國東路,,110巷,,,,2號,121.52129240356,25.032624457228
