FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市大同區大有里15鄰歸綏街303巷11弄1號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,11弄,,,1號,121.50905110432,25.058824320499
臺北市大同區大有里15鄰歸綏街303巷1號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,,,,1號,121.50880936859,25.058356772049
臺北市大同區大有里15鄰歸綏街303巷23弄1號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,23弄,,,1號,121.50898529745,25.059187709645
臺北市大同區大有里15鄰歸綏街303巷23弄3號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,23弄,,,3號,121.50904824217,25.059191917654
臺北市大同區大有里15鄰歸綏街303巷3號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,,,,3號,121.50879574961,25.058399774323
臺北市大同區大有里15鄰歸綏街303巷3之1號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,,,,3之1號,121.50878982199,25.058418816799
臺北市大同區大有里15鄰歸綏街303巷23弄5號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,23弄,,,5號,121.50907558985,25.059202043696
臺北市大同區大有里15鄰歸綏街303巷5號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,,,,5號,121.50878557014,25.058445247534
臺北市大同區大有里19鄰歸綏街206巷6號,63,6300600,6300600-009,19鄰,歸綏街,,206巷,,,,6號,121.51117380974,25.058057957192
臺北市大同區大有里15鄰歸綏街303巷7號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,,,,7號,121.50876800307,25.058487432747
臺北市大同區大有里15鄰歸綏街303巷23弄7號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,23弄,,,7號,121.50913615125,25.059205140356
臺北市大同區大有里19鄰歸綏街206巷8號,63,6300600,6300600-009,19鄰,歸綏街,,206巷,,,,8號,121.51118060471,25.058011556555
臺北市大同區大有里15鄰歸綏街303巷9號,63,6300600,6300600-009,15鄰,歸綏街,,303巷,,,,9號,121.50876025863,25.058716980199
臺北市大同區大有里14鄰歸綏街303巷11弄9號,63,6300600,6300600-009,14鄰,歸綏街,,303巷,11弄,,,9號,121.50888477436,25.058932866405
臺北市大同區大有里19鄰歸綏街206巷10號,63,6300600,6300600-009,19鄰,歸綏街,,206巷,,,,10號,121.5111868309,25.057969012866
臺北市大同區大有里19鄰歸綏街208號,63,6300600,6300600-009,19鄰,歸綏街,,,,,,208號,121.51107473438,25.05819603057
臺北市大同區大有里19鄰歸綏街208之1號,63,6300600,6300600-009,19鄰,歸綏街,,,,,,208之1號,121.51103639398,25.058192795034
臺北市大同區大有里19鄰歸綏街210號,63,6300600,6300600-009,19鄰,歸綏街,,,,,,210號,121.51099818254,25.05818958613
臺北市大同區大有里19鄰歸綏街212之1號,63,6300600,6300600-009,19鄰,歸綏街,,,,,,212之1號,121.51075655751,25.058166258187
臺北市大同區大有里19鄰歸綏街212之2號,63,6300600,6300600-009,19鄰,歸綏街,,,,,,212之2號,121.51075655751,25.058166258187
臺北市大同區大有里19鄰歸綏街212之3號,63,6300600,6300600-009,19鄰,歸綏街,,,,,,212之3號,121.51075655751,25.058166258187
臺北市大同區大有里19鄰歸綏街212之4號,63,6300600,6300600-009,19鄰,歸綏街,,,,,,212之4號,121.51075655751,25.058166258187
臺北市大同區大有里18鄰歸綏街216號,63,6300600,6300600-009,18鄰,歸綏街,,,,,,216號,121.51045109659,25.058191422425
臺北市大同區大有里18鄰歸綏街218號,63,6300600,6300600-009,18鄰,歸綏街,,,,,,218號,121.51039353403,25.05818717845
臺北市大同區大有里18鄰歸綏街218之1號,63,6300600,6300600-009,18鄰,歸綏街,,,,,,218之1號,121.51032903146,25.058182425645
臺北市大同區大有里18鄰歸綏街218之2號,63,6300600,6300600-009,18鄰,歸綏街,,,,,,218之2號,121.51027850811,25.058178708149
