FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市萬華區福音里4鄰永福街75巷1號,63,6300700,6300700-008,4鄰,永福街,,75巷,,,,1號,121.50294284816,25.038939664946
臺北市萬華區福音里4鄰永福街75巷3號,63,6300700,6300700-008,4鄰,永福街,,75巷,,,,3號,121.50294667863,25.038965264731
臺北市萬華區福音里4鄰永福街75巷4號,63,6300700,6300700-008,4鄰,永福街,,75巷,,,,4號,121.50298579098,25.038947897678
臺北市萬華區福音里4鄰永福街75巷5號,63,6300700,6300700-008,4鄰,永福街,,75巷,,,,5號,121.50295276076,25.039005969951
臺北市萬華區福音里4鄰永福街75巷6號,63,6300700,6300700-008,4鄰,永福街,,75巷,,,,6號,121.5029917082,25.038982184468
臺北市萬華區福音里4鄰永福街75巷8號,63,6300700,6300700-008,4鄰,永福街,,75巷,,,,8號,121.50299780833,25.039017581096
臺北市萬華區福音里9鄰永福街56號,63,6300700,6300700-008,9鄰,永福街,,,,,,56號,121.5040555734,25.038422863147
臺北市萬華區福音里7鄰永福街61號,63,6300700,6300700-008,7鄰,永福街,,,,,,61號,121.50345439709,25.038652599191
臺北市萬華區福音里7鄰永福街63號,63,6300700,6300700-008,7鄰,永福街,,,,,,63號,121.50343029494,25.038657041428
臺北市萬華區福音里7鄰永福街65號,63,6300700,6300700-008,7鄰,永福街,,,,,,65號,121.50336728676,25.038668666416
臺北市萬華區福音里7鄰永福街67號,63,6300700,6300700-008,7鄰,永福街,,,,,,67號,121.5033390158,25.038673890149
臺北市萬華區福音里7鄰永福街69號,63,6300700,6300700-008,7鄰,永福街,,,,,,69號,121.50326672916,25.038687225753
臺北市萬華區福音里4鄰永福街73號,63,6300700,6300700-008,4鄰,永福街,,,,,,73號,121.50292994377,25.03885657778
臺北市萬華區福音里4鄰永福街73之1號,63,6300700,6300700-008,4鄰,永福街,,,,,,73之1號,121.502913506,25.03885962172
臺北市萬華區福音里4鄰永福街73之2號,63,6300700,6300700-008,4鄰,永福街,,,,,,73之2號,121.50289445695,25.038863866205
