FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市南港區三重里13鄰經貿二路88巷1號,63,6300900,6300900-004,13鄰,經貿二路,,88巷,,,,1號,121.61624093752,25.057775770613
臺北市南港區三重里16鄰經貿二路1號,63,6300900,6300900-004,16鄰,經貿二路,,,,,,1號,121.61734462812,25.056376193066
臺北市南港區三重里34鄰經貿二路255巷1號,63,6300900,6300900-004,34鄰,經貿二路,,255巷,,,,1號,121.61419378261,25.061536052042
臺北市南港區三重里34鄰經貿二路255巷3號,63,6300900,6300900-004,34鄰,經貿二路,,255巷,,,,3號,121.61425845777,25.061465077435
臺北市南港區三重里34鄰經貿二路255巷5號,63,6300900,6300900-004,34鄰,經貿二路,,255巷,,,,5號,121.61432726859,25.06138072429
臺北市南港區三重里34鄰經貿二路255巷7號,63,6300900,6300900-004,34鄰,經貿二路,,255巷,,,,7號,121.61437516352,25.061311732983
臺北市南港區三重里34鄰經貿二路255巷9號,63,6300900,6300900-004,34鄰,經貿二路,,255巷,,,,9號,121.61445503271,25.061338143369
臺北市南港區三重里34鄰經貿二路255巷11號,63,6300900,6300900-004,34鄰,經貿二路,,255巷,,,,11號,121.61442380241,25.06138795353
臺北市南港區三重里34鄰經貿二路255巷13號,63,6300900,6300900-004,34鄰,經貿二路,,255巷,,,,13號,121.6143175832,25.061539358761
臺北市南港區三重里20鄰經貿二路235巷20號,63,6300900,6300900-004,20鄰,經貿二路,,235巷,,,,20號,121.61479074044,25.061190672231
臺北市南港區三重里20鄰經貿二路235巷22號,63,6300900,6300900-004,20鄰,經貿二路,,235巷,,,,22號,121.61488890075,25.061154442804
臺北市南港區三重里31鄰經貿二路235巷23號,63,6300900,6300900-004,31鄰,經貿二路,,235巷,,,,23號,121.61600675805,25.061165933708
臺北市南港區三重里31鄰經貿二路235巷25號,63,6300900,6300900-004,31鄰,經貿二路,,235巷,,,,25號,121.6160809089,25.061311328515
臺北市南港區三重里20鄰經貿二路235巷26號,63,6300900,6300900-004,20鄰,經貿二路,,235巷,,,,26號,121.61494289165,25.061200794538
臺北市南港區三重里31鄰經貿二路235巷27號,63,6300900,6300900-004,31鄰,經貿二路,,235巷,,,,27號,121.6161664144,25.061103158869
臺北市南港區三重里20鄰經貿二路235巷28號,63,6300900,6300900-004,20鄰,經貿二路,,235巷,,,,28號,121.61491844373,25.061292854708
臺北市南港區三重里31鄰經貿二路235巷29號,63,6300900,6300900-004,31鄰,經貿二路,,235巷,,,,29號,121.61622744092,25.061246224676
臺北市南港區三重里20鄰經貿二路235巷30號,63,6300900,6300900-004,20鄰,經貿二路,,235巷,,,,30號,121.61498289099,25.061333195636
臺北市南港區三重里31鄰經貿二路235巷31號,63,6300900,6300900-004,31鄰,經貿二路,,235巷,,,,31號,121.61573098468,25.061606586195
臺北市南港區三重里20鄰經貿二路235巷32號,63,6300900,6300900-004,20鄰,經貿二路,,235巷,,,,32號,121.61506664242,25.061299409149
臺北市南港區三重里31鄰經貿二路235巷33號,63,6300900,6300900-004,31鄰,經貿二路,,235巷,,,,33號,121.61578681566,25.061759225314
臺北市南港區三重里33鄰經貿二路255巷33號,63,6300900,6300900-004,33鄰,經貿二路,,255巷,,,,33號,121.6148281495,25.062098975108
臺北市南港區三重里33鄰經貿二路255巷35號,63,6300900,6300900-004,33鄰,經貿二路,,255巷,,,,35號,121.61489335866,25.062135006567
臺北市南港區三重里31鄰經貿二路235巷35號,63,6300900,6300900-004,31鄰,經貿二路,,235巷,,,,35號,121.61589589674,25.061546182259
臺北市南港區三重里20鄰經貿二路235巷36號,63,6300900,6300900-004,20鄰,經貿二路,,235巷,,,,36號,121.61512852883,25.061352896319
臺北市南港區三重里31鄰經貿二路235巷37號,63,6300900,6300900-004,31鄰,經貿二路,,235巷,,,,37號,121.6159516921,25.061691662281
臺北市南港區三重里33鄰經貿二路255巷37號,63,6300900,6300900-004,33鄰,經貿二路,,255巷,,,,37號,121.61495862544,25.062180589352
臺北市南港區三重里20鄰經貿二路235巷38號,63,6300900,6300900-004,20鄰,經貿二路,,235巷,,,,38號,121.61510268931,25.061428251504
