FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市北投區東華里10鄰致遠三路101巷1號,63,6301200,6301200-012,10鄰,致遠三路,,101巷,,,,1號,121.51083490008,25.121480298314
臺北市北投區東華里10鄰致遠三路55巷30弄1號,63,6301200,6301200-012,10鄰,致遠三路,,55巷,30弄,,,1號,121.51079535333,25.12122264896
臺北市北投區東華里13鄰致遠三路39巷1號,63,6301200,6301200-012,13鄰,致遠三路,,39巷,,,,1號,121.51163455568,25.12013659299
臺北市北投區東華里14鄰致遠三路50巷1號,63,6301200,6301200-012,14鄰,致遠三路,,50巷,,,,1號,121.51202341858,25.120609130322
臺北市北投區東華里14鄰致遠三路52巷1號,63,6301200,6301200-012,14鄰,致遠三路,,52巷,,,,1號,121.51189694503,25.12085410865
臺北市北投區東華里14鄰致遠三路53巷1號,63,6301200,6301200-012,14鄰,致遠三路,,53巷,,,,1號,121.51142722316,25.120683872851
臺北市北投區東華里14鄰致遠三路54巷1號,63,6301200,6301200-012,14鄰,致遠三路,,54巷,,,,1號,121.51206338213,25.121116131354
臺北市北投區東華里14鄰致遠三路55巷1號,63,6301200,6301200-012,14鄰,致遠三路,,55巷,,,,1號,121.51165397392,25.120968203782
臺北市北投區東華里5鄰致遠三路147巷1號,63,6301200,6301200-012,5鄰,致遠三路,,147巷,,,,1號,121.50943576876,25.121578995451
臺北市北投區東華里5鄰致遠三路147巷2弄1號,63,6301200,6301200-012,5鄰,致遠三路,,147巷,2弄,,,1號,121.50932118979,25.12149649403
臺北市北投區東華里6鄰致遠三路119巷12弄1號,63,6301200,6301200-012,6鄰,致遠三路,,119巷,12弄,,,1號,121.51008212981,25.12128279381
臺北市北投區東華里8鄰致遠三路117巷1號,63,6301200,6301200-012,8鄰,致遠三路,,117巷,,,,1號,121.51034772924,25.121619202006
臺北市北投區東華里9鄰致遠三路114巷1號,63,6301200,6301200-012,9鄰,致遠三路,,114巷,,,,1號,121.51106627461,25.121944045743
臺北市北投區東華里8鄰致遠三路119巷1號,63,6301200,6301200-012,8鄰,致遠三路,,119巷,,,,1號,121.51018458549,25.121617046159
臺北市北投區東華里8鄰致遠三路119巷12弄2號,63,6301200,6301200-012,8鄰,致遠三路,,119巷,12弄,,,2號,121.51006888806,25.121365581038
臺北市北投區東華里6鄰致遠三路147巷4弄2號,63,6301200,6301200-012,6鄰,致遠三路,,147巷,4弄,,,2號,121.5093416786,25.121214596387
臺北市北投區東華里14鄰致遠三路54巷2號,63,6301200,6301200-012,14鄰,致遠三路,,54巷,,,,2號,121.51187555198,25.121031790438
臺北市北投區東華里14鄰致遠三路53巷2號,63,6301200,6301200-012,14鄰,致遠三路,,53巷,,,,2號,121.51166052219,25.120783296688
臺北市北投區東華里14鄰致遠三路52巷2號,63,6301200,6301200-012,14鄰,致遠三路,,52巷,,,,2號,121.51190976628,25.120770663676
臺北市北投區東華里14鄰致遠三路50巷2號,63,6301200,6301200-012,14鄰,致遠三路,,50巷,,,,2號,121.51203069724,25.120518725834
臺北市北投區東華里10鄰致遠三路55巷30弄2號,63,6301200,6301200-012,10鄰,致遠三路,,55巷,30弄,,,2號,121.51089054417,25.121235429584
臺北市北投區東華里10鄰致遠三路85巷2號,63,6301200,6301200-012,10鄰,致遠三路,,85巷,,,,2號,121.51146408206,25.121496175747
臺北市北投區東華里10鄰致遠三路87巷2號,63,6301200,6301200-012,10鄰,致遠三路,,87巷,,,,2號,121.51129909388,25.121520199671
臺北市北投區東華里14鄰致遠三路54巷2之1號,63,6301200,6301200-012,14鄰,致遠三路,,54巷,,,,2之1號,121.51185638622,25.121001459329
臺北市北投區東華里14鄰致遠三路53巷3號,63,6301200,6301200-012,14鄰,致遠三路,,53巷,,,,3號,121.51143435061,25.120640414532
臺北市北投區東華里14鄰致遠三路50巷3號,63,6301200,6301200-012,14鄰,致遠三路,,50巷,,,,3號,121.51206836065,25.120607061148
臺北市北投區東華里14鄰致遠三路52巷3號,63,6301200,6301200-012,14鄰,致遠三路,,52巷,,,,3號,121.51194316544,25.120851809398
臺北市北投區東華里13鄰致遠三路39巷3號,63,6301200,6301200-012,13鄰,致遠三路,,39巷,,,,3號,121.51156639369,25.120165790064
臺北市北投區東華里10鄰致遠三路85巷3號,63,6301200,6301200-012,10鄰,致遠三路,,85巷,,,,3號,121.511672014,25.121366402863
臺北市北投區東華里10鄰致遠三路55巷30弄3號,63,6301200,6301200-012,10鄰,致遠三路,,55巷,30弄,,,3號,121.51074761111,25.121221495373
臺北市北投區東華里10鄰致遠三路101巷3號,63,6301200,6301200-012,10鄰,致遠三路,,101巷,,,,3號,121.51077969647,25.121485300465
臺北市北投區東華里14鄰致遠三路54巷3號,63,6301200,6301200-012,14鄰,致遠三路,,54巷,,,,3號,121.51210807847,25.121114541499
臺北市北投區東華里14鄰致遠三路55巷3號,63,6301200,6301200-012,14鄰,致遠三路,,55巷,,,,3號,121.51161494897,25.120967219001
臺北市北投區東華里6鄰致遠三路119巷12弄3號,63,6301200,6301200-012,6鄰,致遠三路,,119巷,12弄,,,3號,121.51002869022,25.121280350536
臺北市北投區東華里8鄰致遠三路117巷3號,63,6301200,6301200-012,8鄰,致遠三路,,117巷,,,,3號,121.51035103508,25.12156995189
臺北市北投區東華里8鄰致遠三路119巷3號,63,6301200,6301200-012,8鄰,致遠三路,,119巷,,,,3號,121.51018860697,25.121563405973
臺北市北投區東華里5鄰致遠三路147巷2弄3號,63,6301200,6301200-012,5鄰,致遠三路,,147巷,2弄,,,3號,121.50926907122,25.121494587624
臺北市北投區東華里5鄰致遠三路147巷3號,63,6301200,6301200-012,5鄰,致遠三路,,147巷,,,,3號,121.50943873535,25.12153393551
臺北市北投區東華里9鄰致遠三路114巷3號,63,6301200,6301200-012,9鄰,致遠三路,,114巷,,,,3號,121.51101330741,25.121952732727
臺北市北投區東華里6鄰致遠三路147巷4弄4號,63,6301200,6301200-012,6鄰,致遠三路,,147巷,4弄,,,4號,121.50930950813,25.121204604582
臺北市北投區東華里8鄰致遠三路119巷12弄4號,63,6301200,6301200-012,8鄰,致遠三路,,119巷,12弄,,,4號,121.51001821423,25.121362929627
臺北市北投區東華里14鄰致遠三路54巷4號,63,6301200,6301200-012,14鄰,致遠三路,,54巷,,,,4號,121.51192186662,25.121028290142
臺北市北投區東華里10鄰致遠三路55巷30弄4號,63,6301200,6301200-012,10鄰,致遠三路,,55巷,30弄,,,4號,121.51092733196,25.121234959729
臺北市北投區東華里10鄰致遠三路85巷4號,63,6301200,6301200-012,10鄰,致遠三路,,85巷,,,,4號,121.51146015371,25.121455328558
臺北市北投區東華里10鄰致遠三路87巷4號,63,6301200,6301200-012,10鄰,致遠三路,,87巷,,,,4號,121.51129577886,25.121483746999
臺北市北投區東華里14鄰致遠三路53巷4號,63,6301200,6301200-012,14鄰,致遠三路,,53巷,,,,4號,121.5116202829,25.120781205655
臺北市北投區東華里14鄰致遠三路52巷5號,63,6301200,6301200-012,14鄰,致遠三路,,52巷,,,,5號,121.51198077029,25.120849928093
臺北市北投區東華里14鄰致遠三路50巷5號,63,6301200,6301200-012,14鄰,致遠三路,,50巷,,,,5號,121.51211878539,25.120604738292
臺北市北投區東華里13鄰致遠三路39巷5號,63,6301200,6301200-012,13鄰,致遠三路,,39巷,,,,5號,121.51150797064,25.120190502697
臺北市北投區東華里10鄰致遠三路85巷5號,63,6301200,6301200-012,10鄰,致遠三路,,85巷,,,,5號,121.51167023567,25.121322749577
臺北市北投區東華里10鄰致遠三路55巷30弄5號,63,6301200,6301200-012,10鄰,致遠三路,,55巷,30弄,,,5號,121.51070162429,25.121220389891
臺北市北投區東華里10鄰致遠三路101巷5號,63,6301200,6301200-012,10鄰,致遠三路,,101巷,,,,5號,121.51072132082,25.121490593393
臺北市北投區東華里14鄰致遠三路54巷5號,63,6301200,6301200-012,14鄰,致遠三路,,54巷,,,,5號,121.51216822225,25.121112410748
