FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市大同區永樂里18鄰迪化街一段72巷1號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,1號,121.50974872161,25.055651445569
臺北市大同區永樂里2鄰迪化街一段46巷17弄1號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,17弄,,,1號,121.50951108299,25.055085613249
臺北市大同區永樂里2鄰迪化街一段72巷8弄1號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,8弄,,,1號,121.50965150534,25.055421770691
臺北市大同區永樂里8鄰迪化街一段32巷1號,63,6300600,6300600-005,8鄰,迪化街,1段,32巷,,,,1號,121.50990030114,25.054606881397
臺北市大同區永樂里8鄰迪化街一段46巷18弄1號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,18弄,,,1號,121.50954223115,25.054828576109
臺北市大同區永樂里8鄰迪化街一段46巷2號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,,,,2號,121.50993317031,25.054969598268
臺北市大同區永樂里8鄰迪化街一段46巷18弄2號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,18弄,,,2號,121.50946220133,25.054805016501
臺北市大同區永樂里2鄰迪化街一段72巷8弄2號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,8弄,,,2號,121.50968938004,25.055425251952
臺北市大同區永樂里2鄰迪化街一段46巷17弄2號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,17弄,,,2號,121.5093609677,25.055125752415
臺北市大同區永樂里13鄰迪化街一段2號,63,6300600,6300600-005,13鄰,迪化街,1段,,,,,2號,121.51013430874,25.053849966633
臺北市大同區永樂里11鄰迪化街一段14巷2號,63,6300600,6300600-005,11鄰,迪化街,1段,14巷,,,,2號,121.50994515962,25.054171248645
臺北市大同區永樂里11鄰迪化街一段32巷2號,63,6300600,6300600-005,11鄰,迪化街,1段,32巷,,,,2號,121.50978858147,25.054522346727
臺北市大同區永樂里13鄰迪化街一段14巷3號,63,6300600,6300600-005,13鄰,迪化街,1段,14巷,,,,3號,121.50992672208,25.054103420739
臺北市大同區永樂里18鄰迪化街一段72巷3號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,3號,121.50969890887,25.05564675039
臺北市大同區永樂里2鄰迪化街一段46巷17弄3號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,17弄,,,3號,121.50950467102,25.0551384676
臺北市大同區永樂里2鄰迪化街一段72巷8弄3號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,8弄,,,3號,121.50965090355,25.055398480297
臺北市大同區永樂里2鄰迪化街一段46巷3號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,,,,3號,121.50973013799,25.055042736568
臺北市大同區永樂里8鄰迪化街一段46巷18弄3號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,18弄,,,3號,121.50954929154,25.054769553348
臺北市大同區永樂里9鄰迪化街一段3號,63,6300600,6300600-005,9鄰,迪化街,1段,,,,,3號,121.51021952396,25.05397706925
臺北市大同區永樂里8鄰迪化街一段46巷18弄4號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,18弄,,,4號,121.50946730859,25.054765004563
臺北市大同區永樂里2鄰迪化街一段72巷4號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,,,,4號,121.50975148129,25.055575834918
臺北市大同區永樂里2鄰迪化街一段72巷8弄4號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,8弄,,,4號,121.50969441737,25.055380328972
臺北市大同區永樂里2鄰迪化街一段46巷17弄4號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,17弄,,,4號,121.50935774084,25.055150735166
臺北市大同區永樂里13鄰迪化街一段4號,63,6300600,6300600-005,13鄰,迪化街,1段,,,,,4號,121.51012911888,25.053891513654
臺北市大同區永樂里11鄰迪化街一段14巷4號,63,6300600,6300600-005,11鄰,迪化街,1段,14巷,,,,4號,121.50990448066,25.054165411712
臺北市大同區永樂里13鄰迪化街一段14巷5號,63,6300600,6300600-005,13鄰,迪化街,1段,14巷,,,,5號,121.50989026076,25.054101297922
臺北市大同區永樂里18鄰迪化街一段72巷5號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,5號,121.50967514551,25.055647581271
臺北市大同區永樂里2鄰迪化街一段46巷17弄5號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,17弄,,,5號,121.50949834533,25.055190617464
臺北市大同區永樂里2鄰迪化街一段72巷8弄5號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,8弄,,,5號,121.50965605534,25.055376434092
臺北市大同區永樂里8鄰迪化街一段46巷18弄5號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,18弄,,,5號,121.50955595912,25.054713809128
臺北市大同區永樂里9鄰迪化街一段5號,63,6300600,6300600-005,9鄰,迪化街,1段,,,,,5號,121.51021515492,25.054013386192
臺北市大同區永樂里8鄰迪化街一段32巷5之1號,63,6300600,6300600-005,8鄰,迪化街,1段,32巷,,,,5之1號,121.5097574275,25.054590940713
臺北市大同區永樂里8鄰迪化街一段46巷18弄6號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,18弄,,,6號,121.50947551703,25.054700786716
臺北市大同區永樂里2鄰迪化街一段72巷8弄6號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,8弄,,,6號,121.5097004778,25.055326365367
臺北市大同區永樂里2鄰迪化街一段72巷6號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,,,,6號,121.50971443338,25.055573371009
臺北市大同區永樂里2鄰迪化街一段46巷17弄6號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,17弄,,,6號,121.50944542399,25.055234666465
臺北市大同區永樂里8鄰迪化街一段46巷6號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,,,,6號,121.50980690516,25.05496276412
臺北市大同區永樂里13鄰迪化街一段6號,63,6300600,6300600-005,13鄰,迪化街,1段,,,,,6號,121.51012412086,25.053931516214
臺北市大同區永樂里11鄰迪化街一段14巷6號,63,6300600,6300600-005,11鄰,迪化街,1段,14巷,,,,6號,121.50986121002,25.054163176843
臺北市大同區永樂里13鄰迪化街一段14巷7號,63,6300600,6300600-005,13鄰,迪化街,1段,14巷,,,,7號,121.50985065076,25.054097506679
臺北市大同區永樂里18鄰迪化街一段72巷7號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,7號,121.50964883699,25.055641703988
臺北市大同區永樂里9鄰迪化街一段7號,63,6300600,6300600-005,9鄰,迪化街,1段,,,,,7號,121.51021075729,25.054049983102
臺北市大同區永樂里2鄰迪化街一段46巷17弄7號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,17弄,,,7號,121.50950752785,25.055280496663
臺北市大同區永樂里2鄰迪化街一段72巷8弄7號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,8弄,,,7號,121.50966386042,25.055298576189
臺北市大同區永樂里8鄰迪化街一段46巷18弄7號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,18弄,,,7號,121.50956569254,25.054632504907
臺北市大同區永樂里8鄰迪化街一段32巷7號,63,6300600,6300600-005,8鄰,迪化街,1段,32巷,,,,7號,121.50970040797,25.054585782746
臺北市大同區永樂里8鄰迪化街一段46巷18弄8號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,18弄,,,8號,121.50948467597,25.054629144522
臺北市大同區永樂里2鄰迪化街一段46巷17弄8號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,17弄,,,8號,121.50944144279,25.055280958085
臺北市大同區永樂里8鄰迪化街一段46巷8號,63,6300600,6300600-005,8鄰,迪化街,1段,46巷,,,,8號,121.50977049887,25.054959629941
臺北市大同區永樂里13鄰迪化街一段8號,63,6300600,6300600-005,13鄰,迪化街,1段,,,,,8號,121.51010959913,25.053971695931
臺北市大同區永樂里11鄰迪化街一段14巷8號,63,6300600,6300600-005,11鄰,迪化街,1段,14巷,,,,8號,121.50982446076,25.054153742248
臺北市大同區永樂里8鄰迪化街一段32巷9號,63,6300600,6300600-005,8鄰,迪化街,1段,32巷,,,,9號,121.50964825662,25.054581077513
臺北市大同區永樂里2鄰迪化街一段46巷9號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,,,,9號,121.50967713826,25.055027056108
臺北市大同區永樂里9鄰迪化街一段9號,63,6300600,6300600-005,9鄰,迪化街,1段,,,,,9號,121.51020517172,25.054096487903
臺北市大同區永樂里13鄰迪化街一段14巷9號,63,6300600,6300600-005,13鄰,迪化街,1段,14巷,,,,9號,121.50980790667,25.054093175471
臺北市大同區永樂里18鄰迪化街一段72巷9號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,9號,121.50959490339,25.055637528487
臺北市大同區永樂里18鄰迪化街一段72巷9之1號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,9之1號,121.50958898053,25.055667251207
臺北市大同區永樂里8鄰迪化街一段32巷9之1號,63,6300600,6300600-005,8鄰,迪化街,1段,32巷,,,,9之1號,121.50960248039,25.054576937214
臺北市大同區永樂里18鄰迪化街一段72巷9之2號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,9之2號,121.50958567791,25.055700269216
臺北市大同區永樂里18鄰迪化街一段72巷9之3號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,9之3號,121.50958482828,25.0557320871
臺北市大同區永樂里13鄰迪化街一段10號,63,6300600,6300600-005,13鄰,迪化街,1段,,,,,10號,121.51010141029,25.054021405612
臺北市大同區永樂里11鄰迪化街一段32巷10號,63,6300600,6300600-005,11鄰,迪化街,1段,32巷,,,,10號,121.50971161151,25.054514882853
臺北市大同區永樂里11鄰迪化街一段14巷10號,63,6300600,6300600-005,11鄰,迪化街,1段,14巷,,,,10號,121.50978513457,25.054156269674
臺北市大同區永樂里2鄰迪化街一段72巷10號,63,6300600,6300600-005,2鄰,迪化街,1段,72巷,,,,10號,121.50961211769,25.05556771844
臺北市大同區永樂里9鄰迪化街一段11號,63,6300600,6300600-005,9鄰,迪化街,1段,,,,,11號,121.51019901142,25.054147806648
臺北市大同區永樂里2鄰迪化街一段46巷11號,63,6300600,6300600-005,2鄰,迪化街,1段,46巷,,,,11號,121.50962574236,25.055025327545
臺北市大同區永樂里11鄰迪化街一段32巷11號,63,6300600,6300600-005,11鄰,迪化街,1段,32巷,,,,11號,121.50945934717,25.054562920115
臺北市大同區永樂里13鄰迪化街一段14巷11號,63,6300600,6300600-005,13鄰,迪化街,1段,14巷,,,,11號,121.50976951582,25.054089407107
臺北市大同區永樂里18鄰迪化街一段72巷11號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,11號,121.50955123102,25.055634139318
臺北市大同區永樂里18鄰迪化街一段72巷11之1號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,11之1號,121.50954794363,25.055661252906
臺北市大同區永樂里18鄰迪化街一段72巷11之3號,63,6300600,6300600-005,18鄰,迪化街,1段,72巷,,,,11之3號,121.50953638502,25.055727820516
