FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市內湖區紫雲里18鄰金湖路155巷18號,63,6301000,6301000-016,18鄰,金湖路,,155巷,,,,18號,121.59811832843,25.079284099536
臺北市內湖區紫雲里18鄰金湖路175號,63,6301000,6301000-016,18鄰,金湖路,,,,,,175號,121.59902677885,25.079429297867
臺北市內湖區紫雲里18鄰金湖路177號,63,6301000,6301000-016,18鄰,金湖路,,,,,,177號,121.59904971617,25.07940054149
臺北市內湖區紫雲里18鄰金湖路179號,63,6301000,6301000-016,18鄰,金湖路,,,,,,179號,121.59918556445,25.079292975575
臺北市內湖區紫雲里18鄰金湖路181號,63,6301000,6301000-016,18鄰,金湖路,,,,,,181號,121.59928131174,25.079135899584
臺北市內湖區紫雲里18鄰金湖路183號,63,6301000,6301000-016,18鄰,金湖路,,,,,,183號,121.5992979637,25.079109082477
臺北市內湖區紫雲里18鄰金湖路195號,63,6301000,6301000-016,18鄰,金湖路,,,,,,195號,121.59969096469,25.078680697871
臺北市內湖區紫雲里15鄰金湖路200號,63,6301000,6301000-016,15鄰,金湖路,,,,,,200號,121.60029502024,25.077842401532
臺北市內湖區紫雲里15鄰金湖路237號,63,6301000,6301000-016,15鄰,金湖路,,,,,,237號,121.6004191705,25.076869352381
臺北市內湖區紫雲里15鄰金湖路239號,63,6301000,6301000-016,15鄰,金湖路,,,,,,239號,121.60050378603,25.07672317225
臺北市內湖區清白里14鄰金湖路1號,63,6301000,6301000-017,14鄰,金湖路,,,,,,1號,121.59503946058,25.083889644485
臺北市內湖區清白里20鄰金湖路18巷1號,63,6301000,6301000-017,20鄰,金湖路,,18巷,,,,1號,121.59626263514,25.083233971915
臺北市內湖區清白里22鄰金湖路46巷1號,63,6301000,6301000-017,22鄰,金湖路,,46巷,,,,1號,121.59696814084,25.082510812207
臺北市內湖區清白里22鄰金湖路64巷2號,63,6301000,6301000-017,22鄰,金湖路,,64巷,,,,2號,121.59722712066,25.082236746448
臺北市內湖區清白里20鄰金湖路46巷6弄2號,63,6301000,6301000-017,20鄰,金湖路,,46巷,6弄,,,2號,121.59683086956,25.082624520865
臺北市內湖區清白里15鄰金湖路2號,63,6301000,6301000-017,15鄰,金湖路,,,,,,2號,121.59549721492,25.08389150072
臺北市內湖區清白里15鄰金湖路14巷2號,63,6301000,6301000-017,15鄰,金湖路,,14巷,,,,2號,121.59589617722,25.083785581054
臺北市內湖區清白里14鄰金湖路3號,63,6301000,6301000-017,14鄰,金湖路,,,,,,3號,121.59510466719,25.083899295713
臺北市內湖區清白里22鄰金湖路46巷3號,63,6301000,6301000-017,22鄰,金湖路,,46巷,,,,3號,121.59700306922,25.082558709508
臺北市內湖區清白里22鄰金湖路64巷4號,63,6301000,6301000-017,22鄰,金湖路,,64巷,,,,4號,121.59727320696,25.082271499204
臺北市內湖區清白里15鄰金湖路4號,63,6301000,6301000-017,15鄰,金湖路,,,,,,4號,121.59554982188,25.083831515441
臺北市內湖區清白里15鄰金湖路14巷4號,63,6301000,6301000-017,15鄰,金湖路,,14巷,,,,4號,121.59586649535,25.083820069706
臺北市內湖區清白里14鄰金湖路5號,63,6301000,6301000-017,14鄰,金湖路,,,,,,5號,121.59523142515,25.083843319504
臺北市內湖區清白里22鄰金湖路46巷5號,63,6301000,6301000-017,22鄰,金湖路,,46巷,,,,5號,121.59706964839,25.082606199595
臺北市內湖區清白里22鄰金湖路64巷6號,63,6301000,6301000-017,22鄰,金湖路,,64巷,,,,6號,121.59733436681,25.082317611651
臺北市內湖區清白里20鄰金湖路46巷6弄6號,63,6301000,6301000-017,20鄰,金湖路,,46巷,6弄,,,6號,121.59677954428,25.082682822235
臺北市內湖區清白里15鄰金湖路6號,63,6301000,6301000-017,15鄰,金湖路,,,,,,6號,121.59558191249,25.083794922696
臺北市內湖區清白里15鄰金湖路14巷6號,63,6301000,6301000-017,15鄰,金湖路,,14巷,,,,6號,121.59581979887,25.08387432569
臺北市內湖區清白里14鄰金湖路7號,63,6301000,6301000-017,14鄰,金湖路,,,,,,7號,121.59527235466,25.083799784976
臺北市內湖區清白里21鄰金湖路65巷7號,63,6301000,6301000-017,21鄰,金湖路,,65巷,,,,7號,121.59665112416,25.081894492909
臺北市內湖區清白里22鄰金湖路46巷7號,63,6301000,6301000-017,22鄰,金湖路,,46巷,,,,7號,121.59713282551,25.082651256761
臺北市內湖區清白里22鄰金湖路64巷8號,63,6301000,6301000-017,22鄰,金湖路,,64巷,,,,8號,121.59738635328,25.082356818493
臺北市內湖區清白里20鄰金湖路46巷6弄8號,63,6301000,6301000-017,20鄰,金湖路,,46巷,6弄,,,8號,121.59671556019,25.082755510899
臺北市內湖區清白里15鄰金湖路8號,63,6301000,6301000-017,15鄰,金湖路,,,,,,8號,121.5956338489,25.0837356894
臺北市內湖區清白里15鄰金湖路14巷8號,63,6301000,6301000-017,15鄰,金湖路,,14巷,,,,8號,121.59579013671,25.083908796192
臺北市內湖區清白里21鄰金湖路65巷9號,63,6301000,6301000-017,21鄰,金湖路,,65巷,,,,9號,121.59653470026,25.081907916069
臺北市內湖區清白里22鄰金湖路46巷9號,63,6301000,6301000-017,22鄰,金湖路,,46巷,,,,9號,121.597242719,25.082527871696
臺北市內湖區清白里15鄰金湖路14巷10號,63,6301000,6301000-017,15鄰,金湖路,,14巷,,,,10號,121.59573319788,25.083974956017
臺北市內湖區清白里15鄰金湖路10號,63,6301000,6301000-017,15鄰,金湖路,,,,,,10號,121.59568090526,25.083682045931
臺北市內湖區清白里22鄰金湖路64巷10號,63,6301000,6301000-017,22鄰,金湖路,,64巷,,,,10號,121.59745169195,25.082406064828
臺北市內湖區清白里20鄰金湖路46巷6弄10號,63,6301000,6301000-017,20鄰,金湖路,,46巷,6弄,,,10號,121.59666921351,25.082808149734
臺北市內湖區清白里21鄰金湖路65巷11號,63,6301000,6301000-017,21鄰,金湖路,,65巷,,,,11號,121.59647378666,25.081806144873
臺北市內湖區清白里22鄰金湖路46巷11號,63,6301000,6301000-017,22鄰,金湖路,,46巷,,,,11號,121.59725851394,25.082508118135
臺北市內湖區清白里14鄰金湖路11號,63,6301000,6301000-017,14鄰,金湖路,,,,,,11號,121.59539520016,25.08366050522
臺北市內湖區清白里15鄰金湖路12號,63,6301000,6301000-017,15鄰,金湖路,,,,,,12號,121.59573491191,25.083620447991
臺北市內湖區清白里15鄰金湖路14巷12號,63,6301000,6301000-017,15鄰,金湖路,,14巷,,,,12號,121.59591204578,25.084006169844
臺北市內湖區清白里22鄰金湖路46巷13號,63,6301000,6301000-017,22鄰,金湖路,,46巷,,,,13號,121.59727456504,25.082488038535
臺北市內湖區清白里14鄰金湖路13號,63,6301000,6301000-017,14鄰,金湖路,,,,,,13號,121.59544418597,25.083606095734
臺北市內湖區清白里15鄰金湖路14巷14號,63,6301000,6301000-017,15鄰,金湖路,,14巷,,,,14號,121.5959381997,25.08397192105
臺北市內湖區清白里22鄰金湖路46巷15號,63,6301000,6301000-017,22鄰,金湖路,,46巷,,,,15號,121.59728944363,25.08246943521
臺北市內湖區清白里14鄰金湖路15號,63,6301000,6301000-017,14鄰,金湖路,,,,,,15號,121.59548556949,25.083560130803
臺北市內湖區清白里15鄰金湖路14巷16號,63,6301000,6301000-017,15鄰,金湖路,,14巷,,,,16號,121.5959989496,25.083892357368
臺北市內湖區清白里19鄰金湖路16號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16號,121.59592659713,25.083403964133
臺北市內湖區清白里19鄰金湖路16之1號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之1號,121.59594670412,25.083382053765
臺北市內湖區清白里19鄰金湖路16之2號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之2號,121.59596940455,25.083357307226
臺北市內湖區清白里19鄰金湖路16之3號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之3號,121.59593589277,25.083544618631
臺北市內湖區清白里19鄰金湖路16之4號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之4號,121.59599584056,25.083559445557
臺北市內湖區清白里19鄰金湖路16之5號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之5號,121.59605558707,25.083577740005
臺北市內湖區清白里19鄰金湖路16之6號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之6號,121.59620682688,25.08359275084
臺北市內湖區清白里19鄰金湖路16之7號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之7號,121.59621917214,25.083538172327
臺北市內湖區清白里19鄰金湖路16之8號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之8號,121.59624282983,25.083490030441
臺北市內湖區清白里19鄰金湖路16之9號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之9號,121.59624776087,25.08335378765
臺北市內湖區清白里19鄰金湖路16之10號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之10號,121.59619859619,25.083328201308
臺北市內湖區清白里19鄰金湖路16之11號,63,6301000,6301000-017,19鄰,金湖路,,,,,,16之11號,121.59613933136,25.083300858957
臺北市內湖區清白里14鄰金湖路17號,63,6301000,6301000-017,14鄰,金湖路,,,,,,17號,121.59553683295,25.083503193344
臺北市內湖區清白里15鄰金湖路14巷18號,63,6301000,6301000-017,15鄰,金湖路,,14巷,,,,18號,121.59601900584,25.083866095716
臺北市內湖區清白里11鄰金湖路19號,63,6301000,6301000-017,11鄰,金湖路,,,,,,19號,121.59556150879,25.083315086908
臺北市內湖區清白里20鄰金湖路20號,63,6301000,6301000-017,20鄰,金湖路,,,,,,20號,121.59618887202,25.083203509993
臺北市內湖區清白里22鄰金湖路46巷21號,63,6301000,6301000-017,22鄰,金湖路,,46巷,,,,21號,121.59705069801,25.082402577834
