FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市中正區幸福里1鄰青島東路1號,63,6300500,6300500-026,1鄰,青島東路,,,,,,1號,121.52078552077,25.04427020175
臺北市中正區幸福里1鄰青島東路1之3號,63,6300500,6300500-026,1鄰,青島東路,,,,,,1之3號,121.52112299693,25.044196423544
臺北市中正區幸福里1鄰青島東路3號,63,6300500,6300500-026,1鄰,青島東路,,,,,,3號,121.52144261511,25.044092309683
臺北市中正區幸福里1鄰青島東路3之1號,63,6300500,6300500-026,1鄰,青島東路,,,,,,3之1號,121.52157094482,25.044060260916
臺北市中正區幸福里1鄰青島東路3之2號,63,6300500,6300500-026,1鄰,青島東路,,,,,,3之2號,121.52167305023,25.044034768234
臺北市中正區幸福里1鄰青島東路3之3號,63,6300500,6300500-026,1鄰,青島東路,,,,,,3之3號,121.52177777895,25.044008607218
臺北市中正區幸福里1鄰青島東路3之4號,63,6300500,6300500-026,1鄰,青島東路,,,,,,3之4號,121.52181746237,25.043999999499
臺北市中正區幸福里2鄰青島東路4號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4號,121.52138254329,25.043912681
臺北市中正區幸福里2鄰青島東路4之1號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之1號,121.52143524951,25.04389959489
臺北市中正區幸福里2鄰青島東路4之2號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之2號,121.52148729241,25.043886664567
臺北市中正區幸福里2鄰青島東路4之3號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之3號,121.52154110734,25.043873294657
臺北市中正區幸福里2鄰青島東路4之4號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之4號,121.52159733782,25.043859329422
臺北市中正區幸福里2鄰青島東路4之5號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之5號,121.52166512124,25.043842488782
臺北市中正區幸福里2鄰青島東路4之6號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之6號,121.52172329205,25.043828047225
臺北市中正區幸福里2鄰青島東路4之7號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之7號,121.52179201593,25.043810977523
臺北市中正區幸福里2鄰青島東路4之8號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之8號,121.52165218091,25.043622844728
臺北市中正區幸福里2鄰青島東路4之9號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之9號,121.5215358681,25.043651474873
臺北市中正區幸福里2鄰青島東路4之10號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之10號,121.5214955165,25.04366141199
臺北市中正區幸福里2鄰青島東路4之11號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之11號,121.52143757297,25.043675690154
臺北市中正區幸福里2鄰青島東路4之12號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之12號,121.52137961945,25.043689950273
臺北市中正區幸福里2鄰青島東路4之13號,63,6300500,6300500-026,2鄰,青島東路,,,,,,4之13號,121.52131703285,25.043705364167
臺北市中正區幸福里1鄰青島東路5號,63,6300500,6300500-026,1鄰,青島東路,,,,,,5號,121.52201478713,25.04394942613
臺北市中正區幸福里1鄰青島東路5之1號,63,6300500,6300500-026,1鄰,青島東路,,,,,,5之1號,121.52209195796,25.043928498701
臺北市中正區幸福里1鄰青島東路5之2號,63,6300500,6300500-026,1鄰,青島東路,,,,,,5之2號,121.52213976735,25.043915140651
臺北市中正區幸福里2鄰青島東路6之1號,63,6300500,6300500-026,2鄰,青島東路,,,,,,6之1號,121.52190233719,25.043762217533
臺北市中正區幸福里2鄰青島東路6之2號,63,6300500,6300500-026,2鄰,青島東路,,,,,,6之2號,121.52194899518,25.043750777544
臺北市中正區幸福里2鄰青島東路6之3號,63,6300500,6300500-026,2鄰,青島東路,,,,,,6之3號,121.52201022125,25.04373704739
臺北市中正區幸福里2鄰青島東路6之4號,63,6300500,6300500-026,2鄰,青島東路,,,,,,6之4號,121.52207300746,25.043721984599
臺北市中正區幸福里1鄰青島東路7號,63,6300500,6300500-026,1鄰,青島東路,,,,,,7號,121.52237527817,25.043862843656
臺北市中正區幸福里1鄰青島東路7之1號,63,6300500,6300500-026,1鄰,青島東路,,,,,,7之1號,121.52233219391,25.043873377434
臺北市中正區幸福里1鄰青島東路7之2號,63,6300500,6300500-026,1鄰,青島東路,,,,,,7之2號,121.52224553039,25.043894573086
臺北市中正區幸福里1鄰青島東路7之3號,63,6300500,6300500-026,1鄰,青島東路,,,,,,7之3號,121.5224502401,25.043844532925
臺北市中正區幸福里1鄰青島東路7之4號,63,6300500,6300500-026,1鄰,青島東路,,,,,,7之4號,121.52250893643,25.043830179495
臺北市中正區幸福里1鄰青島東路7之5號,63,6300500,6300500-026,1鄰,青島東路,,,,,,7之5號,121.52235520368,25.04423091711
臺北市中正區幸福里1鄰青島東路7之6號,63,6300500,6300500-026,1鄰,青島東路,,,,,,7之6號,121.52245835519,25.044253512827
臺北市中正區幸福里1鄰青島東路7之7號,63,6300500,6300500-026,1鄰,青島東路,,,,,,7之7號,121.52253668521,25.044234829083
臺北市中正區幸福里1鄰青島東路7之8號,63,6300500,6300500-026,1鄰,青島東路,,,,,,7之8號,121.52261883801,25.044164112017
臺北市中正區幸福里2鄰青島東路8號,63,6300500,6300500-026,2鄰,青島東路,,,,,,8號,121.52216483207,25.043587992041
臺北市中正區幸福里1鄰青島東路9號,63,6300500,6300500-026,1鄰,青島東路,,,,,,9號,121.52265736522,25.043793906188
臺北市中正區幸福里2鄰青島東路10號,63,6300500,6300500-026,2鄰,青島東路,,,,,,10號,121.52239489282,25.043561687983
臺北市中正區幸福里5鄰青島東路15號,63,6300500,6300500-026,5鄰,青島東路,,,,,,15號,121.52339815763,25.043646984355
臺北市中正區幸福里5鄰青島東路17號,63,6300500,6300500-026,5鄰,青島東路,,,,,,17號,121.52353440762,25.043615664359
臺北市中正區幸福里5鄰青島東路19號,63,6300500,6300500-026,5鄰,青島東路,,,,,,19號,121.5238495702,25.043608965077
臺北市中正區幸福里5鄰青島東路21號,63,6300500,6300500-026,5鄰,青島東路,,,,,,21號,121.52407799464,25.043454239665
臺北市中正區幸福里5鄰青島東路21之1號,63,6300500,6300500-026,5鄰,青島東路,,,,,,21之1號,121.52406377173,25.043502752599
臺北市中正區幸福里5鄰青島東路21之2號,63,6300500,6300500-026,5鄰,青島東路,,,,,,21之2號,121.52406957755,25.043597996481
