FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市橋頭區中崎里4鄰中崎路關聖巷1號,64,6402000,6402000-014,4鄰,中崎路,,關聖巷,,,,1號,120.32368513459,22.762520153385
高雄市橋頭區中崎里6鄰中崎路1號,64,6402000,6402000-014,6鄰,中崎路,,,,,,1號,120.32211401296,22.762022228318
高雄市橋頭區中崎里6鄰中崎路光復巷1號,64,6402000,6402000-014,6鄰,中崎路,,光復巷,,,,1號,120.32261369126,22.762861120724
高雄市橋頭區中崎里7鄰中崎路關聖巷23弄1號,64,6402000,6402000-014,7鄰,中崎路,,關聖巷,23弄,,,1號,120.32412616068,22.76366465792
高雄市橋頭區中崎里8鄰中崎路關聖巷1弄1號,64,6402000,6402000-014,8鄰,中崎路,,關聖巷,1弄,,,1號,120.32345854628,22.762875268525
高雄市橋頭區中崎里9鄰中崎路關聖巷2弄1號,64,6402000,6402000-014,9鄰,中崎路,,關聖巷,2弄,,,1號,120.32335171552,22.763213281276
高雄市橋頭區中崎里6鄰中崎路1之1號,64,6402000,6402000-014,6鄰,中崎路,,,,,,1之1號,120.3217534742,22.761856521655
高雄市橋頭區中崎里4鄰中崎路灣子溝1之1號,64,6402000,6402000-014,4鄰,中崎路,,,,,,1之1號,120.32782676519,22.757828922292
高雄市橋頭區中崎里4鄰中崎路灣子溝1之2號,64,6402000,6402000-014,4鄰,中崎路,,,,,,1之2號,120.32783469796,22.757919080803
高雄市橋頭區中崎里4鄰中崎路關聖巷2號,64,6402000,6402000-014,4鄰,中崎路,,關聖巷,,,,2號,120.32345642995,22.762533994615
高雄市橋頭區中崎里6鄰中崎路2號,64,6402000,6402000-014,6鄰,中崎路,,,,,,2號,120.32211422559,22.761979153444
高雄市橋頭區中崎里8鄰中崎路關聖巷1弄2號,64,6402000,6402000-014,8鄰,中崎路,,關聖巷,1弄,,,2號,120.32340919898,22.76287081506
高雄市橋頭區中崎里9鄰中崎路關聖巷2弄2號,64,6402000,6402000-014,9鄰,中崎路,,關聖巷,2弄,,,2號,120.32341206897,22.76343460518
高雄市橋頭區中崎里7鄰中崎路關聖巷23弄2號,64,6402000,6402000-014,7鄰,中崎路,,關聖巷,23弄,,,2號,120.32417776878,22.763664876374
高雄市橋頭區中崎里6鄰中崎路光復巷2號,64,6402000,6402000-014,6鄰,中崎路,,光復巷,,,,2號,120.32274794771,22.762727767027
高雄市橋頭區中崎里6鄰中崎路光復巷3號,64,6402000,6402000-014,6鄰,中崎路,,光復巷,,,,3號,120.32258334309,22.762834713038
高雄市橋頭區中崎里7鄰中崎路關聖巷23弄3號,64,6402000,6402000-014,7鄰,中崎路,,關聖巷,23弄,,,3號,120.32423308508,22.763663485006
高雄市橋頭區中崎里9鄰中崎路關聖巷2弄3號,64,6402000,6402000-014,9鄰,中崎路,,關聖巷,2弄,,,3號,120.32331223894,22.763181777926
高雄市橋頭區中崎里8鄰中崎路關聖巷1弄3號,64,6402000,6402000-014,8鄰,中崎路,,關聖巷,1弄,,,3號,120.32336092235,22.762866456422
高雄市橋頭區中崎里8鄰中崎路關聖巷3號,64,6402000,6402000-014,8鄰,中崎路,,關聖巷,,,,3號,120.32378658918,22.762581539384
高雄市橋頭區中崎里8鄰中崎路關聖巷4號,64,6402000,6402000-014,8鄰,中崎路,,關聖巷,,,,4號,120.32345624266,22.762572012489
高雄市橋頭區中崎里8鄰中崎路關聖巷1弄4號,64,6402000,6402000-014,8鄰,中崎路,,關聖巷,1弄,,,4號,120.32331489019,22.76286111392
高雄市橋頭區中崎里9鄰中崎路關聖巷2弄4號,64,6402000,6402000-014,9鄰,中崎路,,關聖巷,2弄,,,4號,120.32337012105,22.763410586736
高雄市橋頭區中崎里7鄰中崎路關聖巷23弄4號,64,6402000,6402000-014,7鄰,中崎路,,關聖巷,23弄,,,4號,120.324279427,22.763665306641
高雄市橋頭區中崎里6鄰中崎路光復巷4號,64,6402000,6402000-014,6鄰,中崎路,,光復巷,,,,4號,120.32271650706,22.762705689401
高雄市橋頭區中崎里6鄰中崎路4號,64,6402000,6402000-014,6鄰,中崎路,,,,,,4號,120.32244384625,22.761721014156
高雄市橋頭區中崎里6鄰中崎路光復巷5號,64,6402000,6402000-014,6鄰,中崎路,,光復巷,,,,5號,120.32255199937,22.762812726097
高雄市橋頭區中崎里6鄰中崎路5號,64,6402000,6402000-014,6鄰,中崎路,,,,,,5號,120.32224507513,22.761904664944
高雄市橋頭區中崎里7鄰中崎路關聖巷23弄5號,64,6402000,6402000-014,7鄰,中崎路,,關聖巷,23弄,,,5號,120.3240392501,22.763437713194
高雄市橋頭區中崎里9鄰中崎路關聖巷2弄5號,64,6402000,6402000-014,9鄰,中崎路,,關聖巷,2弄,,,5號,120.32327657864,22.763146497904
