FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市內門區溝坪里6鄰久采1號,64,6403500,6403500-001,6鄰,久采,,,,,,1號,120.49162673736,22.989220258619
高雄市內門區溝坪里6鄰久采2號,64,6403500,6403500-001,6鄰,久采,,,,,,2號,120.49412617638,22.987647468472
高雄市內門區溝坪里6鄰久采2之1號,64,6403500,6403500-001,6鄰,久采,,,,,,2之1號,120.49396804355,22.987758670897
高雄市內門區溝坪里6鄰久采3號,64,6403500,6403500-001,6鄰,久采,,,,,,3號,120.4896247601,22.990308409433
高雄市內門區溝坪里6鄰久采4號,64,6403500,6403500-001,6鄰,久采,,,,,,4號,120.48967670726,22.989956026133
高雄市內門區溝坪里6鄰久采5號,64,6403500,6403500-001,6鄰,久采,,,,,,5號,120.49424852804,22.990780179303
高雄市內門區溝坪里6鄰久采5之2號,64,6403500,6403500-001,6鄰,久采,,,,,,5之2號,120.49415112713,22.990559524134
高雄市內門區溝坪里6鄰久采5之3號,64,6403500,6403500-001,6鄰,久采,,,,,,5之3號,120.49411853142,22.990485640868
高雄市內門區溝坪里6鄰久采5之4號,64,6403500,6403500-001,6鄰,久采,,,,,,5之4號,120.49408931998,22.990419715243
高雄市內門區溝坪里6鄰久采6號,64,6403500,6403500-001,6鄰,久采,,,,,,6號,120.49499931523,22.990459553005
高雄市內門區溝坪里6鄰久采6之3號,64,6403500,6403500-001,6鄰,久采,,,,,,6之3號,120.49219392067,22.990734686139
高雄市內門區溝坪里6鄰久采7號,64,6403500,6403500-001,6鄰,久采,,,,,,7號,120.49218629346,22.990896307629
高雄市內門區溝坪里6鄰久采7之1號,64,6403500,6403500-001,6鄰,久采,,,,,,7之1號,120.4953019228,22.990344023723
高雄市內門區溝坪里6鄰久采8號,64,6403500,6403500-001,6鄰,久采,,,,,,8號,120.49216602578,22.991334221862
高雄市內門區溝坪里6鄰久采12號,64,6403500,6403500-001,6鄰,久采,,,,,,12號,120.48717248618,22.990962336195
高雄市內門區溝坪里6鄰久采14號,64,6403500,6403500-001,6鄰,久采,,,,,,14號,120.48229899115,22.994468828657
高雄市內門區溝坪里6鄰久采16號,64,6403500,6403500-001,6鄰,久采,,,,,,16號,120.48848788967,22.992936229438
高雄市內門區溝坪里6鄰久采16之1號,64,6403500,6403500-001,6鄰,久采,,,,,,16之1號,120.48835592532,22.992726657097
高雄市內門區溝坪里6鄰久采18號,64,6403500,6403500-001,6鄰,久采,,,,,,18號,120.4913742012,22.993936257645
高雄市內門區溝坪里6鄰久采20號,64,6403500,6403500-001,6鄰,久采,,,,,,20號,120.49194165357,22.992411021527
高雄市內門區溝坪里6鄰久采21號,64,6403500,6403500-001,6鄰,久采,,,,,,21號,120.49202544919,22.992304640046
高雄市內門區溝坪里6鄰久采22號,64,6403500,6403500-001,6鄰,久采,,,,,,22號,120.49370394977,22.991568428214
高雄市內門區溝坪里6鄰久采23號,64,6403500,6403500-001,6鄰,久采,,,,,,23號,120.4935130139,22.991529257718
高雄市內門區溝坪里6鄰久采24號,64,6403500,6403500-001,6鄰,久采,,,,,,24號,120.49339947963,22.991319296837
高雄市內門區溝坪里6鄰久采25號,64,6403500,6403500-001,6鄰,久采,,,,,,25號,120.49355994596,22.991132878489
