FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市仁武區仁慈里2鄰仁慈路1號,64,6401700,6401700-016,2鄰,仁慈路,,,,,,1號,120.36057729418,22.66908749874
高雄市仁武區仁慈里2鄰仁慈路9巷1號,64,6401700,6401700-016,2鄰,仁慈路,,9巷,,,,1號,120.36047258134,22.669110199337
高雄市仁武區仁慈里4鄰仁慈路109巷1號,64,6401700,6401700-016,4鄰,仁慈路,,109巷,,,,1號,120.35806753978,22.673133693594
高雄市仁武區仁慈里2鄰仁慈路9巷2號,64,6401700,6401700-016,2鄰,仁慈路,,9巷,,,,2號,120.36033965913,22.669319542372
高雄市仁武區仁慈里11鄰仁慈路185巷2號,64,6401700,6401700-016,11鄰,仁慈路,,185巷,,,,2號,120.35660972708,22.674631094882
高雄市仁武區仁慈里4鄰仁慈路109巷2號,64,6401700,6401700-016,4鄰,仁慈路,,109巷,,,,2號,120.35793463642,22.673337345117
高雄市仁武區仁慈里4鄰仁慈路157巷2號,64,6401700,6401700-016,4鄰,仁慈路,,157巷,,,,2號,120.35752638704,22.673697658621
高雄市仁武區仁慈里4鄰仁慈路85巷2號,64,6401700,6401700-016,4鄰,仁慈路,,85巷,,,,2號,120.35843815135,22.672454172977
高雄市仁武區仁慈里9鄰仁慈路2號,64,6401700,6401700-016,9鄰,仁慈路,,,,,,2號,120.3608896346,22.66917643348
高雄市仁武區仁慈里4鄰仁慈路109巷3號,64,6401700,6401700-016,4鄰,仁慈路,,109巷,,,,3號,120.35797676704,22.673108585612
高雄市仁武區仁慈里2鄰仁慈路9巷3號,64,6401700,6401700-016,2鄰,仁慈路,,9巷,,,,3號,120.36043810036,22.669096425291
高雄市仁武區仁慈里2鄰仁慈路3號,64,6401700,6401700-016,2鄰,仁慈路,,,,,,3號,120.36055502621,22.669126061303
高雄市仁武區仁慈里2鄰仁慈路35巷3號,64,6401700,6401700-016,2鄰,仁慈路,,35巷,,,,3號,120.35949630822,22.670717106634
高雄市仁武區仁慈里4鄰仁慈路157巷4號,64,6401700,6401700-016,4鄰,仁慈路,,157巷,,,,4號,120.35749185798,22.673673137201
高雄市仁武區仁慈里2鄰仁慈路35巷5號,64,6401700,6401700-016,2鄰,仁慈路,,35巷,,,,5號,120.35929341071,22.670739142856
高雄市仁武區仁慈里2鄰仁慈路5號,64,6401700,6401700-016,2鄰,仁慈路,,,,,,5號,120.36054045641,22.66916230661
高雄市仁武區仁慈里2鄰仁慈路9巷5號,64,6401700,6401700-016,2鄰,仁慈路,,9巷,,,,5號,120.360403525,22.66908201871
高雄市仁武區仁慈里4鄰仁慈路109巷5號,64,6401700,6401700-016,4鄰,仁慈路,,109巷,,,,5號,120.3578043606,22.67308107321
高雄市仁武區仁慈里9鄰仁慈路6號,64,6401700,6401700-016,9鄰,仁慈路,,,,,,6號,120.36086735917,22.669216621587
高雄市仁武區仁慈里4鄰仁慈路109巷6號,64,6401700,6401700-016,4鄰,仁慈路,,109巷,,,,6號,120.35782891348,22.673304501014
高雄市仁武區仁慈里4鄰仁慈路157巷6號,64,6401700,6401700-016,4鄰,仁慈路,,157巷,,,,6號,120.35746455559,22.673643136035
高雄市仁武區仁慈里4鄰仁慈路85巷6號,64,6401700,6401700-016,4鄰,仁慈路,,85巷,,,,6號,120.35831907848,22.672383527373
高雄市仁武區仁慈里2鄰仁慈路9巷6號,64,6401700,6401700-016,2鄰,仁慈路,,9巷,,,,6號,120.36028772092,22.669293145888
高雄市仁武區仁慈里11鄰仁慈路185巷6號,64,6401700,6401700-016,11鄰,仁慈路,,185巷,,,,6號,120.35656332471,22.674606796484
高雄市仁武區仁慈里4鄰仁慈路109巷7號,64,6401700,6401700-016,4鄰,仁慈路,,109巷,,,,7號,120.35774247902,22.673058248307
高雄市仁武區仁慈里2鄰仁慈路9巷7號,64,6401700,6401700-016,2鄰,仁慈路,,9巷,,,,7號,120.36036506865,22.669065158332
高雄市仁武區仁慈里2鄰仁慈路7號,64,6401700,6401700-016,2鄰,仁慈路,,,,,,7號,120.36052600652,22.669193675808
高雄市仁武區仁慈里9鄰仁慈路8號,64,6401700,6401700-016,9鄰,仁慈路,,,,,,8號,120.36085194087,22.669246993573
高雄市仁武區仁慈里2鄰仁慈路9巷8號,64,6401700,6401700-016,2鄰,仁慈路,,9巷,,,,8號,120.36023988347,22.66926378563
高雄市仁武區仁慈里11鄰仁慈路185巷8號,64,6401700,6401700-016,11鄰,仁慈路,,185巷,,,,8號,120.35650970107,22.674586803795
