FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市楠梓區惠民里18鄰健民街1號,64,6400400,6400400-007,18鄰,健民街,,,,,,1號,120.32180318648,22.730118764388
高雄市楠梓區惠民里20鄰健民街9巷1號,64,6400400,6400400-007,20鄰,健民街,,9巷,,,,1號,120.3217908811,22.730245140525
高雄市楠梓區惠民里22鄰健民街27巷1號,64,6400400,6400400-007,22鄰,健民街,,27巷,,,,1號,120.32209044654,22.730499267966
高雄市楠梓區惠民里21鄰健民街10巷1號,64,6400400,6400400-007,21鄰,健民街,,10巷,,,,1號,120.32229326561,22.730057628764
高雄市楠梓區惠民里24鄰健民街45巷1號,64,6400400,6400400-007,24鄰,健民街,,45巷,,,,1號,120.32237165835,22.730744286457
高雄市楠梓區惠民里23鄰健民街28巷1號,64,6400400,6400400-007,23鄰,健民街,,28巷,,,,1號,120.32259084013,22.73032077744
高雄市楠梓區惠民里25鄰健民街46巷1號,64,6400400,6400400-007,25鄰,健民街,,46巷,,,,1號,120.32290009782,22.730583975065
高雄市楠梓區惠民里26鄰健民街63巷1號,64,6400400,6400400-007,26鄰,健民街,,63巷,,,,1號,120.32269445669,22.731025603074
高雄市楠梓區惠民里27鄰健民街63巷10弄1號,64,6400400,6400400-007,27鄰,健民街,,63巷,10弄,,,1號,120.3228255849,22.731422240613
高雄市楠梓區惠民里27鄰健民街63巷32弄1號,64,6400400,6400400-007,27鄰,健民街,,63巷,32弄,,,1號,120.32246137281,22.731701909926
高雄市楠梓區惠民里24鄰健民街45巷2號,64,6400400,6400400-007,24鄰,健民街,,45巷,,,,2號,120.3225830372,22.730916763755
高雄市楠梓區惠民里23鄰健民街28巷2號,64,6400400,6400400-007,23鄰,健民街,,28巷,,,,2號,120.32240375517,22.730157433739
高雄市楠梓區惠民里22鄰健民街27巷2號,64,6400400,6400400-007,22鄰,健民街,,27巷,,,,2號,120.3222737794,22.730653565523
高雄市楠梓區惠民里20鄰健民街9巷2號,64,6400400,6400400-007,20鄰,健民街,,9巷,,,,2號,120.32196150493,22.730390353912
高雄市楠梓區惠民里21鄰健民街10巷2號,64,6400400,6400400-007,21鄰,健民街,,10巷,,,,2號,120.32210311902,22.729903302337
高雄市楠梓區惠民里19鄰健民街2號,64,6400400,6400400-007,19鄰,健民街,,,,,,2號,120.32199160483,22.729932449736
高雄市楠梓區惠民里27鄰健民街63巷32弄2號,64,6400400,6400400-007,27鄰,健民街,,63巷,32弄,,,2號,120.32263452927,22.731531062508
高雄市楠梓區惠民里27鄰健民街63巷10弄2號,64,6400400,6400400-007,27鄰,健民街,,63巷,10弄,,,2號,120.32289901556,22.731278423374
高雄市楠梓區惠民里26鄰健民街63巷2號,64,6400400,6400400-007,26鄰,健民街,,63巷,,,,2號,120.32288357908,22.731170893885
高雄市楠梓區惠民里26鄰健民街64巷2號,64,6400400,6400400-007,26鄰,健民街,,64巷,,,,2號,120.32300673868,22.730674732733
高雄市楠梓區惠民里25鄰健民街46巷2號,64,6400400,6400400-007,25鄰,健民街,,46巷,,,,2號,120.32270619762,22.73042060284
高雄市楠梓區惠民里18鄰健民街3號,64,6400400,6400400-007,18鄰,健民街,,,,,,3號,120.32183031089,22.730145971258
高雄市楠梓區惠民里21鄰健民街10巷3號,64,6400400,6400400-007,21鄰,健民街,,10巷,,,,3號,120.32232357756,22.730030665485
高雄市楠梓區惠民里20鄰健民街9巷3號,64,6400400,6400400-007,20鄰,健民街,,9巷,,,,3號,120.3217557015,22.730272083046
高雄市楠梓區惠民里22鄰健民街27巷3號,64,6400400,6400400-007,22鄰,健民街,,27巷,,,,3號,120.32206305495,22.730526243583
高雄市楠梓區惠民里23鄰健民街28巷3號,64,6400400,6400400-007,23鄰,健民街,,28巷,,,,3號,120.32261531107,22.730293789352
高雄市楠梓區惠民里25鄰健民街46巷3號,64,6400400,6400400-007,25鄰,健民街,,46巷,,,,3號,120.32292262175,22.730556978684
高雄市楠梓區惠民里24鄰健民街45巷3號,64,6400400,6400400-007,24鄰,健民街,,45巷,,,,3號,120.32234231975,22.730771253867
高雄市楠梓區惠民里26鄰健民街63巷3號,64,6400400,6400400-007,26鄰,健民街,,63巷,,,,3號,120.32267684463,22.731043589637
高雄市楠梓區惠民里27鄰健民街63巷32弄3號,64,6400400,6400400-007,27鄰,健民街,,63巷,32弄,,,3號,120.32249531224,22.731729145574
高雄市楠梓區惠民里27鄰健民街63巷32弄4號,64,6400400,6400400-007,27鄰,健民街,,63巷,32弄,,,4號,120.32266068061,22.731558265118
高雄市楠梓區惠民里26鄰健民街64巷4號,64,6400400,6400400-007,26鄰,健民街,,64巷,,,,4號,120.32303607713,22.730647765197
高雄市楠梓區惠民里24鄰健民街45巷4號,64,6400400,6400400-007,24鄰,健民街,,45巷,,,,4號,120.32255467211,22.73094373533
高雄市楠梓區惠民里25鄰健民街46巷4號,64,6400400,6400400-007,25鄰,健民街,,46巷,,,,4號,120.32273358908,22.730393627109
高雄市楠梓區惠民里26鄰健民街63巷4號,64,6400400,6400400-007,26鄰,健民街,,63巷,,,,4號,120.32285326697,22.731197857264
高雄市楠梓區惠民里23鄰健民街28巷4號,64,6400400,6400400-007,23鄰,健民街,,28巷,,,,4號,120.32243605861,22.730121448283
高雄市楠梓區惠民里22鄰健民街27巷4號,64,6400400,6400400-007,22鄰,健民街,,27巷,,,,4號,120.32225320233,22.730680570066
高雄市楠梓區惠民里20鄰健民街9巷4號,64,6400400,6400400-007,20鄰,健民街,,9巷,,,,4號,120.32193995434,22.730417354285
高雄市楠梓區惠民里21鄰健民街10巷4號,64,6400400,6400400-007,21鄰,健民街,,10巷,,,,4號,120.32213736947,22.729867325198
高雄市楠梓區惠民里19鄰健民街4號,64,6400400,6400400-007,19鄰,健民街,,,,,,4號,120.3220269191,22.729957162744
高雄市楠梓區惠民里18鄰健民街5號,64,6400400,6400400-007,18鄰,健民街,,,,,,5號,120.32186035582,22.730173190514
高雄市楠梓區惠民里21鄰健民街10巷5號,64,6400400,6400400-007,21鄰,健民街,,10巷,,,,5號,120.32234707501,22.73000367331
高雄市楠梓區惠民里20鄰健民街9巷5號,64,6400400,6400400-007,20鄰,健民街,,9巷,,,,5號,120.32172738092,22.730290024068
高雄市楠梓區惠民里22鄰健民街27巷5號,64,6400400,6400400-007,22鄰,健民街,,27巷,,,,5號,120.32204053085,22.730553239839
高雄市楠梓區惠民里23鄰健民街28巷5號,64,6400400,6400400-007,23鄰,健民街,,28巷,,,,5號,120.32264270252,22.730266813636
高雄市楠梓區惠民里26鄰健民街63巷5號,64,6400400,6400400-007,26鄰,健民街,,63巷,,,,5號,120.32265237356,22.731070577729
高雄市楠梓區惠民里25鄰健民街46巷5號,64,6400400,6400400-007,25鄰,健民街,,46巷,,,,5號,120.32294417217,22.730529978175
高雄市楠梓區惠民里24鄰健民街45巷5號,64,6400400,6400400-007,24鄰,健民街,,45巷,,,,5號,120.32231594614,22.730789203246
高雄市楠梓區惠民里27鄰健民街63巷32弄5號,64,6400400,6400400-007,27鄰,健民街,,63巷,32弄,,,5號,120.32251664051,22.731747297168
高雄市楠梓區惠民里27鄰健民街63巷32弄6號,64,6400400,6400400-007,27鄰,健民街,,63巷,32弄,,,6號,120.32268979697,22.731576449691
高雄市楠梓區惠民里26鄰健民街64巷6號,64,6400400,6400400-007,26鄰,健民街,,64巷,,,,6號,120.32306634463,22.730629832188
高雄市楠梓區惠民里24鄰健民街45巷6號,64,6400400,6400400-007,24鄰,健民街,,45巷,,,,6號,120.32253024551,22.730961692995
高雄市楠梓區惠民里25鄰健民街46巷6號,64,6400400,6400400-007,25鄰,健民街,,46巷,,,,6號,120.32275606854,22.730375661159
高雄市楠梓區惠民里23鄰健民街28巷6號,64,6400400,6400400-007,23鄰,健民街,,28巷,,,,6號,120.32245756457,22.730103478248
高雄市楠梓區惠民里22鄰健民街27巷6號,64,6400400,6400400-007,22鄰,健民街,,27巷,,,,6號,120.32222191672,22.730707529198
高雄市楠梓區惠民里20鄰健民街9巷6號,64,6400400,6400400-007,20鄰,健民街,,9巷,,,,6號,120.32191455426,22.730435307728
高雄市楠梓區惠民里21鄰健民街10巷6號,64,6400400,6400400-007,21鄰,健民街,,10巷,,,,6號,120.32216276942,22.729849371715
高雄市楠梓區惠民里19鄰健民街6號,64,6400400,6400400-007,19鄰,健民街,,,,,,6號,120.32205307003,22.729984365448
高雄市楠梓區惠民里25鄰健民街46巷7號,64,6400400,6400400-007,25鄰,健民街,,46巷,,,,7號,120.32294731494,22.7304848385
高雄市楠梓區惠民里26鄰健民街63巷7號,64,6400400,6400400-007,26鄰,健民街,,63巷,,,,7號,120.32262303494,22.731097545189
高雄市楠梓區惠民里24鄰健民街45巷7號,64,6400400,6400400-007,24鄰,健民街,,45巷,,,,7號,120.32229634257,22.73081621192
高雄市楠梓區惠民里27鄰健民街63巷32弄7號,64,6400400,6400400-007,27鄰,健民街,,63巷,32弄,,,7號,120.32254965094,22.731765498272
高雄市楠梓區惠民里18鄰健民街7號,64,6400400,6400400-007,18鄰,健民街,,,,,,7號,120.32188752478,22.730191366967
高雄市楠梓區惠民里21鄰健民街10巷7號,64,6400400,6400400-007,21鄰,健民街,,10巷,,,,7號,120.32237349295,22.729976693512
高雄市楠梓區惠民里20鄰健民街9巷7號,64,6400400,6400400-007,20鄰,健民街,,9巷,,,,7號,120.32169808682,22.730307960953
高雄市楠梓區惠民里22鄰健民街27巷7號,64,6400400,6400400-007,22鄰,健民街,,27巷,,,,7號,120.32201313924,22.730580215447
高雄市楠梓區惠民里23鄰健民街28巷7號,64,6400400,6400400-007,23鄰,健民街,,28巷,,,,7號,120.32267593495,22.730239862665
高雄市楠梓區惠民里23鄰健民街28巷8號,64,6400400,6400400-007,23鄰,健民街,,28巷,,,,8號,120.3224839825,22.730076498432
高雄市楠梓區惠民里22鄰健民街27巷8號,64,6400400,6400400-007,22鄰,健民街,,27巷,,,,8號,120.32220041063,22.730725499197
高雄市楠梓區惠民里20鄰健民街9巷8號,64,6400400,6400400-007,20鄰,健民街,,9巷,,,,8號,120.32189300366,22.730462308094
高雄市楠梓區惠民里21鄰健民街10巷8號,64,6400400,6400400-007,21鄰,健民街,,10巷,,,,8號,120.32218431987,22.729822371307
高雄市楠梓區惠民里19鄰健民街8號,64,6400400,6400400-007,19鄰,健民街,,,,,,8號,120.32209479695,22.730011634206
高雄市楠梓區惠民里27鄰健民街63巷32弄8號,64,6400400,6400400-007,27鄰,健民街,,63巷,32弄,,,8號,120.32271891333,22.73159463426
高雄市楠梓區惠民里26鄰健民街64巷8號,64,6400400,6400400-007,26鄰,健民街,,64巷,,,,8號,120.32308497453,22.730602819291
高雄市楠梓區惠民里24鄰健民街45巷8號,64,6400400,6400400-007,24鄰,健民街,,45巷,,,,8號,120.32250183591,22.730997694967
高雄市楠梓區惠民里26鄰健民街63巷8號,64,6400400,6400400-007,26鄰,健民街,,63巷,,,,8號,120.32280242227,22.73124279484
高雄市楠梓區惠民里25鄰健民街46巷8號,64,6400400,6400400-007,25鄰,健民街,,46巷,,,,8號,120.32278248647,22.730348681294
高雄市楠梓區惠民里25鄰健民街46巷9號,64,6400400,6400400-007,25鄰,健民街,,46巷,,,,9號,120.32298727299,22.730475977148
高雄市楠梓區惠民里26鄰健民街63巷9號,64,6400400,6400400-007,26鄰,健民街,,63巷,,,,9號,120.32259860832,22.731115502864
高雄市楠梓區惠民里24鄰健民街45巷9號,64,6400400,6400400-007,24鄰,健民街,,45巷,,,,9號,120.32227094245,22.730834165419
高雄市楠梓區惠民里27鄰健民街63巷32弄9號,64,6400400,6400400-007,27鄰,健民街,,63巷,32弄,,,9號,120.32257292625,22.731783658111
高雄市楠梓區惠民里21鄰健民街10巷9號,64,6400400,6400400-007,21鄰,健民街,,10巷,,,,9號,120.32240181338,22.729958752371
高雄市楠梓區惠民里20鄰健民街9巷9號,64,6400400,6400400-007,20鄰,健民街,,9巷,,,,9號,120.32167073973,22.730325906096
高雄市楠梓區惠民里22鄰健民街27巷9號,64,6400400,6400400-007,22鄰,健民街,,27巷,,,,9號,120.32199552715,22.730598201936
高雄市楠梓區惠民里23鄰健民街28巷9號,64,6400400,6400400-007,23鄰,健民街,,28巷,,,,9號,120.3227023084,22.730221913222
