FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鳳山區正義里15鄰南江街153巷1號,64,6401200,6401200-027,15鄰,南江街,,153巷,,,,1號,120.33917022307,22.602240988077
高雄市鳳山區正義里17鄰南江街197巷2弄1號,64,6401200,6401200-027,17鄰,南江街,,197巷,2弄,,,1號,120.34019101042,22.603093265219
高雄市鳳山區正義里17鄰南江街219巷1號,64,6401200,6401200-027,17鄰,南江街,,219巷,,,,1號,120.3405345436,22.603133779884
高雄市鳳山區正義里23鄰南江街260巷1號,64,6401200,6401200-027,23鄰,南江街,,260巷,,,,1號,120.34167087313,22.603356717005
高雄市鳳山區正義里33鄰南江街176巷1號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,1號,120.34014270603,22.602290231972
高雄市鳳山區正義里33鄰南江街190巷1號,64,6401200,6401200-027,33鄰,南江街,,190巷,,,,1號,120.34031506301,22.60249250687
高雄市鳳山區正義里38鄰南江街247巷1號,64,6401200,6401200-027,38鄰,南江街,,247巷,,,,1號,120.3415931313,22.603792132499
高雄市鳳山區正義里33鄰南江街176巷1之1號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,1之1號,120.34014270603,22.602290231972
高雄市鳳山區正義里33鄰南江街176巷1之2號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,1之2號,120.34014270603,22.602290231972
高雄市鳳山區正義里33鄰南江街176巷1之3號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,1之3號,120.34014270603,22.602290231972
高雄市鳳山區正義里33鄰南江街176巷1之4號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,1之4號,120.34014270603,22.602290231972
高雄市鳳山區正義里5鄰南江街166巷2號,64,6401200,6401200-027,5鄰,南江街,,166巷,,,,2號,120.34001151024,22.601961605121
高雄市鳳山區正義里38鄰南江街247巷2號,64,6401200,6401200-027,38鄰,南江街,,247巷,,,,2號,120.34171638456,22.6039308989
高雄市鳳山區正義里38鄰南江街241巷2號,64,6401200,6401200-027,38鄰,南江街,,241巷,,,,2號,120.34151005467,22.603733723969
高雄市鳳山區正義里33鄰南江街176巷2號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,2號,120.33997989494,22.602187063598
高雄市鳳山區正義里33鄰南江街190巷2號,64,6401200,6401200-027,33鄰,南江街,,190巷,,,,2號,120.34015640473,22.602497453955
高雄市鳳山區正義里17鄰南江街219巷2號,64,6401200,6401200-027,17鄰,南江街,,219巷,,,,2號,120.34069774086,22.603197033332
高雄市鳳山區正義里23鄰南江街260巷2號,64,6401200,6401200-027,23鄰,南江街,,260巷,,,,2號,120.3415133673,22.603262331747
高雄市鳳山區正義里23鄰南江街280巷2號,64,6401200,6401200-027,23鄰,南江街,,280巷,,,,2號,120.34179389168,22.603422062282
高雄市鳳山區正義里17鄰南江街197巷2弄2號,64,6401200,6401200-027,17鄰,南江街,,197巷,2弄,,,2號,120.34028525101,22.602992688582
高雄市鳳山區正義里17鄰南江街197巷4弄2號,64,6401200,6401200-027,17鄰,南江街,,197巷,4弄,,,2號,120.34008777773,22.603223425733
高雄市鳳山區正義里15鄰南江街153巷2號,64,6401200,6401200-027,15鄰,南江街,,153巷,,,,2號,120.33923962249,22.602291304125
高雄市鳳山區正義里15鄰南江街133巷2號,64,6401200,6401200-027,15鄰,南江街,,133巷,,,,2號,120.3389559868,22.602091730741
高雄市鳳山區正義里33鄰南江街176巷2之1號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,2之1號,120.33997989494,22.602187063598
高雄市鳳山區正義里38鄰南江街241巷2之1號,64,6401200,6401200-027,38鄰,南江街,,241巷,,,,2之1號,120.34151005467,22.603733723969
高雄市鳳山區正義里5鄰南江街166巷2之1號,64,6401200,6401200-027,5鄰,南江街,,166巷,,,,2之1號,120.34001151024,22.601961605121
高雄市鳳山區正義里5鄰南江街166巷2之2號,64,6401200,6401200-027,5鄰,南江街,,166巷,,,,2之2號,120.34001151024,22.601961605121
高雄市鳳山區正義里38鄰南江街241巷2之2號,64,6401200,6401200-027,38鄰,南江街,,241巷,,,,2之2號,120.34151005467,22.603733723969
高雄市鳳山區正義里33鄰南江街176巷2之2號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,2之2號,120.33997989494,22.602187063598
高雄市鳳山區正義里33鄰南江街176巷2之3號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,2之3號,120.33997989494,22.602187063598
高雄市鳳山區正義里38鄰南江街241巷2之3號,64,6401200,6401200-027,38鄰,南江街,,241巷,,,,2之3號,120.34151005467,22.603733723969
高雄市鳳山區正義里5鄰南江街166巷2之3號,64,6401200,6401200-027,5鄰,南江街,,166巷,,,,2之3號,120.34001151024,22.601961605121
高雄市鳳山區正義里5鄰南江街166巷2之4號,64,6401200,6401200-027,5鄰,南江街,,166巷,,,,2之4號,120.34001151024,22.601961605121
高雄市鳳山區正義里33鄰南江街176巷2之4號,64,6401200,6401200-027,33鄰,南江街,,176巷,,,,2之4號,120.33997989494,22.602187063598
