FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鳳山區老爺里1鄰同明街1號,64,6401200,6401200-017,1鄰,同明街,,,,,,1號,120.34216562628,22.606001236325
高雄市鳳山區老爺里1鄰同明街9巷1號,64,6401200,6401200-017,1鄰,同明街,,9巷,,,,1號,120.34232054982,22.605984802966
高雄市鳳山區老爺里34鄰同明街98巷1號,64,6401200,6401200-017,34鄰,同明街,,98巷,,,,1號,120.34354698809,22.604441137257
高雄市鳳山區老爺里35鄰同明街62巷1號,64,6401200,6401200-017,35鄰,同明街,,62巷,,,,1號,120.34290781763,22.604595296448
高雄市鳳山區老爺里36鄰同明街29巷1號,64,6401200,6401200-017,36鄰,同明街,,29巷,,,,1號,120.34271189125,22.605381344734
高雄市鳳山區老爺里37鄰同明街35巷1號,64,6401200,6401200-017,37鄰,同明街,,35巷,,,,1號,120.34286983449,22.605199931164
高雄市鳳山區老爺里37鄰同明街35巷1之1號,64,6401200,6401200-017,37鄰,同明街,,35巷,,,,1之1號,120.34286983449,22.605199931164
高雄市鳳山區老爺里36鄰同明街29巷1之1號,64,6401200,6401200-017,36鄰,同明街,,29巷,,,,1之1號,120.34271189125,22.605381344734
高雄市鳳山區老爺里35鄰同明街62巷1之1號,64,6401200,6401200-017,35鄰,同明街,,62巷,,,,1之1號,120.34290781763,22.604595296448
高雄市鳳山區老爺里34鄰同明街98巷1之1號,64,6401200,6401200-017,34鄰,同明街,,98巷,,,,1之1號,120.34359150107,22.604489272623
高雄市鳳山區老爺里35鄰同明街62巷1之2號,64,6401200,6401200-017,35鄰,同明街,,62巷,,,,1之2號,120.34290781763,22.604595296448
高雄市鳳山區老爺里36鄰同明街29巷1之2號,64,6401200,6401200-017,36鄰,同明街,,29巷,,,,1之2號,120.34271189125,22.605381344734
高雄市鳳山區老爺里37鄰同明街35巷1之2號,64,6401200,6401200-017,37鄰,同明街,,35巷,,,,1之2號,120.34286983449,22.605199931164
高雄市鳳山區老爺里37鄰同明街35巷1之3號,64,6401200,6401200-017,37鄰,同明街,,35巷,,,,1之3號,120.34286983449,22.605199931164
