FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市仁武區八卦里12鄰大同一街1號,64,6401700,6401700-009,12鄰,大同一街,,,,,,1號,120.3353802991,22.690697916415
高雄市仁武區八卦里13鄰大同一街2號,64,6401700,6401700-009,13鄰,大同一街,,,,,,2號,120.33505501712,22.690682748533
高雄市仁武區八卦里13鄰大同一街2之1號,64,6401700,6401700-009,13鄰,大同一街,,,,,,2之1號,120.33502898866,22.69077231483
高雄市仁武區八卦里12鄰大同一街3號,64,6401700,6401700-009,12鄰,大同一街,,,,,,3號,120.33540253368,22.690668478485
高雄市仁武區八卦里13鄰大同一街4號,64,6401700,6401700-009,13鄰,大同一街,,,,,,4號,120.33507706715,22.690651232832
高雄市仁武區八卦里12鄰大同一街5號,64,6401700,6401700-009,12鄰,大同一街,,,,,,5號,120.33542456229,22.690641387668
高雄市仁武區八卦里13鄰大同一街6號,64,6401700,6401700-009,13鄰,大同一街,,,,,,6號,120.33509775465,22.690619711467
高雄市仁武區八卦里12鄰大同一街7號,64,6401700,6401700-009,12鄰,大同一街,,,,,,7號,120.33545551907,22.690599433329
高雄市仁武區八卦里13鄰大同一街8號,64,6401700,6401700-009,13鄰,大同一街,,,,,,8號,120.33511775391,22.690589632146
高雄市仁武區八卦里12鄰大同一街9號,64,6401700,6401700-009,12鄰,大同一街,,,,,,9號,120.33552907385,22.690684807493
高雄市仁武區八卦里13鄰大同一街10號,64,6401700,6401700-009,13鄰,大同一街,,,,,,10號,120.33513980957,22.690556942474
高雄市仁武區八卦里12鄰大同一街11號,64,6401700,6401700-009,12鄰,大同一街,,,,,,11號,120.33556285365,22.690703279955
高雄市仁武區八卦里13鄰大同一街12號,64,6401700,6401700-009,13鄰,大同一街,,,,,,12號,120.3351592201,22.690527854074
高雄市仁武區八卦里12鄰大同一街13號,64,6401700,6401700-009,12鄰,大同一街,,,,,,13號,120.33559448975,22.690722285352
高雄市仁武區八卦里13鄰大同一街14號,64,6401700,6401700-009,13鄰,大同一街,,,,,,14號,120.33517990277,22.69049732605
高雄市仁武區八卦里12鄰大同一街15號,64,6401700,6401700-009,12鄰,大同一街,,,,,,15號,120.33562981976,22.69074220914
高雄市仁武區八卦里13鄰大同一街16號,64,6401700,6401700-009,13鄰,大同一街,,,,,,16號,120.33501999248,22.690458371801
高雄市仁武區八卦里12鄰大同一街17號,64,6401700,6401700-009,12鄰,大同一街,,,,,,17號,120.33566223402,22.69076130806
高雄市仁武區八卦里9鄰大同一街18號,64,6401700,6401700-009,9鄰,大同一街,,,,,,18號,120.33515292293,22.690320122787
高雄市仁武區八卦里12鄰大同一街19號,64,6401700,6401700-009,12鄰,大同一街,,,,,,19號,120.33569397008,22.690779772013
高雄市仁武區八卦里10鄰大同一街20號,64,6401700,6401700-009,10鄰,大同一街,,,,,,20號,120.33561142169,22.690319046432
高雄市仁武區八卦里12鄰大同一街21號,64,6401700,6401700-009,12鄰,大同一街,,,,,,21號,120.33572822957,22.690799691337
高雄市仁武區八卦里10鄰大同一街22號,64,6401700,6401700-009,10鄰,大同一街,,,,,,22號,120.33559103154,22.690349485422
高雄市仁武區八卦里12鄰大同一街23號,64,6401700,6401700-009,12鄰,大同一街,,,,,,23號,120.33576142767,22.690817709812
高雄市仁武區八卦里10鄰大同一街24號,64,6401700,6401700-009,10鄰,大同一街,,,,,,24號,120.33557025209,22.690379922794
高雄市仁武區八卦里12鄰大同一街25號,64,6401700,6401700-009,12鄰,大同一街,,,,,,25號,120.3357946188,22.690837173156
高雄市仁武區八卦里10鄰大同一街26號,64,6401700,6401700-009,10鄰,大同一街,,,,,,26號,120.33554906854,22.690413428909
高雄市仁武區八卦里12鄰大同一街27號,64,6401700,6401700-009,12鄰,大同一街,,,,,,27號,120.3358270305,22.690856813872
高雄市仁武區八卦里10鄰大同一街28號,64,6401700,6401700-009,10鄰,大同一街,,,,,,28號,120.33552265811,22.690461181762
高雄市仁武區八卦里12鄰大同一街29號,64,6401700,6401700-009,12鄰,大同一街,,,,,,29號,120.33586032116,22.690875826082
高雄市仁武區八卦里10鄰大同一街30號,64,6401700,6401700-009,10鄰,大同一街,,,,,,30號,120.33565827196,22.690492990758
高雄市仁武區八卦里12鄰大同一街31號,64,6401700,6401700-009,12鄰,大同一街,,,,,,31號,120.33589351232,22.690895289406
高雄市仁武區八卦里10鄰大同一街32號,64,6401700,6401700-009,10鄰,大同一街,,,,,,32號,120.33569167071,22.690509745786
高雄市仁武區八卦里12鄰大同一街33號,64,6401700,6401700-009,12鄰,大同一街,,,,,,33號,120.33592728787,22.690914664841
高雄市仁武區八卦里10鄰大同一街34號,64,6401700,6401700-009,10鄰,大同一街,,,,,,34號,120.33572624909,22.690524067426
高雄市仁武區八卦里12鄰大同一街35號,64,6401700,6401700-009,12鄰,大同一街,,,,,,35號,120.3359615496,22.690934132593
高雄市仁武區八卦里10鄰大同一街36號,64,6401700,6401700-009,10鄰,大同一街,,,,,,36號,120.33576421286,22.690542737822
高雄市仁武區八卦里12鄰大同一街37號,64,6401700,6401700-009,12鄰,大同一街,,,,,,37號,120.33610131018,22.690973995712
高雄市仁武區八卦里10鄰大同一街38號,64,6401700,6401700-009,10鄰,大同一街,,,,,,38號,120.33579846795,22.690563560179
高雄市仁武區八卦里12鄰大同一街39號,64,6401700,6401700-009,12鄰,大同一街,,,,,,39號,120.33607122593,22.691016676247
高雄市仁武區八卦里10鄰大同一街40號,64,6401700,6401700-009,10鄰,大同一街,,,,,,40號,120.33583067493,22.690585277096
高雄市仁武區八卦里12鄰大同一街41號,64,6401700,6401700-009,12鄰,大同一街,,,,,,41號,120.33605170993,22.691047480146
高雄市仁武區八卦里10鄰大同一街42號,64,6401700,6401700-009,10鄰,大同一街,,,,,,42號,120.33586221633,22.690603740207
高雄市仁武區八卦里12鄰大同一街43號,64,6401700,6401700-009,12鄰,大同一街,,,,,,43號,120.33603103128,22.69107719554
高雄市仁武區八卦里10鄰大同一街44號,64,6401700,6401700-009,10鄰,大同一街,,,,,,44號,120.33589394368,22.690624010216
高雄市仁武區八卦里12鄰大同一街45號,64,6401700,6401700-009,12鄰,大同一街,,,,,,45號,120.33598770008,22.691142307446
高雄市仁武區八卦里10鄰大同一街46號,64,6401700,6401700-009,10鄰,大同一街,,,,,,46號,120.33592519313,22.690642472104
高雄市仁武區八卦里12鄰大同一街47號,64,6401700,6401700-009,12鄰,大同一街,,,,,,47號,120.33596848429,22.691171396754
高雄市仁武區八卦里10鄰大同一街48號,64,6401700,6401700-009,10鄰,大同一街,,,,,,48號,120.33595760742,22.690661570965
高雄市仁武區八卦里12鄰大同一街49號,64,6401700,6401700-009,12鄰,大同一街,,,,,,49號,120.33594926109,22.69120202124
高雄市仁武區八卦里10鄰大同一街50號,64,6401700,6401700-009,10鄰,大同一街,,,,,,50號,120.33599214714,22.690683929674
高雄市仁武區八卦里12鄰大同一街51號,64,6401700,6401700-009,12鄰,大同一街,,,,,,51號,120.33593005268,22.691229575362
高雄市仁武區八卦里10鄰大同一街52號,64,6401700,6401700-009,10鄰,大同一街,,,,,,52號,120.33602377807,22.690704018644
高雄市仁武區八卦里12鄰大同一街53號,64,6401700,6401700-009,12鄰,大同一街,,,,,,53號,120.33591005088,22.691260196613
高雄市仁武區八卦里10鄰大同一街54號,64,6401700,6401700-009,10鄰,大同一街,,,,,,54號,120.33605308633,22.690721388777
高雄市仁武區八卦里12鄰大同一街55號,64,6401700,6401700-009,12鄰,大同一街,,,,,,55號,120.33589005995,22.691288560241
高雄市仁武區八卦里10鄰大同一街56號,64,6401700,6401700-009,10鄰,大同一街,,,,,,56號,120.33608724158,22.690742752498
高雄市仁武區八卦里12鄰大同一街57號,64,6401700,6401700-009,12鄰,大同一街,,,,,,57號,120.33586995341,22.691320716264
高雄市仁武區八卦里10鄰大同一街58號,64,6401700,6401700-009,10鄰,大同一街,,,,,,58號,120.33612178656,22.690764027522
高雄市仁武區八卦里12鄰大同一街59號,64,6401700,6401700-009,12鄰,大同一街,,,,,,59號,120.33582990439,22.691350983401
高雄市仁武區八卦里10鄰大同一街60號,64,6401700,6401700-009,10鄰,大同一街,,,,,,60號,120.33615166834,22.690783567374
高雄市仁武區八卦里13鄰大同一街61號,64,6401700,6401700-009,13鄰,大同一街,,,,,,61號,120.33573618889,22.691268505822
高雄市仁武區八卦里10鄰大同一街62號,64,6401700,6401700-009,10鄰,大同一街,,,,,,62號,120.33618563245,22.690804207829
高雄市仁武區八卦里13鄰大同一街63號,64,6401700,6401700-009,13鄰,大同一街,,,,,,63號,120.33570086047,22.691248220836
高雄市仁武區八卦里10鄰大同一街64號,64,6401700,6401700-009,10鄰,大同一街,,,,,,64號,120.33621726345,22.690824296762
高雄市仁武區八卦里13鄰大同一街65號,64,6401700,6401700-009,13鄰,大同一街,,,,,,65號,120.33566728126,22.691228484941
高雄市仁武區八卦里11鄰大同一街66號,64,6401700,6401700-009,11鄰,大同一街,,,,,,66號,120.33632110826,22.690824366149
高雄市仁武區八卦里13鄰大同一街67號,64,6401700,6401700-009,13鄰,大同一街,,,,,,67號,120.33563593788,22.69120930016
高雄市仁武區八卦里11鄰大同一街68號,64,6401700,6401700-009,11鄰,大同一街,,,,,,68號,120.33635458623,22.690844914246
高雄市仁武區八卦里13鄰大同一街69號,64,6401700,6401700-009,13鄰,大同一街,,,,,,69號,120.33560575497,22.691191655401
高雄市仁武區八卦里11鄰大同一街70號,64,6401700,6401700-009,11鄰,大同一街,,,,,,70號,120.33638826495,22.690864198877
高雄市仁武區八卦里13鄰大同一街71號,64,6401700,6401700-009,13鄰,大同一街,,,,,,71號,120.33557304952,22.691172374647
高雄市仁武區八卦里11鄰大同一街72號,64,6401700,6401700-009,11鄰,大同一街,,,,,,72號,120.33642174033,22.69088528879
高雄市仁武區八卦里13鄰大同一街73號,64,6401700,6401700-009,13鄰,大同一街,,,,,,73號,120.33554169876,22.691154725028
高雄市仁武區八卦里11鄰大同一街74號,64,6401700,6401700-009,11鄰,大同一街,,,,,,74號,120.3364552205,22.690905385343
高雄市仁武區八卦里13鄰大同一街75號,64,6401700,6401700-009,13鄰,大同一街,,,,,,75號,120.33550647251,22.691133447051
高雄市仁武區八卦里11鄰大同一街76號,64,6401700,6401700-009,11鄰,大同一街,,,,,,76號,120.33648821668,22.690924938044
高雄市仁武區八卦里13鄰大同一街77號,64,6401700,6401700-009,13鄰,大同一街,,,,,,77號,120.33547056284,22.691112617762
高雄市仁武區八卦里11鄰大同一街78號,64,6401700,6401700-009,11鄰,大同一街,,,,,,78號,120.33652063111,22.690944036794
高雄市仁武區八卦里13鄰大同一街79號,64,6401700,6401700-009,13鄰,大同一街,,,,,,79號,120.33543873029,22.691093972751
高雄市仁武區八卦里11鄰大同一街80號,64,6401700,6401700-009,11鄰,大同一街,,,,,,80號,120.33655255633,22.690963675349
高雄市仁武區八卦里11鄰大同一街80之1號,64,6401700,6401700-009,11鄰,大同一街,,,,,,80之1號,120.33659434358,22.691037267807
高雄市仁武區八卦里13鄰大同一街81號,64,6401700,6401700-009,13鄰,大同一街,,,,,,81號,120.3354036948,22.691073508304
高雄市仁武區八卦里11鄰大同一街82號,64,6401700,6401700-009,11鄰,大同一街,,,,,,82號,120.33634050723,22.690999731671
高雄市仁武區八卦里13鄰大同一街83號,64,6401700,6401700-009,13鄰,大同一街,,,,,,83號,120.33537186749,22.691053779623
高雄市仁武區八卦里11鄰大同一街84號,64,6401700,6401700-009,11鄰,大同一街,,,,,,84號,120.33632021098,22.691030893595
高雄市仁武區八卦里13鄰大同一街85號,64,6401700,6401700-009,13鄰,大同一街,,,,,,85號,120.3353393537,22.691035131763
高雄市仁武區八卦里11鄰大同一街86號,64,6401700,6401700-009,11鄰,大同一街,,,,,,86號,120.33630069329,22.691062058745
高雄市仁武區八卦里13鄰大同一街87號,64,6401700,6401700-009,13鄰,大同一街,,,,,,87號,120.33530636114,22.691014856391
高雄市仁武區八卦里11鄰大同一街88號,64,6401700,6401700-009,11鄰,大同一街,,,,,,88號,120.33628048434,22.691095298077
高雄市仁武區八卦里13鄰大同一街89號,64,6401700,6401700-009,13鄰,大同一街,,,,,,89號,120.33517139616,22.6909695038
高雄市仁武區八卦里11鄰大同一街90號,64,6401700,6401700-009,11鄰,大同一街,,,,,,90號,120.33625999124,22.691126910709
高雄市仁武區八卦里13鄰大同一街91號,64,6401700,6401700-009,13鄰,大同一街,,,,,,91號,120.33520106699,22.69093187889
高雄市仁武區八卦里11鄰大同一街92號,64,6401700,6401700-009,11鄰,大同一街,,,,,,92號,120.33623900717,22.691159424368
高雄市仁武區八卦里13鄰大同一街93號,64,6401700,6401700-009,13鄰,大同一街,,,,,,93號,120.33522437611,22.690901632691
高雄市仁武區八卦里11鄰大同一街94號,64,6401700,6401700-009,11鄰,大同一街,,,,,,94號,120.33622017376,22.691189960198
高雄市仁武區八卦里13鄰大同一街95號,64,6401700,6401700-009,13鄰,大同一街,,,,,,95號,120.33524768131,22.690872199231
高雄市仁武區八卦里11鄰大同一街96號,64,6401700,6401700-009,11鄰,大同一街,,,,,,96號,120.33620006514,22.691222567788
高雄市仁武區八卦里13鄰大同一街97號,64,6401700,6401700-009,13鄰,大同一街,,,,,,97號,120.335267671,22.690844106598
高雄市仁武區八卦里11鄰大同一街98號,64,6401700,6401700-009,11鄰,大同一街,,,,,,98號,120.3361794812,22.691252825433
高雄市仁武區八卦里13鄰大同一街99號,64,6401700,6401700-009,13鄰,大同一街,,,,,,99號,120.33528940856,22.690816833979
高雄市仁武區八卦里11鄰大同一街100號,64,6401700,6401700-009,11鄰,大同一街,,,,,,100號,120.3361601581,22.691283991371
高雄市仁武區八卦里13鄰大同一街101號,64,6401700,6401700-009,13鄰,大同一街,,,,,,101號,120.33530948772,22.690790367229
高雄市仁武區八卦里11鄰大同一街102號,64,6401700,6401700-009,11鄰,大同一街,,,,,,102號,120.33614201026,22.691313626968
高雄市仁武區八卦里13鄰大同一街103號,64,6401700,6401700-009,13鄰,大同一街,,,,,,103號,120.33533358234,22.690758679369
高雄市仁武區八卦里11鄰大同一街104號,64,6401700,6401700-009,11鄰,大同一街,,,,,,104號,120.33612191205,22.691344067233
高雄市仁武區八卦里11鄰大同一街106號,64,6401700,6401700-009,11鄰,大同一街,,,,,,106號,120.33610317808,22.691374151927
高雄市仁武區八卦里11鄰大同一街108號,64,6401700,6401700-009,11鄰,大同一街,,,,,,108號,120.33608326579,22.691406399089
高雄市仁武區八卦里11鄰大同一街110號,64,6401700,6401700-009,11鄰,大同一街,,,,,,110號,120.3360626744,22.691438191898
高雄市仁武區八卦里11鄰大同一街112號,64,6401700,6401700-009,11鄰,大同一街,,,,,,112號,120.33604159422,22.69147043421
高雄市仁武區八卦里11鄰大同一街114號,64,6401700,6401700-009,11鄰,大同一街,,,,,,114號,120.33602158066,22.691503493702
高雄市仁武區八卦里11鄰大同一街116號,64,6401700,6401700-009,11鄰,大同一街,,,,,,116號,120.33599459842,22.69154871567
高雄市仁武區八卦里11鄰大同一街118號,64,6401700,6401700-009,11鄰,大同一街,,,,,,118號,120.33598342571,22.691564834197
高雄市仁武區八卦里11鄰大同一街120號,64,6401700,6401700-009,11鄰,大同一街,,,,,,120號,120.33591771703,22.691567812622
高雄市仁武區八卦里11鄰大同一街122號,64,6401700,6401700-009,11鄰,大同一街,,,,,,122號,120.33589820309,22.691598164974
高雄市仁武區八卦里11鄰大同一街124號,64,6401700,6401700-009,11鄰,大同一街,,,,,,124號,120.33587830334,22.691627793269
高雄市仁武區八卦里11鄰大同一街126號,64,6401700,6401700-009,11鄰,大同一街,,,,,,126號,120.33585594483,22.691662739447
高雄市仁武區八卦里11鄰大同一街128號,64,6401700,6401700-009,11鄰,大同一街,,,,,,128號,120.33583603722,22.691693993222
高雄市仁武區八卦里15鄰大同一街130號,64,6401700,6401700-009,15鄰,大同一街,,,,,,130號,120.33576611629,22.69154108496
高雄市仁武區八卦里15鄰大同一街132號,64,6401700,6401700-009,15鄰,大同一街,,,,,,132號,120.33573175842,22.691521345846
高雄市仁武區八卦里15鄰大同一街134號,64,6401700,6401700-009,15鄰,大同一街,,,,,,134號,120.33569740447,22.691500793983
高雄市仁武區八卦里15鄰大同一街136號,64,6401700,6401700-009,15鄰,大同一街,,,,,,136號,120.33566663233,22.691484230468
高雄市仁武區八卦里15鄰大同一街138號,64,6401700,6401700-009,15鄰,大同一街,,,,,,138號,120.33563674351,22.691466135402
高雄市仁武區八卦里15鄰大同一街140號,64,6401700,6401700-009,15鄰,大同一街,,,,,,140號,120.3356023896,22.691445583519
高雄市仁武區八卦里15鄰大同一街142號,64,6401700,6401700-009,15鄰,大同一街,,,,,,142號,120.33556900152,22.691426570849
高雄市仁武區八卦里15鄰大同一街144號,64,6401700,6401700-009,15鄰,大同一街,,,,,,144號,120.335531144,22.691406004407
高雄市仁武區八卦里15鄰大同一街146號,64,6401700,6401700-009,15鄰,大同一街,,,,,,146號,120.33549241495,22.691384531272
高雄市仁武區八卦里15鄰大同一街148號,64,6401700,6401700-009,15鄰,大同一街,,,,,,148號,120.33530415072,22.691251179513
