FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市三民區本館里11鄰大豐一路152巷1號,64,6400500,6400500-008,11鄰,大豐一路,,152巷,,,,1號,120.33129835698,22.657613487964
高雄市三民區本館里11鄰大豐一路256巷2弄1號,64,6400500,6400500-008,11鄰,大豐一路,,256巷,2弄,,,1號,120.33033229488,22.659370437677
高雄市三民區本館里11鄰大豐一路256巷4弄1號,64,6400500,6400500-008,11鄰,大豐一路,,256巷,4弄,,,1號,120.33035335952,22.65964144629
高雄市三民區本館里13鄰大豐一路89巷12弄1號,64,6400500,6400500-008,13鄰,大豐一路,,89巷,12弄,,,1號,120.33058872385,22.655650775177
高雄市三民區本館里13鄰大豐一路89巷1號,64,6400500,6400500-008,13鄰,大豐一路,,89巷,,,,1號,120.33091023336,22.655363135723
高雄市三民區本館里13鄰大豐一路89巷36弄1號,64,6400500,6400500-008,13鄰,大豐一路,,89巷,36弄,,,1號,120.3301369832,22.655626401143
高雄市三民區本館里17鄰大豐一路89巷71弄1號,64,6400500,6400500-008,17鄰,大豐一路,,89巷,71弄,,,1號,120.32938244395,22.655262108172
高雄市三民區本館里19鄰大豐一路256巷3弄1號,64,6400500,6400500-008,19鄰,大豐一路,,256巷,3弄,,,1號,120.33024274387,22.65957776917
高雄市三民區本館里19鄰大豐一路256巷1弄1號,64,6400500,6400500-008,19鄰,大豐一路,,256巷,1弄,,,1號,120.33022172327,22.659297730043
高雄市三民區本館里23鄰大豐一路335巷1號,64,6400500,6400500-008,23鄰,大豐一路,,335巷,,,,1號,120.32964253447,22.658726374825
高雄市三民區本館里26鄰大豐一路125巷14弄1號,64,6400500,6400500-008,26鄰,大豐一路,,125巷,14弄,,,1號,120.33036475756,22.656489693639
高雄市三民區本館里26鄰大豐一路125巷1號,64,6400500,6400500-008,26鄰,大豐一路,,125巷,,,,1號,120.33083067437,22.656320056752
高雄市三民區本館里26鄰大豐一路125巷43弄1號,64,6400500,6400500-008,26鄰,大豐一路,,125巷,43弄,,,1號,120.33011685755,22.656244828953
高雄市三民區本館里26鄰大豐一路125巷42弄1號,64,6400500,6400500-008,26鄰,大豐一路,,125巷,42弄,,,1號,120.32990458023,22.656659353145
高雄市三民區本館里28鄰大豐一路288巷1號,64,6400500,6400500-008,28鄰,大豐一路,,288巷,,,,1號,120.32940116678,22.659339451487
