FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市燕巢區角宿里9鄰安新路3之10號,64,6402100,6402100-004,9鄰,安新路,,,,,,3之10號,120.34297433152,22.779454911261
高雄市燕巢區角宿里9鄰安新路300號,64,6402100,6402100-004,9鄰,安新路,,,,,,300號,120.33870961139,22.782392185289
高雄市燕巢區角宿里9鄰安新路300之1號,64,6402100,6402100-004,9鄰,安新路,,,,,,300之1號,120.33927057017,22.781644701666
高雄市燕巢區角宿里9鄰安新路300之2號,64,6402100,6402100-004,9鄰,安新路,,,,,,300之2號,120.33923928324,22.781710585514
高雄市燕巢區角宿里9鄰安新路300之3號,64,6402100,6402100-004,9鄰,安新路,,,,,,300之3號,120.33919881494,22.78178203028
高雄市燕巢區角宿里9鄰安新路300之5號,64,6402100,6402100-004,9鄰,安新路,,,,,,300之5號,120.33912395667,22.781916546531
高雄市燕巢區角宿里9鄰安新路300之6號,64,6402100,6402100-004,9鄰,安新路,,,,,,300之6號,120.33907409733,22.781996621705
高雄市燕巢區角宿里9鄰安新路300之7號,64,6402100,6402100-004,9鄰,安新路,,,,,,300之7號,120.3390301249,22.782128285748
高雄市燕巢區角宿里9鄰安新路360號,64,6402100,6402100-004,9鄰,安新路,,,,,,360號,120.33441226375,22.782341536478
高雄市燕巢區角宿里9鄰安新路368號,64,6402100,6402100-004,9鄰,安新路,,,,,,368號,120.33460900928,22.78285962721
