FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鼓山區龍子里48鄰富農路2號,64,6400200,6400200-015,48鄰,富農路,,,,,,2號,120.29949655801,22.656586931232
高雄市鼓山區龍子里48鄰富農路78號,64,6400200,6400200-015,48鄰,富農路,,,,,,78號,120.2989734072,22.656657701464
高雄市鼓山區龍子里48鄰富農路80號,64,6400200,6400200-015,48鄰,富農路,,,,,,80號,120.29897739044,22.656773853012
高雄市鼓山區龍子里48鄰富農路82號,64,6400200,6400200-015,48鄰,富農路,,,,,,82號,120.29897551311,22.656836969023
高雄市鼓山區龍子里48鄰富農路86號,64,6400200,6400200-015,48鄰,富農路,,,,,,86號,120.29897685158,22.656879960758
高雄市鼓山區龍子里48鄰富農路88號,64,6400200,6400200-015,48鄰,富農路,,,,,,88號,120.29897053242,22.656917229687
高雄市鼓山區龍子里48鄰富農路90號,64,6400200,6400200-015,48鄰,富農路,,,,,,90號,120.29855082322,22.656832220808
高雄市鼓山區龍子里48鄰富農路92號,64,6400200,6400200-015,48鄰,富農路,,,,,,92號,120.2985531229,22.656686024706
高雄市鼓山區龍子里48鄰富農路96號,64,6400200,6400200-015,48鄰,富農路,,,,,,96號,120.29834911825,22.656698677575
高雄市鼓山區龍子里48鄰富農路98號,64,6400200,6400200-015,48鄰,富農路,,,,,,98號,120.29825338427,22.65669690378
高雄市鼓山區龍子里48鄰富農路100號,64,6400200,6400200-015,48鄰,富農路,,,,,,100號,120.29821293087,22.656749736519
高雄市鼓山區龍子里48鄰富農路102號,64,6400200,6400200-015,48鄰,富農路,,,,,,102號,120.29835025961,22.656780409922
高雄市鼓山區龍子里48鄰富農路106號,64,6400200,6400200-015,48鄰,富農路,,,,,,106號,120.29835447777,22.656869380256
高雄市鼓山區龍子里48鄰富農路108號,64,6400200,6400200-015,48鄰,富農路,,,,,,108號,120.2983586574,22.656946791194
高雄市鼓山區龍子里48鄰富農路110號,64,6400200,6400200-015,48鄰,富農路,,,,,,110號,120.29836606255,22.657021326448
高雄市鼓山區龍子里48鄰富農路112號,64,6400200,6400200-015,48鄰,富農路,,,,,,112號,120.29836882632,22.657090152071
高雄市鼓山區龍子里48鄰富農路116號,64,6400200,6400200-015,48鄰,富農路,,,,,,116號,120.29829002191,22.657088452416
高雄市鼓山區龍子里48鄰富農路118號,64,6400200,6400200-015,48鄰,富農路,,,,,,118號,120.29822356745,22.657088161404
高雄市鼓山區龍子里48鄰富農路120號,64,6400200,6400200-015,48鄰,富農路,,,,,,120號,120.29814328245,22.65709060929
高雄市鼓山區龍子里48鄰富農路122號,64,6400200,6400200-015,48鄰,富農路,,,,,,122號,120.29804900814,22.657088751454
高雄市鼓山區龍子里48鄰富農路126號,64,6400200,6400200-015,48鄰,富農路,,,,,,126號,120.2979764308,22.657087078922
高雄市鼓山區龍子里48鄰富農路128號,64,6400200,6400200-015,48鄰,富農路,,,,,,128號,120.29790229716,22.657085309232
高雄市鼓山區龍子里48鄰富農路130號,64,6400200,6400200-015,48鄰,富農路,,,,,,130號,120.29789495328,22.657017908442
高雄市鼓山區龍子里48鄰富農路132號,64,6400200,6400200-015,48鄰,富農路,,,,,,132號,120.29789381219,22.656936176101
高雄市鼓山區龍子里48鄰富農路136號,64,6400200,6400200-015,48鄰,富農路,,,,,,136號,120.29789263481,22.65686157781
高雄市鼓山區龍子里48鄰富農路138號,64,6400200,6400200-015,48鄰,富農路,,,,,,138號,120.29789145009,22.65678842439
高雄市鼓山區龍子里48鄰富農路140號,64,6400200,6400200-015,48鄰,富農路,,,,,,140號,120.29802287962,22.656754593415
高雄市鼓山區龍子里48鄰富農路142號,64,6400200,6400200-015,48鄰,富農路,,,,,,142號,120.29798301893,22.656709988021
高雄市鼓山區龍子里48鄰富農路146號,64,6400200,6400200-015,48鄰,富農路,,,,,,146號,120.29788873019,22.65671101984
高雄市鼓山區龍子里48鄰富農路150號,64,6400200,6400200-015,48鄰,富農路,,,,,,150號,120.29770644443,22.656719522642
高雄市鼓山區龍子里48鄰富農路152號,64,6400200,6400200-015,48鄰,富農路,,,,,,152號,120.29752874221,22.656725968281
高雄市鼓山區龍子里48鄰富農路156號,64,6400200,6400200-015,48鄰,富農路,,,,,,156號,120.29762091869,22.65706357661
高雄市鼓山區龍子里48鄰富農路158號,64,6400200,6400200-015,48鄰,富農路,,,,,,158號,120.29737887491,22.656731000558
高雄市鼓山區龍子里48鄰富農路160號,64,6400200,6400200-015,48鄰,富農路,,,,,,160號,120.29737061895,22.657072232426
高雄市鼓山區龍子里48鄰富農路162號,64,6400200,6400200-015,48鄰,富農路,,,,,,162號,120.29726631564,22.657071775059
高雄市鼓山區龍子里48鄰富農路166號,64,6400200,6400200-015,48鄰,富農路,,,,,,166號,120.2972689796,22.656777839258
高雄市鼓山區龍子里40鄰富農路186號,64,6400200,6400200-015,40鄰,富農路,,,,,,186號,120.29672657719,22.656750083669
高雄市鼓山區龍子里40鄰富農路188號,64,6400200,6400200-015,40鄰,富農路,,,,,,188號,120.29658282488,22.656758031842
高雄市鼓山區龍子里40鄰富農路190號,64,6400200,6400200-015,40鄰,富農路,,,,,,190號,120.2965824816,22.656825398939
高雄市鼓山區龍子里40鄰富農路192號,64,6400200,6400200-015,40鄰,富農路,,,,,,192號,120.29658530292,22.656882755911
高雄市鼓山區龍子里45鄰富農路195號,64,6400200,6400200-015,45鄰,富農路,,,,,,195號,120.2967582093,22.656385294149
高雄市鼓山區龍子里40鄰富農路196號,64,6400200,6400200-015,40鄰,富農路,,,,,,196號,120.29635572486,22.656758479726
高雄市鼓山區龍子里45鄰富農路197號,64,6400200,6400200-015,45鄰,富農路,,,,,,197號,120.29666400337,22.656389215421
高雄市鼓山區龍子里40鄰富農路198號,64,6400200,6400200-015,40鄰,富農路,,,,,,198號,120.29615181314,22.656771942957
高雄市鼓山區龍子里45鄰富農路199號,64,6400200,6400200-015,45鄰,富農路,,,,,,199號,120.29656044998,22.656394450202
高雄市鼓山區龍子里47鄰富農路201號,64,6400200,6400200-015,47鄰,富農路,,,,,,201號,120.29638976561,22.656455831706
高雄市鼓山區龍子里47鄰富農路203號,64,6400200,6400200-015,47鄰,富農路,,,,,,203號,120.29630323875,22.656461231384
高雄市鼓山區龍子里47鄰富農路205號,64,6400200,6400200-015,47鄰,富農路,,,,,,205號,120.29638390358,22.656384192961
高雄市鼓山區龍子里47鄰富農路207號,64,6400200,6400200-015,47鄰,富農路,,,,,,207號,120.29637816878,22.656306684855
高雄市鼓山區龍子里47鄰富農路209號,64,6400200,6400200-015,47鄰,富農路,,,,,,209號,120.2963722704,22.656242180158
高雄市鼓山區龍子里47鄰富農路211號,64,6400200,6400200-015,47鄰,富農路,,,,,,211號,120.29629500164,22.656244730677
高雄市鼓山區龍子里47鄰富農路213號,64,6400200,6400200-015,47鄰,富農路,,,,,,213號,120.29622086113,22.656244405092
高雄市鼓山區龍子里47鄰富農路215號,64,6400200,6400200-015,47鄰,富農路,,,,,,215號,120.29614359974,22.656245510668
高雄市鼓山區龍子里42鄰富農路300號,64,6400200,6400200-015,42鄰,富農路,,,,,,300號,120.29509103073,22.656775859381
高雄市鼓山區龍子里42鄰富農路302號,64,6400200,6400200-015,42鄰,富農路,,,,,,302號,120.29505112626,22.656778122116
高雄市鼓山區龍子里42鄰富農路306號,64,6400200,6400200-015,42鄰,富農路,,,,,,306號,120.29501375198,22.656780305666
高雄市鼓山區龍子里42鄰富農路308號,64,6400200,6400200-015,42鄰,富農路,,,,,,308號,120.29495321442,22.656783651588
