FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市杉林區上平里16鄰山仙路180巷1號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,1號,120.54317597838,22.976134225938
高雄市杉林區上平里1鄰山仙路1號,64,6403400,6403400-005,1鄰,山仙路,,,,,,1號,120.53866743605,22.971055565635
高雄市杉林區上平里3鄰山仙路24巷1號,64,6403400,6403400-005,3鄰,山仙路,,24巷,,,,1號,120.5410906862,22.973160217994
高雄市杉林區上平里5鄰山仙路50巷1號,64,6403400,6403400-005,5鄰,山仙路,,50巷,,,,1號,120.54137760718,22.973884577104
高雄市杉林區上平里8鄰山仙路94巷1號,64,6403400,6403400-005,8鄰,山仙路,,94巷,,,,1號,120.54213777776,22.974511237928
高雄市杉林區上平里16鄰山仙路180巷2號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,2號,120.5433829384,22.97627895001
高雄市杉林區上平里13鄰山仙路152巷2號,64,6403400,6403400-005,13鄰,山仙路,,152巷,,,,2號,120.54303696223,22.97547775483
高雄市杉林區上平里10鄰山仙路114巷2號,64,6403400,6403400-005,10鄰,山仙路,,114巷,,,,2號,120.54247161669,22.974917493486
高雄市杉林區上平里5鄰山仙路50巷2號,64,6403400,6403400-005,5鄰,山仙路,,50巷,,,,2號,120.54184330591,22.97408685371
高雄市杉林區上平里1鄰山仙路2號,64,6403400,6403400-005,1鄰,山仙路,,,,,,2號,120.53997690782,22.971059641374
高雄市杉林區上平里8鄰山仙路94巷2號,64,6403400,6403400-005,8鄰,山仙路,,94巷,,,,2號,120.54226664855,22.974500773403
高雄市杉林區上平里8鄰山仙路93巷2號,64,6403400,6403400-005,8鄰,山仙路,,93巷,,,,2號,120.5386133497,22.976933400747
高雄市杉林區上平里1鄰山仙路2之1號,64,6403400,6403400-005,1鄰,山仙路,,,,,,2之1號,120.53970593638,22.971360475816
高雄市杉林區上平里10鄰山仙路114巷2之1號,64,6403400,6403400-005,10鄰,山仙路,,114巷,,,,2之1號,120.54235246467,22.974793159912
高雄市杉林區上平里13鄰山仙路152巷2之1號,64,6403400,6403400-005,13鄰,山仙路,,152巷,,,,2之1號,120.54308064706,22.975451240587
高雄市杉林區上平里16鄰山仙路180巷2之1號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,2之1號,120.54349858493,22.976402279359
高雄市杉林區上平里16鄰山仙路180巷2之2號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,2之2號,120.54356571685,22.976334924058
高雄市杉林區上平里10鄰山仙路114巷2之2號,64,6403400,6403400-005,10鄰,山仙路,,114巷,,,,2之2號,120.54244385977,22.974761094311
高雄市杉林區上平里1鄰山仙路2之2號,64,6403400,6403400-005,1鄰,山仙路,,,,,,2之2號,120.5400615787,22.971169608401
高雄市杉林區上平里16鄰山仙路180巷2之3號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,2之3號,120.54357559808,22.976151541767
高雄市杉林區上平里16鄰山仙路180巷3號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,3號,120.54374874025,22.976172720189
高雄市杉林區上平里13鄰山仙路152巷3號,64,6403400,6403400-005,13鄰,山仙路,,152巷,,,,3號,120.54329582609,22.975471637595
高雄市杉林區上平里10鄰山仙路114巷3號,64,6403400,6403400-005,10鄰,山仙路,,114巷,,,,3號,120.54271564488,22.9750303572
高雄市杉林區上平里4鄰山仙路50巷3號,64,6403400,6403400-005,4鄰,山仙路,,50巷,,,,3號,120.5418231131,22.973625243198
高雄市杉林區上平里3鄰山仙路24巷3號,64,6403400,6403400-005,3鄰,山仙路,,24巷,,,,3號,120.54156877276,22.972927348313
高雄市杉林區上平里3鄰山仙路24巷3之1號,64,6403400,6403400-005,3鄰,山仙路,,24巷,,,,3之1號,120.5412815728,22.973181811649
高雄市杉林區上平里10鄰山仙路114巷3之1號,64,6403400,6403400-005,10鄰,山仙路,,114巷,,,,3之1號,120.54284326668,22.974898427521
高雄市杉林區上平里16鄰山仙路180巷3之1號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,3之1號,120.5440494765,22.975924883747
高雄市杉林區上平里16鄰山仙路180巷3之2號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,3之2號,120.54401182668,22.975954937536
高雄市杉林區上平里16鄰山仙路180巷3之3號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,3之3號,120.54381450038,22.976136245357
高雄市杉林區上平里3鄰山仙路24巷3之3號,64,6403400,6403400-005,3鄰,山仙路,,24巷,,,,3之3號,120.54131317607,22.973151650696
高雄市杉林區上平里16鄰山仙路180巷3之4號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,3之4號,120.54393398456,22.976017024494
高雄市杉林區上平里16鄰山仙路180巷3之5號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,3之5號,120.54385457767,22.97608037119
高雄市杉林區上平里16鄰山仙路180巷4號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,4號,120.54325711302,22.976108271098
高雄市杉林區上平里1鄰山仙路4號,64,6403400,6403400-005,1鄰,山仙路,,,,,,4號,120.54035679769,22.971398396035
高雄市杉林區上平里16鄰山仙路180巷5號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,5號,120.54332659543,22.976067020996
高雄市杉林區上平里13鄰山仙路152巷5號,64,6403400,6403400-005,13鄰,山仙路,,152巷,,,,5號,120.54351848764,22.975296905363
高雄市杉林區上平里8鄰山仙路93巷5號,64,6403400,6403400-005,8鄰,山仙路,,93巷,,,,5號,120.53835361078,22.976880447896
高雄市杉林區上平里7鄰山仙路94巷5號,64,6403400,6403400-005,7鄰,山仙路,,94巷,,,,5號,120.54256965868,22.974301440401
高雄市杉林區上平里7鄰山仙路94巷6號,64,6403400,6403400-005,7鄰,山仙路,,94巷,,,,6號,120.54291857504,22.974226680357
高雄市杉林區上平里8鄰山仙路93巷6號,64,6403400,6403400-005,8鄰,山仙路,,93巷,,,,6號,120.53910895758,22.977089626293
高雄市杉林區上平里13鄰山仙路152巷6號,64,6403400,6403400-005,13鄰,山仙路,,152巷,,,,6號,120.54361167525,22.975195760436
高雄市杉林區上平里16鄰山仙路180巷6號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,6號,120.54356107477,22.975800481941
高雄市杉林區上平里10鄰山仙路114巷6號,64,6403400,6403400-005,10鄰,山仙路,,114巷,,,,6號,120.54255475651,22.974701270795
高雄市杉林區上平里1鄰山仙路6號,64,6403400,6403400-005,1鄰,山仙路,,,,,,6號,120.54013849375,22.971727198029
高雄市杉林區上平里4鄰山仙路50巷6號,64,6403400,6403400-005,4鄰,山仙路,,50巷,,,,6號,120.54233662543,22.973878047091
高雄市杉林區上平里4鄰山仙路50巷6之1號,64,6403400,6403400-005,4鄰,山仙路,,50巷,,,,6之1號,120.54216183838,22.973882870439
高雄市杉林區上平里13鄰山仙路152巷6之1號,64,6403400,6403400-005,13鄰,山仙路,,152巷,,,,6之1號,120.54362238753,22.975142420638
高雄市杉林區上平里16鄰山仙路180巷7號,64,6403400,6403400-005,16鄰,山仙路,,180巷,,,,7號,120.54377635203,22.975908023528
高雄市杉林區上平里10鄰山仙路114巷7號,64,6403400,6403400-005,10鄰,山仙路,,114巷,,,,7號,120.54288239558,22.974689573095
