FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市田寮區南安里22鄰崗北路2號,64,6402200,6402200-002,22鄰,崗北路,,,,,,2號,120.36009373756,22.874185910812
高雄市田寮區南安里22鄰崗北路3號,64,6402200,6402200-002,22鄰,崗北路,,,,,,3號,120.36045437708,22.874049014208
高雄市田寮區南安里22鄰崗北路4號,64,6402200,6402200-002,22鄰,崗北路,,,,,,4號,120.36013807371,22.874020740998
高雄市田寮區南安里22鄰崗北路6號,64,6402200,6402200-002,22鄰,崗北路,,,,,,6號,120.36020687909,22.873937034256
高雄市田寮區南安里22鄰崗北路7號,64,6402200,6402200-002,22鄰,崗北路,,,,,,7號,120.36042681936,22.873898636137
高雄市田寮區南安里13鄰崗北路7之1號,64,6402200,6402200-002,13鄰,崗北路,,,,,,7之1號,120.36042765672,22.873865497624
高雄市田寮區南安里22鄰崗北路7之2號,64,6402200,6402200-002,22鄰,崗北路,,,,,,7之2號,120.36042858477,22.873833804353
高雄市田寮區南安里22鄰崗北路7之3號,64,6402200,6402200-002,22鄰,崗北路,,,,,,7之3號,120.36042873953,22.8738007534
高雄市田寮區南安里22鄰崗北路7之4號,64,6402200,6402200-002,22鄰,崗北路,,,,,,7之4號,120.3604325882,22.873769704006
高雄市田寮區南安里22鄰崗北路8號,64,6402200,6402200-002,22鄰,崗北路,,,,,,8號,120.3602096001,22.873876270038
高雄市田寮區南安里22鄰崗北路9號,64,6402200,6402200-002,22鄰,崗北路,,,,,,9號,120.36064173703,22.873913045863
高雄市田寮區南安里22鄰崗北路10號,64,6402200,6402200-002,22鄰,崗北路,,,,,,10號,120.36027765779,22.873265541138
高雄市田寮區南安里22鄰崗北路10之2號,64,6402200,6402200-002,22鄰,崗北路,,,,,,10之2號,120.36026579134,22.873198216298
高雄市田寮區南安里22鄰崗北路11號,64,6402200,6402200-002,22鄰,崗北路,,,,,,11號,120.36052084343,22.873840406314
高雄市田寮區南安里22鄰崗北路12號,64,6402200,6402200-002,22鄰,崗北路,,,,,,12號,120.36019209479,22.873077904741
高雄市田寮區南安里20鄰崗北路12之1號,64,6402200,6402200-002,20鄰,崗北路,,,,,,12之1號,120.36012954449,22.873033042542
高雄市田寮區南安里20鄰崗北路12之2號,64,6402200,6402200-002,20鄰,崗北路,,,,,,12之2號,120.36009366287,22.873016191803
