FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市大寮區中庄里3鄰工商路114巷1號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,1號,120.39048580137,22.633222166595
高雄市大寮區中庄里3鄰工商路146巷1號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,1號,120.39092842692,22.633623821849
高雄市大寮區中庄里3鄰工商路146巷24弄1號,64,6401400,6401400-009,3鄰,工商路,,146巷,24弄,,,1號,120.3912988929,22.63291576939
高雄市大寮區中庄里3鄰工商路146巷24弄2號,64,6401400,6401400-009,3鄰,工商路,,146巷,24弄,,,2號,120.39117741459,22.633063593891
高雄市大寮區中庄里3鄰工商路146巷2號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,2號,120.39085636689,22.633418820155
高雄市大寮區中庄里3鄰工商路114巷2號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,2號,120.39028298913,22.633172177894
高雄市大寮區中庄里3鄰工商路146巷3號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,3號,120.39095669299,22.633589612189
高雄市大寮區中庄里3鄰工商路146巷24弄3號,64,6401400,6401400-009,3鄰,工商路,,146巷,24弄,,,3號,120.3912631018,22.632891521335
高雄市大寮區中庄里3鄰工商路146巷5號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,5號,120.39098887186,22.633550540756
高雄市大寮區中庄里3鄰工商路146巷24弄5號,64,6401400,6401400-009,3鄰,工商路,,146巷,24弄,,,5號,120.39122488619,22.632865548219
高雄市大寮區中庄里3鄰工商路114巷6號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,6號,120.3903089141,22.633139404374
高雄市大寮區中庄里3鄰工商路146巷24弄6號,64,6401400,6401400-009,3鄰,工商路,,146巷,24弄,,,6號,120.39114298145,22.633040254043
高雄市大寮區中庄里3鄰工商路146巷6號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,6號,120.39088277501,22.63338677084
高雄市大寮區中庄里3鄰工商路146巷7號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,7號,120.39101469308,22.633519211654
高雄市大寮區中庄里3鄰工商路146巷24弄7號,64,6401400,6401400-009,3鄰,工商路,,146巷,24弄,,,7號,120.39119375075,22.632844478598
高雄市大寮區中庄里3鄰工商路114巷8號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,8號,120.39033415329,22.633107711938
高雄市大寮區中庄里3鄰工商路146巷24弄8號,64,6401400,6401400-009,3鄰,工商路,,146巷,24弄,,,8號,120.39110205027,22.633012374123
高雄市大寮區中庄里3鄰工商路146巷8號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,8號,120.39091192176,22.633351390529
高雄市大寮區中庄里3鄰工商路146巷9號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,9號,120.3910410031,22.633487342556
高雄市大寮區中庄里3鄰工商路114巷10號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,10號,120.39036144697,22.633073408377
高雄市大寮區中庄里3鄰工商路146巷10號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,10號,120.390937058,22.633320961916
高雄市大寮區中庄里3鄰工商路146巷24弄10號,64,6401400,6401400-009,3鄰,工商路,,146巷,24弄,,,10號,120.39106858679,22.632989760405
高雄市大寮區中庄里3鄰工商路146巷11號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,11號,120.39106760695,22.63345502303
高雄市大寮區中庄里3鄰工商路114巷12號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,12號,120.39038923023,22.633038384209
高雄市大寮區中庄里3鄰工商路146巷12號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,12號,120.39096473752,22.63328738218
高雄市大寮區中庄里3鄰工商路146巷13號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,13號,120.39109127637,22.633426304674
高雄市大寮區中庄里3鄰工商路114巷14號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,14號,120.39041495899,22.633005971156
高雄市大寮區中庄里3鄰工商路146巷14號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,14號,120.39097099749,22.633235569213
高雄市大寮區中庄里3鄰工商路146巷15號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,15號,120.391118369,22.633393445147
高雄市大寮區中庄里3鄰工商路146巷16號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,16號,120.39099349911,22.633206936744
高雄市大寮區中庄里3鄰工商路114巷16號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,16號,120.39043765484,22.632977429812
高雄市大寮區中庄里3鄰工商路146巷17號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,17號,120.3911420384,22.633364726783
高雄市大寮區中庄里3鄰工商路146巷18號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,18號,120.3910200112,22.633173352565
高雄市大寮區中庄里3鄰工商路114巷18號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,18號,120.39046749255,22.632939794508
高雄市大寮區中庄里3鄰工商路146巷19號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,19號,120.39116922868,22.633331777309
高雄市大寮區中庄里3鄰工商路146巷20號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,20號,120.39104662215,22.633139407524
高雄市大寮區中庄里3鄰工商路114巷20號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,20號,120.39049185175,22.632909092087
高雄市大寮區中庄里3鄰工商路146巷21號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,21號,120.39119505022,22.63330035787
高雄市大寮區中庄里3鄰工商路146巷22號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,22號,120.39107127589,22.633108073977
高雄市大寮區中庄里3鄰工商路114巷22號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,22號,120.39051797158,22.632876228964
高雄市大寮區中庄里3鄰工商路146巷23號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,23號,120.39122634824,22.633262457043
高雄市大寮區中庄里3鄰工商路114巷24號,64,6401400,6401400-009,3鄰,工商路,,114巷,,,,24號,120.39054604781,22.632840934956
高雄市大寮區中庄里3鄰工商路146巷25號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,25號,120.39123821114,22.633219605814
高雄市大寮區中庄里2鄰工商路26號,64,6401400,6401400-009,2鄰,工商路,,,,,,26號,120.38812285412,22.632629780157
高雄市大寮區中庄里3鄰工商路146巷26號,64,6401400,6401400-009,3鄰,工商路,,146巷,,,,26號,120.39133021299,22.632828650809
