FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市內門區溝坪里1鄰廣福1之2號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之2號,120.5015368714,22.990446571274
高雄市內門區溝坪里1鄰廣福1之6號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之6號,120.50173261652,22.98989298462
高雄市內門區溝坪里1鄰廣福1之11號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之11號,120.50154651578,22.990263824117
高雄市內門區溝坪里1鄰廣福1之13號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之13號,120.50134029963,22.98994972628
高雄市內門區溝坪里1鄰廣福1之15號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之15號,120.50132148915,22.990025433049
高雄市內門區溝坪里1鄰廣福1之16號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之16號,120.50131099622,22.990067301586
高雄市內門區溝坪里1鄰廣福1之18號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之18號,120.50129376921,22.990136782283
高雄市內門區溝坪里1鄰廣福1之19號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之19號,120.50128377125,22.990176665662
高雄市內門區溝坪里1鄰廣福1之20號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之20號,120.50127515773,22.990211406009
高雄市內門區溝坪里1鄰廣福1之26號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之26號,120.50124368036,22.99046939886
高雄市內門區溝坪里1鄰廣福1之27號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之27號,120.50122979109,22.990506470527
高雄市內門區溝坪里1鄰廣福1之28號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之28號,120.50121599935,22.990543542499
高雄市內門區溝坪里1鄰廣福1之30號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之30號,120.50118822111,22.990617595522
高雄市內門區溝坪里1鄰廣福1之31號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之31號,120.50117452855,22.990654216277
高雄市內門區溝坪里1鄰廣福1之32號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之32號,120.50116122979,22.990689844915
高雄市內門區溝坪里1鄰廣福1之33號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之33號,120.50114684814,22.990728179294
高雄市內門區溝坪里1鄰廣福1之34號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之34號,120.50113345082,22.990764078534
高雄市內門區溝坪里1鄰廣福1之35號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之35號,120.50111946263,22.990801511098
高雄市內門區溝坪里1鄰廣福1之37號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之37號,120.50109257043,22.990873309263
高雄市內門區溝坪里1鄰廣福1之38號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之38號,120.50107877928,22.990910200612
高雄市內門區溝坪里1鄰廣福1之39號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之39號,120.50106518552,22.990946460447
高雄市內門區溝坪里1鄰廣福1之40號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之40號,120.50105139436,22.990983351793
高雄市內門區溝坪里1鄰廣福1之41號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之41號,120.50103730758,22.991021054953
高雄市內門區溝坪里1鄰廣福1之42號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之42號,120.5010236156,22.991057495084
高雄市內門區溝坪里1鄰廣福1之43號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之43號,120.50100992328,22.991094025517
高雄市內門區溝坪里1鄰廣福1之44號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之44號,120.5009966241,22.991129744441
高雄市內門區溝坪里1鄰廣福1之45號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之45號,120.50098303029,22.991166004267
高雄市內門區溝坪里1鄰廣福1之46號,64,6403500,6403500-001,1鄰,廣福,,,,,,1之46號,120.50096923942,22.9912028053
高雄市內門區溝坪里1鄰廣福2號,64,6403500,6403500-001,1鄰,廣福,,,,,,2號,120.50154159175,22.990356371342
高雄市內門區溝坪里2鄰廣福2之2號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之2號,120.5015005784,22.99055509411
高雄市內門區溝坪里2鄰廣福2之3號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之3號,120.50148688527,22.990591895502
高雄市內門區溝坪里2鄰廣福2之4號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之4號,120.50147220845,22.990630951424
高雄市內門區溝坪里2鄰廣福2之5號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之5號,120.50145812183,22.990668654626
高雄市內門區溝坪里2鄰廣福2之6號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之6號,120.5014438388,22.990706718428
高雄市內門區溝坪里2鄰廣福2之7號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之7號,120.50142975216,22.990744421627
高雄市內門區溝坪里2鄰廣福2之8號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之8號,120.50141537058,22.990782756031
高雄市內門區溝坪里2鄰廣福2之9號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之9號,120.50140138213,22.990820278926
高雄市內門區溝坪里2鄰廣福2之10號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之10號,120.501386902,22.990858883932
高雄市內門區溝坪里2鄰廣福2之11號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之11號,120.50137271646,22.990896948034
高雄市內門區溝坪里2鄰廣福2之12號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之12號,120.50134996942,22.990955574747
高雄市內門區溝坪里2鄰廣福2之13號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之13號,120.50132957027,22.991012312439
高雄市內門區溝坪里2鄰廣福2之14號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之14號,120.50131538603,22.991050015318
高雄市內門區溝坪里2鄰廣福2之15號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之15號,120.50130159492,22.991086906687
高雄市內門區溝坪里2鄰廣福2之16號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之16號,120.50128632613,22.991127766826
高雄市內門區溝坪里2鄰廣福2之18號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之18號,120.50125825186,22.991202721974
高雄市內門區溝坪里2鄰廣福2之19號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之19號,120.50124317978,22.991243131202
高雄市內門區溝坪里2鄰廣福2之20號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之20號,120.50122889662,22.99128119498
高雄市內門區溝坪里2鄰廣福2之21號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之21號,120.50121530254,22.99131754513
高雄市內門區溝坪里2鄰廣福2之23號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之23號,120.50118663632,22.991394304499
高雄市內門區溝坪里2鄰廣福2之24號,64,6403500,6403500-001,2鄰,廣福,,,,,,2之24號,120.50117314075,22.991430384039
高雄市內門區溝坪里1鄰廣福3號,64,6403500,6403500-001,1鄰,廣福,,,,,,3號,120.50095130191,22.990217971927
