FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市三民區德北里6鄰德北街1號,64,6400500,6400500-065,6鄰,德北街,,,,,,1號,120.29232388645,22.639790109896
高雄市三民區德北里1鄰德北街77號,64,6400500,6400500-065,1鄰,德北街,,,,,,77號,120.29361997072,22.640262619673
高雄市三民區德北里1鄰德北街79號,64,6400500,6400500-065,1鄰,德北街,,,,,,79號,120.29367394074,22.640286517753
高雄市三民區德北里1鄰德北街81號,64,6400500,6400500-065,1鄰,德北街,,,,,,81號,120.29373298858,22.640306735612
高雄市三民區德北里1鄰德北街83號,64,6400500,6400500-065,1鄰,德北街,,,,,,83號,120.29379517913,22.640321187671
高雄市三民區德北里14鄰德北街138號,64,6400500,6400500-065,14鄰,德北街,,,,,,138號,120.29450761461,22.640360446587
高雄市三民區德北里14鄰德北街140號,64,6400500,6400500-065,14鄰,德北街,,,,,,140號,120.29454940149,22.640369661102
高雄市三民區德北里14鄰德北街142號,64,6400500,6400500-065,14鄰,德北街,,,,,,142號,120.29458238652,22.640387867542
高雄市三民區德北里14鄰德北街146號,64,6400500,6400500-065,14鄰,德北街,,,,,,146號,120.29462324667,22.640388047302
高雄市三民區德北里14鄰德北街148號,64,6400500,6400500-065,14鄰,德北街,,,,,,148號,120.29465326703,22.640415271344
高雄市三民區德北里14鄰德北街150號,64,6400500,6400500-065,14鄰,德北街,,,,,,150號,120.29468903787,22.640421388934
高雄市三民區德北里14鄰德北街152號,64,6400500,6400500-065,14鄰,德北街,,,,,,152號,120.29472512042,22.640442679395
高雄市三民區德北里14鄰德北街156號,64,6400500,6400500-065,14鄰,德北街,,,,,,156號,120.29476598058,22.640442859119
高雄市三民區德北里14鄰德北街158號,64,6400500,6400500-065,14鄰,德北街,,,,,,158號,120.2948029032,22.640452052174
高雄市三民區德北里14鄰德北街160號,64,6400500,6400500-065,14鄰,德北街,,,,,,160號,120.29483041722,22.640474749831
高雄市三民區德北里14鄰德北街162號,64,6400500,6400500-065,14鄰,德北街,,,,,,162號,120.29486401046,22.64048817264
高雄市三民區德北里14鄰德北街166號,64,6400500,6400500-065,14鄰,德北街,,,,,,166號,120.29488948057,22.640511041912
高雄市三民區德北里14鄰德北街168號,64,6400500,6400500-065,14鄰,德北街,,,,,,168號,120.29492194099,22.640536741424
高雄市三民區德北里14鄰德北街170號,64,6400500,6400500-065,14鄰,德北街,,,,,,170號,120.29510887077,22.640586328887
