FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市三民區達勇里6鄰恒豐街2號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,2號,120.30574432151,22.639759195216
高雄市三民區達勇里6鄰恒豐街4號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,4號,120.30570828037,22.639768069836
高雄市三民區達勇里6鄰恒豐街6號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,6號,120.30566737493,22.639776923384
高雄市三民區達勇里6鄰恒豐街8號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,8號,120.30563137916,22.639776767508
高雄市三民區達勇里6鄰恒豐街10號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,10號,120.30559339229,22.639785633677
高雄市三民區達勇里6鄰恒豐街12號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,12號,120.30555443255,22.639794495622
高雄市三民區達勇里6鄰恒豐街14號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,14號,120.30551547281,22.639803357558
高雄市三民區達勇里6鄰恒豐街16號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,16號,120.30548137736,22.639812240554
高雄市三民區達勇里6鄰恒豐街18號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,18號,120.30544246301,22.639812071993
高雄市三民區達勇里6鄰恒豐街22號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,22號,120.30536162493,22.639829783157
高雄市三民區達勇里6鄰恒豐街24號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,24號,120.30531682802,22.639838619756
高雄市三民區達勇里6鄰恒豐街26號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,26號,120.30527008538,22.639847447912
高雄市三民區達勇里6鄰恒豐街30號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,30號,120.30516881722,22.639865070457
高雄市三民區達勇里6鄰恒豐街32號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,32號,120.30511915598,22.639873885921
高雄市三民區達勇里6鄰恒豐街34號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,34號,120.30507046761,22.639882705586
高雄市三民區達勇里6鄰恒豐街36號,64,6400500,6400500-051,6鄰,恒豐街,,,,,,36號,120.30502070908,22.639891520598
