FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市三民區灣中里10鄰應昇路1號,64,6400500,6400500-033,10鄰,應昇路,,,,,,1號,120.3167019208,22.648186921535
高雄市三民區灣中里10鄰應昇路3號,64,6400500,6400500-033,10鄰,應昇路,,,,,,3號,120.31669303047,22.64821397568
高雄市三民區灣中里10鄰應昇路5號,64,6400500,6400500-033,10鄰,應昇路,,,,,,5號,120.31669183414,22.648259123983
高雄市三民區灣中里10鄰應昇路7號,64,6400500,6400500-033,10鄰,應昇路,,,,,,7號,120.31668480028,22.648304247401
高雄市三民區灣中里10鄰應昇路9號,64,6400500,6400500-033,10鄰,應昇路,,,,,,9號,120.31667586526,22.648340332034
高雄市三民區灣中里10鄰應昇路15號,64,6400500,6400500-033,10鄰,應昇路,,,,,,15號,120.316707537,22.648565963131
高雄市三民區灣中里10鄰應昇路17號,64,6400500,6400500-033,10鄰,應昇路,,,,,,17號,120.31670576719,22.648609031931
高雄市三民區灣中里9鄰應昇路18號,64,6400500,6400500-033,9鄰,應昇路,,,,,,18號,120.31697720111,22.648612536728
高雄市三民區灣中里10鄰應昇路19號,64,6400500,6400500-033,10鄰,應昇路,,,,,,19號,120.3167023634,22.648667716842
高雄市三民區灣中里9鄰應昇路20號,64,6400500,6400500-033,9鄰,應昇路,,,,,,20號,120.31697799537,22.648648662834
高雄市三民區灣中里10鄰應昇路21號,64,6400500,6400500-033,10鄰,應昇路,,,,,,21號,120.31669130121,22.648720770084
高雄市三民區灣中里9鄰應昇路22號,64,6400500,6400500-033,9鄰,應昇路,,,,,,22號,120.31696901574,22.648693777973
高雄市三民區灣中里10鄰應昇路23號,64,6400500,6400500-033,10鄰,應昇路,,,,,,23號,120.31667563812,22.648779493041
高雄市三民區灣中里1鄰應昇路26號,64,6400500,6400500-033,1鄰,應昇路,,,,,,26號,120.3169767217,22.648748807652
高雄市三民區灣中里1鄰應昇路28號,64,6400500,6400500-033,1鄰,應昇路,,,,,,28號,120.31697320457,22.648830430015
高雄市三民區灣中里1鄰應昇路30號,64,6400500,6400500-033,1鄰,應昇路,,,,,,30號,120.3169718325,22.648871784684
高雄市三民區灣中里11鄰應昇路33號,64,6400500,6400500-033,11鄰,應昇路,,,,,,33號,120.31651331166,22.648944694554
高雄市三民區灣中里11鄰應昇路35號,64,6400500,6400500-033,11鄰,應昇路,,,,,,35號,120.31653551016,22.648980911924
高雄市三民區灣中里11鄰應昇路37號,64,6400500,6400500-033,11鄰,應昇路,,,,,,37號,120.31655381698,22.649017112698
高雄市三民區灣中里11鄰應昇路39號,64,6400500,6400500-033,11鄰,應昇路,,,,,,39號,120.31656920503,22.649053301026
高雄市三民區灣中里11鄰應昇路41號,64,6400500,6400500-033,11鄰,應昇路,,,,,,41號,120.31658751186,22.649089501797
高雄市三民區灣中里11鄰應昇路43號,64,6400500,6400500-033,11鄰,應昇路,,,,,,43號,120.31661468038,22.649124114824
高雄市三民區灣中里11鄰應昇路45號,64,6400500,6400500-033,11鄰,應昇路,,,,,,45號,120.31662412555,22.649161903332
高雄市三民區灣中里1鄰應昇路46之1號,64,6400500,6400500-033,1鄰,應昇路,,,,,,46之1號,120.31692173745,22.649105465827
高雄市三民區灣中里11鄰應昇路47號,64,6400500,6400500-033,11鄰,應昇路,,,,,,47號,120.31662876674,22.649207076516
高雄市三民區灣中里11鄰應昇路49號,64,6400500,6400500-033,11鄰,應昇路,,,,,,49號,120.3166392455,22.649252274586
高雄市三民區灣中里9鄰應昇路50號,64,6400500,6400500-033,9鄰,應昇路,,,,,,50號,120.31694204396,22.649209495486
高雄市三民區灣中里11鄰應昇路51號,64,6400500,6400500-033,11鄰,應昇路,,,,,,51號,120.31664879603,22.649288438019
高雄市三民區灣中里11鄰應昇路53號,64,6400500,6400500-033,11鄰,應昇路,,,,,,53號,120.31667637701,22.649318356842
高雄市三民區灣中里11鄰應昇路55號,64,6400500,6400500-033,11鄰,應昇路,,,,,,55號,120.31667762638,22.64936080636
高雄市三民區灣中里11鄰應昇路57之1號,64,6400500,6400500-033,11鄰,應昇路,,,,,,57之1號,120.31668032174,22.649405971247
高雄市三民區灣中里5鄰應昇路70號,64,6400500,6400500-033,5鄰,應昇路,,,,,,70號,120.31701305194,22.649822800586
高雄市三民區灣中里5鄰應昇路72號,64,6400500,6400500-033,5鄰,應昇路,,,,,,72號,120.3170226026,22.649858963997
