FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市仁武區文武里32鄰文中二街3號,64,6401700,6401700-007,32鄰,文中二街,,,,,,3號,120.35408236721,22.698792997964
高雄市仁武區文武里52鄰文中二街30之1號,64,6401700,6401700-007,52鄰,文中二街,,,,,,30之1號,120.35449756823,22.69862896053
高雄市仁武區文武里52鄰文中二街36號,64,6401700,6401700-007,52鄰,文中二街,,,,,,36號,120.35459326869,22.698685968868
高雄市仁武區文武里52鄰文中二街38號,64,6401700,6401700-007,52鄰,文中二街,,,,,,38號,120.3546509087,22.698702366242
高雄市仁武區文武里52鄰文中二街40號,64,6401700,6401700-007,52鄰,文中二街,,,,,,40號,120.35469658197,22.698717721965
高雄市仁武區文武里52鄰文中二街42號,64,6401700,6401700-007,52鄰,文中二街,,,,,,42號,120.35473040488,22.698727972712
高雄市仁武區文武里32鄰文中二街43號,64,6401700,6401700-007,32鄰,文中二街,,,,,,43號,120.35453538382,22.698950334117
高雄市仁武區文武里32鄰文中二街45號,64,6401700,6401700-007,32鄰,文中二街,,,,,,45號,120.35458804959,22.698968969118
高雄市仁武區文武里52鄰文中二街46號,64,6401700,6401700-007,52鄰,文中二街,,,,,,46號,120.35477067051,22.698734185627
高雄市仁武區文武里32鄰文中二街47號,64,6401700,6401700-007,32鄰,文中二街,,,,,,47號,120.35464149232,22.698987968464
高雄市仁武區文武里52鄰文中二街48號,64,6401700,6401700-007,52鄰,文中二街,,,,,,48號,120.3548120897,22.698743473612
高雄市仁武區文武里32鄰文中二街49號,64,6401700,6401700-007,32鄰,文中二街,,,,,,49號,120.35469814182,22.699008064404
高雄市仁武區文武里52鄰文中二街50號,64,6401700,6401700-007,52鄰,文中二街,,,,,,50號,120.35485231304,22.698758717009
高雄市仁武區文武里32鄰文中二街51號,64,6401700,6401700-007,32鄰,文中二街,,,,,,51號,120.35474886403,22.699026059369
高雄市仁武區文武里52鄰文中二街52號,64,6401700,6401700-007,52鄰,文中二街,,,,,,52號,120.35488816549,22.698772046335
高雄市仁武區文武里32鄰文中二街53號,64,6401700,6401700-007,32鄰,文中二街,,,,,,53號,120.35478501106,22.699038848066
高雄市仁武區文武里52鄰文中二街54號,64,6401700,6401700-007,52鄰,文中二街,,,,,,54號,120.35492304973,22.698784288068
高雄市仁武區文武里32鄰文中二街55號,64,6401700,6401700-007,32鄰,文中二街,,,,,,55號,120.35482280972,22.69905227556
高雄市仁武區文武里52鄰文中二街56號,64,6401700,6401700-007,52鄰,文中二街,,,,,,56號,120.35496220672,22.698798624073
高雄市仁武區文武里32鄰文中二街57號,64,6401700,6401700-007,32鄰,文中二街,,,,,,57號,120.35485641227,22.699068034104
高雄市仁武區文武里52鄰文中二街58號,64,6401700,6401700-007,52鄰,文中二街,,,,,,58號,120.35500028844,22.698813949108
高雄市仁武區文武里32鄰文中二街59號,64,6401700,6401700-007,32鄰,文中二街,,,,,,59號,120.35489625697,22.699081018297
高雄市仁武區文武里52鄰文中二街60號,64,6401700,6401700-007,52鄰,文中二街,,,,,,60號,120.35503946954,22.698823137707
高雄市仁武區文武里32鄰文中二街61號,64,6401700,6401700-007,32鄰,文中二街,,,,,,61號,120.35493455118,22.699092551323
高雄市仁武區文武里32鄰文中二街63號,64,6401700,6401700-007,32鄰,文中二街,,,,,,63號,120.35496971777,22.69910687124
高雄市仁武區文武里32鄰文中二街65號,64,6401700,6401700-007,32鄰,文中二街,,,,,,65號,120.35500343079,22.69911983069
高雄市仁武區文武里32鄰文中二街67號,64,6401700,6401700-007,32鄰,文中二街,,,,,,67號,120.35504017452,22.699129912533
高雄市仁武區文武里32鄰文中二街69號,64,6401700,6401700-007,32鄰,文中二街,,,,,,69號,120.35508145932,22.699147146902
高雄市仁武區文武里32鄰文中二街71號,64,6401700,6401700-007,32鄰,文中二街,,,,,,71號,120.35510904741,22.699158636736
高雄市仁武區文武里32鄰文中二街73號,64,6401700,6401700-007,32鄰,文中二街,,,,,,73號,120.35514579116,22.699168718555
高雄市仁武區文武里32鄰文中二街75號,64,6401700,6401700-007,32鄰,文中二街,,,,,,75號,120.35518407866,22.699181696402
高雄市仁武區文武里32鄰文中二街77號,64,6401700,6401700-007,32鄰,文中二街,,,,,,77號,120.35522383962,22.699191790362
高雄市仁武區文武里32鄰文中二街79號,64,6401700,6401700-007,32鄰,文中二街,,,,,,79號,120.35526668848,22.699207586078
高雄市仁武區文武里32鄰文中二街81號,64,6401700,6401700-007,32鄰,文中二街,,,,,,81號,120.35531880847,22.699280492992
高雄市仁武區文武里53鄰文中二街136號,64,6401700,6401700-007,53鄰,文中二街,,,,,,136號,120.35622608455,22.699289112562
高雄市仁武區文武里53鄰文中二街138號,64,6401700,6401700-007,53鄰,文中二街,,,,,,138號,120.35626590581,22.699307153501
高雄市仁武區文武里53鄰文中二街140號,64,6401700,6401700-007,53鄰,文中二街,,,,,,140號,120.35631350749,22.699326490023
高雄市仁武區文武里53鄰文中二街142號,64,6401700,6401700-007,53鄰,文中二街,,,,,,142號,120.35637904597,22.699339848125
高雄市仁武區文武里33鄰文中二街145號,64,6401700,6401700-007,33鄰,文中二街,,,,,,145號,120.35673629139,22.699664402206
高雄市仁武區文武里53鄰文中二街146號,64,6401700,6401700-007,53鄰,文中二街,,,,,,146號,120.35643947821,22.699362848486
高雄市仁武區文武里33鄰文中二街147號,64,6401700,6401700-007,33鄰,文中二街,,,,,,147號,120.35678772831,22.699675355479
高雄市仁武區文武里53鄰文中二街152號,64,6401700,6401700-007,53鄰,文中二街,,,,,,152號,120.35656800961,22.69937194451
高雄市仁武區文武里53鄰文中二街155號,64,6401700,6401700-007,53鄰,文中二街,,,,,,155號,120.35710396435,22.699819672243
