FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前金區北金里8鄰文武一街87號,64,6400700,6400700-004,8鄰,文武一街,,,,,,87號,120.29352146056,22.6328333824
高雄市前金區北金里6鄰文武一街89號,64,6400700,6400700-004,6鄰,文武一街,,,,,,89號,120.29347110875,22.63297765125
高雄市前金區北金里6鄰文武一街102號,64,6400700,6400700-004,6鄰,文武一街,,,,,,102號,120.29374395651,22.632888546336
高雄市前金區北金里6鄰文武一街104號,64,6400700,6400700-004,6鄰,文武一街,,,,,,104號,120.29372922595,22.632915573467
高雄市前金區北金里6鄰文武一街106號,64,6400700,6400700-004,6鄰,文武一街,,,,,,106號,120.29370050687,22.633014784323
高雄市前金區北金里6鄰文武一街108號,64,6400700,6400700-004,6鄰,文武一街,,,,,,108號,120.29368480347,22.633041807165
高雄市前金區北金里6鄰文武一街110號,64,6400700,6400700-004,6鄰,文武一街,,,,,,110號,120.29367002673,22.633077864752
高雄市前金區北金里6鄰文武一街114號,64,6400700,6400700-004,6鄰,文武一街,,,,,,114號,120.29364640239,22.633131944703
高雄市前金區北金里6鄰文武一街116號,64,6400700,6400700-004,6鄰,文武一街,,,,,,116號,120.29363147008,22.633198434945
高雄市前金區北金里6鄰文武一街118號,64,6400700,6400700-004,6鄰,文武一街,,,,,,118號,120.29361300378,22.633195012266
高雄市前金區北金里4鄰文武一街120號,64,6400700,6400700-004,4鄰,文武一街,,,,,,120號,120.2935725185,22.6333122326
高雄市前金區北金里4鄰文武一街122號,64,6400700,6400700-004,4鄰,文武一街,,,,,,122號,120.2935577417,22.633348290174
高雄市前金區北金里4鄰文武一街124號,64,6400700,6400700-004,4鄰,文武一街,,,,,,124號,120.29355561143,22.633384403454
高雄市前金區北金里4鄰文武一街126號,64,6400700,6400700-004,4鄰,文武一街,,,,,,126號,120.29353698954,22.633411413423
高雄市前金區北金里4鄰文武一街128號,64,6400700,6400700-004,4鄰,文武一街,,,,,,128號,120.29352221271,22.633447470993
高雄市前金區北金里4鄰文武一街130號,64,6400700,6400700-004,4鄰,文武一街,,,,,,130號,120.29351234611,22.633474519526
高雄市前金區北金里10鄰文武一街131號,64,6400700,6400700-004,10鄰,文武一街,,,,,,131號,120.29312971301,22.633915426395
