FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市左營區新下里21鄰新上街307巷8弄1號,64,6400300,6400300-039,21鄰,新上街,,307巷,8弄,,,1號,120.30395934633,22.669273575656
高雄市左營區新下里21鄰新上街307巷1號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,1號,120.30439270258,22.669419948403
高雄市左營區新下里9鄰新上街297巷1號,64,6400300,6400300-039,9鄰,新上街,,297巷,,,,1號,120.30479678156,22.669177785056
高雄市左營區新下里9鄰新上街326巷1號,64,6400300,6400300-039,9鄰,新上街,,326巷,,,,1號,120.30410807616,22.669689631311
高雄市左營區新下里21鄰新上街307巷2號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,2號,120.30409188197,22.669427672397
高雄市左營區新下里9鄰新上街326巷2號,64,6400300,6400300-039,9鄰,新上街,,326巷,,,,2號,120.30429252238,22.669680589131
高雄市左營區新下里9鄰新上街297巷2號,64,6400300,6400300-039,9鄰,新上街,,297巷,,,,2號,120.30462343934,22.669204124561
高雄市左營區新下里21鄰新上街307巷3號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,3號,120.30439001105,22.669374783512
高雄市左營區新下里21鄰新上街307巷8弄3號,64,6400300,6400300-039,21鄰,新上街,,307巷,8弄,,,3號,120.30392630765,22.669264401448
高雄市左營區新下里9鄰新上街297巷3號,64,6400300,6400300-039,9鄰,新上街,,297巷,,,,3號,120.30479501745,22.669141654834
高雄市左營區新下里9鄰新上街326巷3號,64,6400300,6400300-039,9鄰,新上街,,326巷,,,,3號,120.30413327403,22.669748530246
高雄市左營區新下里21鄰新上街307巷4號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,4號,120.30408817192,22.669391533718
高雄市左營區新下里9鄰新上街326巷4號,64,6400300,6400300-039,9鄰,新上街,,326巷,,,,4號,120.30429672116,22.669735603965
高雄市左營區新下里9鄰新上街297巷4號,64,6400300,6400300-039,9鄰,新上街,,297巷,,,,4號,120.3046217208,22.669158963895
高雄市左營區新下里21鄰新上街307巷5號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,5號,120.30439019318,22.669338661741
高雄市左營區新下里21鄰新上街307巷8弄5號,64,6400300,6400300-039,21鄰,新上街,,307巷,8弄,,,5號,120.30388937671,22.669255210318
高雄市左營區新下里21鄰新上街307巷6號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,6號,120.30409030027,22.669355420405
高雄市左營區新下里9鄰新上街297巷6號,64,6400300,6400300-039,9鄰,新上街,,297巷,,,,6號,120.30461898367,22.669122829449
高雄市左營區新下里21鄰新上街307巷7號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,7號,120.30439037532,22.669302539969
高雄市左營區新下里21鄰新上街307巷8弄7號,64,6400300,6400300-039,21鄰,新上街,,307巷,8弄,,,7號,120.30385054521,22.66923698028
高雄市左營區新下里9鄰新上街297巷8號,64,6400300,6400300-039,9鄰,新上街,,297巷,,,,8號,120.30461916575,22.669086707674
高雄市左營區新下里21鄰新上街307巷8弄9號,64,6400300,6400300-039,21鄰,新上街,,307巷,8弄,,,9號,120.30381556041,22.669227797592
高雄市左營區新下里21鄰新上街307巷9號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,9號,120.30439055745,22.669266418198
高雄市左營區新下里21鄰新上街307巷10號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,10號,120.30414033662,22.66927436202
高雄市左營區新下里21鄰新上街307巷11號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,11號,120.30439073959,22.669230296426
高雄市左營區新下里21鄰新上街307巷12號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,12號,120.30414051882,22.66923824025
高雄市左營區新下里21鄰新上街307巷13號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,13號,120.30438800252,22.669194161977
高雄市左營區新下里21鄰新上街307巷14號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,14號,120.3041397735,22.66919308381
高雄市左營區新下里21鄰新上街307巷15號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,15號,120.30438721205,22.669157945675
高雄市左營區新下里21鄰新上街307巷17號,64,6400300,6400300-039,21鄰,新上街,,307巷,,,,17號,120.30439128644,22.669121840806
高雄市左營區新下里3鄰新上街196號,64,6400300,6400300-039,3鄰,新上街,,,,,,196號,120.30709203442,22.668880688339
高雄市左營區新下里3鄰新上街198號,64,6400300,6400300-039,3鄰,新上街,,,,,,198號,120.307035506,22.668898505091
高雄市左營區新下里3鄰新上街200號,64,6400300,6400300-039,3鄰,新上街,,,,,,200號,120.30699459194,22.668907358733
高雄市左營區新下里3鄰新上街206號,64,6400300,6400300-039,3鄰,新上街,,,,,,206號,120.30688245616,22.668933965489
高雄市左營區新下里3鄰新上街208號,64,6400300,6400300-039,3鄰,新上街,,,,,,208號,120.30683959596,22.668942810669
高雄市左營區新下里3鄰新上街210號,64,6400300,6400300-039,3鄰,新上街,,,,,,210號,120.30680160108,22.668951676893
高雄市左營區新下里3鄰新上街212號,64,6400300,6400300-039,3鄰,新上街,,,,,,212號,120.30676356081,22.668969573555
高雄市左營區新下里1鄰新上街213號,64,6400300,6400300-039,1鄰,新上街,,,,,,213號,120.30704897228,22.668736011742
高雄市左營區新下里1鄰新上街215號,64,6400300,6400300-039,1鄰,新上街,,,,,,215號,120.3069767776,22.668753760702
高雄市左營區新下里3鄰新上街216號,64,6400300,6400300-039,3鄰,新上街,,,,,,216號,120.30668659795,22.668987301746
高雄市左營區新下里3鄰新上街218號,64,6400300,6400300-039,3鄰,新上街,,,,,,218號,120.30664568385,22.668996155297
高雄市左營區新下里2鄰新上街219號,64,6400300,6400300-039,2鄰,新上街,,,,,,219號,120.30689685032,22.668780506816
高雄市左營區新下里3鄰新上街220號,64,6400300,6400300-039,3鄰,新上街,,,,,,220號,120.30660963507,22.669005029898
高雄市左營區新下里2鄰新上街221號,64,6400300,6400300-039,2鄰,新上街,,,,,,221號,120.30686080162,22.668789381476
高雄市左營區新下里3鄰新上街222號,64,6400300,6400300-039,3鄰,新上街,,,,,,222號,120.30657261323,22.669013900279
高雄市左營區新下里2鄰新上街223號,64,6400300,6400300-039,2鄰,新上街,,,,,,223號,120.3068247529,22.668798256128
高雄市左營區新下里3鄰新上街224號,64,6400300,6400300-039,3鄰,新上街,,,,,,224號,120.30653559137,22.669022770651
高雄市左營區新下里2鄰新上街225號,64,6400300,6400300-039,2鄰,新上街,,,,,,225號,120.3067836615,22.668803677304
高雄市左營區新下里3鄰新上街226號,64,6400300,6400300-039,3鄰,新上街,,,,,,226號,120.30649759645,22.669031636802
高雄市左營區新下里2鄰新上街227號,64,6400300,6400300-039,2鄰,新上街,,,,,,227號,120.30674779015,22.66881598435
高雄市左營區新下里3鄰新上街228號,64,6400300,6400300-039,3鄰,新上街,,,,,,228號,120.30645663693,22.669049520751
高雄市左營區新下里2鄰新上街229號,64,6400300,6400300-039,2鄰,新上街,,,,,,229號,120.30670979529,22.668824850553
高雄市左營區新下里3鄰新上街230號,64,6400300,6400300-039,3鄰,新上街,,,,,,230號,120.30642191727,22.669064993434
高雄市左營區新下里2鄰新上街231號,64,6400300,6400300-039,2鄰,新上街,,,,,,231號,120.30667180044,22.668833716747
高雄市左營區新下里3鄰新上街232號,64,6400300,6400300-039,3鄰,新上街,,,,,,232號,120.30638453932,22.669067269859
高雄市左營區新下里2鄰新上街233號,64,6400300,6400300-039,2鄰,新上街,,,,,,233號,120.30663473325,22.668851617591
高雄市左營區新下里3鄰新上街234號,64,6400300,6400300-039,3鄰,新上街,,,,,,234號,120.30631369078,22.669088185069
高雄市左營區新下里3鄰新上街236號,64,6400300,6400300-039,3鄰,新上街,,,,,,236號,120.30626023738,22.669113690907
高雄市左營區新下里3鄰新上街238號,64,6400300,6400300-039,3鄰,新上街,,,,,,238號,120.30603051783,22.669166518468
高雄市左營區新下里2鄰新上街239號,64,6400300,6400300-039,2鄰,新上街,,,,,,239號,120.30648507591,22.668831644139
高雄市左營區新下里3鄰新上街240號,64,6400300,6400300-039,3鄰,新上街,,,,,,240號,120.30599340087,22.669174936769
高雄市左營區新下里2鄰新上街245號,64,6400300,6400300-039,2鄰,新上街,,,,,,245號,120.30642525218,22.668904894561
高雄市左營區新下里8鄰新上街246號,64,6400300,6400300-039,8鄰,新上街,,,,,,246號,120.30593439265,22.66918271837
