FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市仁武區文武里19鄰新寶街51巷1號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,1號,120.35263782661,22.693876280249
高雄市仁武區文武里46鄰新寶街3巷8弄1號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,1號,120.35254180237,22.695007525775
高雄市仁武區文武里19鄰新寶街51巷2號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,2號,120.35265735047,22.693698093666
高雄市仁武區文武里46鄰新寶街3巷8弄2號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,2號,120.35240000373,22.694985188125
高雄市仁武區文武里46鄰新寶街2之1號,64,6401700,6401700-007,46鄰,新寶街,,,,,,2之1號,120.35185604355,22.695005111225
高雄市仁武區文武里19鄰新寶街51巷3號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,3號,120.35267428316,22.693885006849
高雄市仁武區文武里46鄰新寶街3巷8弄3號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,3號,120.35254937863,22.69496935667
高雄市仁武區文武里19鄰新寶街51巷5號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,5號,120.35271005335,22.693894814345
高雄市仁武區文武里46鄰新寶街3巷8弄5號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,5號,120.35255636074,22.694933352523
高雄市仁武區文武里46鄰新寶街5號,64,6401700,6401700-007,46鄰,新寶街,,,,,,5號,120.3521709957,22.694942991101
高雄市仁武區文武里19鄰新寶街51巷6號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,6號,120.35269350864,22.693708173655
高雄市仁武區文武里46鄰新寶街3巷8弄6號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,6號,120.352404353,22.694950257013
高雄市仁武區文武里19鄰新寶街51巷7號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,7號,120.35274641768,22.693902456874
高雄市仁武區文武里46鄰新寶街3巷8弄7號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,7號,120.35256285155,22.694898339762
高雄市仁武區文武里46鄰新寶街7號,64,6401700,6401700-007,46鄰,新寶街,,,,,,7號,120.35218053258,22.694901849829
高雄市仁武區文武里19鄰新寶街51巷8號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,8號,120.35272636625,22.693716434152
高雄市仁武區文武里46鄰新寶街3巷8弄8號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,8號,120.35241132836,22.694915697753
高雄市仁武區文武里46鄰新寶街3巷8弄9號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,9號,120.35257100199,22.694862250034
高雄市仁武區文武里46鄰新寶街9號,64,6401700,6401700-007,46鄰,新寶街,,,,,,9號,120.35218809874,22.694865848064
高雄市仁武區文武里19鄰新寶街51巷10號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,10號,120.35276174668,22.693726330367
高雄市仁武區文武里46鄰新寶街3巷8弄10號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,10號,120.35241723865,22.694879960196
高雄市仁武區文武里19鄰新寶街79巷11號,64,6401700,6401700-007,19鄰,新寶街,,79巷,,,,11號,120.3528683387,22.693432090406
高雄市仁武區文武里46鄰新寶街3巷8弄11號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,11號,120.35257807887,22.694826788109
高雄市仁武區文武里46鄰新寶街11號,64,6401700,6401700-007,46鄰,新寶街,,,,,,11號,120.35219576137,22.694830027302
高雄市仁武區文武里19鄰新寶街51巷12號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,12號,120.35279586104,22.693736402068
高雄市仁武區文武里46鄰新寶街3巷8弄12號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,12號,120.35242353484,22.694844946654
高雄市仁武區文武里46鄰新寶街13號,64,6401700,6401700-007,46鄰,新寶街,,,,,,13號,120.35220264157,22.694795016133
高雄市仁武區文武里46鄰新寶街3巷8弄13號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,13號,120.35258467081,22.694790962995
高雄市仁武區文武里46鄰新寶街3巷8弄15號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,15號,120.35259213996,22.694754870509
高雄市仁武區文武里46鄰新寶街15號,64,6401700,6401700-007,46鄰,新寶街,,,,,,15號,120.35220932839,22.69475973326
高雄市仁武區文武里19鄰新寶街51巷16號,64,6401700,6401700-007,19鄰,新寶街,,51巷,,,,16號,120.35283708012,22.69374650249
高雄市仁武區文武里46鄰新寶街3巷8弄16號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,16號,120.35242983273,22.694809571891
高雄市仁武區文武里46鄰新寶街17號,64,6401700,6401700-007,46鄰,新寶街,,,,,,17號,120.35221611508,22.694723908951
高雄市仁武區文武里46鄰新寶街3巷8弄17號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,17號,120.35260981385,22.694721889731
高雄市仁武區文武里46鄰新寶街3巷8弄18號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,18號,120.35243720332,22.694773749934
高雄市仁武區文武里46鄰新寶街19號,64,6401700,6401700-007,46鄰,新寶街,,,,,,19號,120.35222250822,22.694688986116
高雄市仁武區文武里46鄰新寶街3巷8弄20號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,20號,120.35244301032,22.694739276251
高雄市仁武區文武里19鄰新寶街79巷21號,64,6401700,6401700-007,19鄰,新寶街,,79巷,,,,21號,120.35304861896,22.693487545144
高雄市仁武區文武里46鄰新寶街21號,64,6401700,6401700-007,46鄰,新寶街,,,,,,21號,120.35222890814,22.6946526184
高雄市仁武區文武里46鄰新寶街3巷8弄22號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,22號,120.35244095094,22.69470115847
高雄市仁武區文武里46鄰新寶街23號,64,6401700,6401700-007,46鄰,新寶街,,,,,,23號,120.35223559622,22.69461706461
高雄市仁武區文武里46鄰新寶街25號,64,6401700,6401700-007,46鄰,新寶街,,,,,,25號,120.35224277814,22.694579977604
高雄市仁武區文武里46鄰新寶街3巷8弄26號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,26號,120.35244695769,22.694665601914
高雄市仁武區文武里46鄰新寶街27號,64,6401700,6401700-007,46鄰,新寶街,,,,,,27號,120.35225162393,22.694540910584
高雄市仁武區文武里46鄰新寶街3巷8弄28號,64,6401700,6401700-007,46鄰,新寶街,,3巷,8弄,,,28號,120.35245227127,22.694632571142
高雄市仁武區文武里46鄰新寶街29號,64,6401700,6401700-007,46鄰,新寶街,,,,,,29號,120.35225806459,22.694495873582
高雄市仁武區文武里19鄰新寶街79巷31號,64,6401700,6401700-007,19鄰,新寶街,,79巷,,,,31號,120.35321966446,22.693499163576
高雄市仁武區文武里19鄰新寶街35號,64,6401700,6401700-007,19鄰,新寶街,,,,,,35號,120.35242838612,22.694040513715
高雄市仁武區文武里19鄰新寶街37號,64,6401700,6401700-007,19鄰,新寶街,,,,,,37號,120.35243702146,22.694004787178
高雄市仁武區文武里19鄰新寶街39號,64,6401700,6401700-007,19鄰,新寶街,,,,,,39號,120.35244458368,22.693969598139
高雄市仁武區文武里19鄰新寶街41號,64,6401700,6401700-007,19鄰,新寶街,,,,,,41號,120.35245263719,22.693933417713
高雄市仁武區文武里19鄰新寶街43號,64,6401700,6401700-007,19鄰,新寶街,,,,,,43號,120.35246078589,22.693897689205
高雄市仁武區文武里19鄰新寶街45號,64,6401700,6401700-007,19鄰,新寶街,,,,,,45號,120.35246990062,22.69386349982
高雄市仁武區文武里19鄰新寶街47號,64,6401700,6401700-007,19鄰,新寶街,,,,,,47號,120.35247785594,22.693827499609
高雄市仁武區文武里19鄰新寶街49號,64,6401700,6401700-007,19鄰,新寶街,,,,,,49號,120.35248591155,22.693790867655
高雄市仁武區文武里19鄰新寶街55號,64,6401700,6401700-007,19鄰,新寶街,,,,,,55號,120.35250882346,22.693699479599
