FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市杉林區上平里19鄰日光二街1號,64,6403400,6403400-005,19鄰,日光二街,,,,,,1號,120.55248263335,22.98029559924
高雄市杉林區上平里19鄰日光二街3號,64,6403400,6403400-005,19鄰,日光二街,,,,,,3號,120.55256916429,22.980230552538
高雄市杉林區上平里19鄰日光二街5號,64,6403400,6403400-005,19鄰,日光二街,,,,,,5號,120.55265559762,22.980165505512
高雄市杉林區上平里19鄰日光二街7號,64,6403400,6403400-005,19鄰,日光二街,,,,,,7號,120.5527421284,22.980100458712
高雄市杉林區上平里19鄰日光二街9號,64,6403400,6403400-005,19鄰,日光二街,,,,,,9號,120.55282856156,22.980035411588
高雄市杉林區上平里19鄰日光二街11號,64,6403400,6403400-005,19鄰,日光二街,,,,,,11號,120.55291499464,22.979970364415
高雄市杉林區上平里19鄰日光二街13號,64,6403400,6403400-005,19鄰,日光二街,,,,,,13號,120.55300152517,22.979905317468
高雄市杉林區上平里19鄰日光二街15號,64,6403400,6403400-005,19鄰,日光二街,,,,,,15號,120.55308795808,22.979840270197
高雄市杉林區上平里19鄰日光二街17號,64,6403400,6403400-005,19鄰,日光二街,,,,,,17號,120.55327034674,22.979720858419
高雄市杉林區上平里19鄰日光二街19號,64,6403400,6403400-005,19鄰,日光二街,,,,,,19號,120.5533434774,22.979667242333
高雄市杉林區上平里19鄰日光二街21號,64,6403400,6403400-005,19鄰,日光二街,,,,,,21號,120.55341670523,22.979613716791
高雄市杉林區上平里19鄰日光二街23號,64,6403400,6403400-005,19鄰,日光二街,,,,,,23號,120.55348983578,22.979560100635
高雄市杉林區上平里19鄰日光二街25號,64,6403400,6403400-005,19鄰,日光二街,,,,,,25號,120.55356296627,22.979506484444
高雄市杉林區上平里19鄰日光二街27號,64,6403400,6403400-005,19鄰,日光二街,,,,,,27號,120.5536360964,22.979452958523
高雄市杉林區上平里19鄰日光二街29號,64,6403400,6403400-005,19鄰,日光二街,,,,,,29號,120.5537093243,22.979399342536
高雄市杉林區上平里19鄰日光二街31號,64,6403400,6403400-005,19鄰,日光二街,,,,,,31號,120.55378245432,22.979345816545
高雄市杉林區上平里19鄰日光二街33號,64,6403400,6403400-005,19鄰,日光二街,,,,,,33號,120.55385558458,22.979292200213
高雄市杉林區上平里19鄰日光二街35號,64,6403400,6403400-005,19鄰,日光二街,,,,,,35號,120.55392871448,22.979238674152
高雄市杉林區上平里19鄰日光二街37號,64,6403400,6403400-005,19鄰,日光二街,,,,,,37號,120.55400184463,22.979185057751
高雄市杉林區上平里19鄰日光二街39號,64,6403400,6403400-005,19鄰,日光二街,,,,,,39號,120.55407507195,22.979131531894
高雄市杉林區上平里19鄰日光二街41號,64,6403400,6403400-005,19鄰,日光二街,,,,,,41號,120.55414820197,22.979077915422
高雄市杉林區上平里19鄰日光二街43號,64,6403400,6403400-005,19鄰,日光二街,,,,,,43號,120.55422133194,22.979024298916
高雄市杉林區上平里19鄰日光二街45號,64,6403400,6403400-005,19鄰,日光二街,,,,,,45號,120.55429446156,22.978970772679
高雄市杉林區上平里19鄰日光二街47號,64,6403400,6403400-005,19鄰,日光二街,,,,,,47號,120.55436759141,22.978917156103
