FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區明正里17鄰明道中街1號,64,6400900,6400900-003,17鄰,明道中街,,,,,,1號,120.32617487587,22.582250317139
高雄市前鎮區明正里17鄰明道中街2號,64,6400900,6400900-003,17鄰,明道中街,,,,,,2號,120.32602750388,22.582398796935
高雄市前鎮區明正里17鄰明道中街2之1號,64,6400900,6400900-003,17鄰,明道中街,,,,,,2之1號,120.32600442245,22.582365737812
高雄市前鎮區明正里17鄰明道中街3號,64,6400900,6400900-003,17鄰,明道中街,,,,,,3號,120.32615033574,22.582217251918
高雄市前鎮區明正里17鄰明道中街5號,64,6400900,6400900-003,17鄰,明道中街,,,,,,5號,120.32611342476,22.582188379266
高雄市前鎮區明正里17鄰明道中街6號,64,6400900,6400900-003,17鄰,明道中街,,,,,,6號,120.32596746973,22.582345444179
高雄市前鎮區明正里17鄰明道中街7號,64,6400900,6400900-003,17鄰,明道中街,,,,,,7號,120.32607876802,22.582155903755
高雄市前鎮區明正里17鄰明道中街8號,64,6400900,6400900-003,17鄰,明道中街,,,,,,8號,120.32593674032,22.582325266956
高雄市前鎮區明正里17鄰明道中街9號,64,6400900,6400900-003,17鄰,明道中街,,,,,,9號,120.32605843427,22.582137756929
高雄市前鎮區明正里17鄰明道中街10號,64,6400900,6400900-003,17鄰,明道中街,,,,,,10號,120.32589512641,22.582303599136
高雄市前鎮區明正里17鄰明道中街11號,64,6400900,6400900-003,17鄰,明道中街,,,,,,11號,120.3260255025,22.582110526487
高雄市前鎮區明正里17鄰明道中街12號,64,6400900,6400900-003,17鄰,明道中街,,,,,,12號,120.32587055163,22.582277668034
高雄市前鎮區明正里17鄰明道中街13號,64,6400900,6400900-003,17鄰,明道中街,,,,,,13號,120.3260041963,22.582092375575
高雄市前鎮區明正里17鄰明道中街14號,64,6400900,6400900-003,17鄰,明道中街,,,,,,14號,120.32583358445,22.582260354463
高雄市前鎮區明正里17鄰明道中街15號,64,6400900,6400900-003,17鄰,明道中街,,,,,,15號,120.32596339703,22.582083173648
高雄市前鎮區明正里17鄰明道中街16號,64,6400900,6400900-003,17鄰,明道中街,,,,,,16號,120.32580286211,22.582238732322
高雄市前鎮區明正里17鄰明道中街17號,64,6400900,6400900-003,17鄰,明道中街,,,,,,17號,120.32594209085,22.582065022728
高雄市前鎮區明正里17鄰明道中街18號,64,6400900,6400900-003,17鄰,明道中街,,,,,,18號,120.32577357781,22.58222136067
高雄市前鎮區明正里17鄰明道中街19號,64,6400900,6400900-003,17鄰,明道中街,,,,,,19號,120.32590095899,22.582064218003
高雄市前鎮區明正里17鄰明道中街20號,64,6400900,6400900-003,17鄰,明道中街,,,,,,20號,120.32574441142,22.582199745047
高雄市前鎮區明正里17鄰明道中街21號,64,6400900,6400900-003,17鄰,明道中街,,,,,,21號,120.32588254544,22.582031178448
高雄市前鎮區明正里17鄰明道中街22號,64,6400900,6400900-003,17鄰,明道中街,,,,,,22號,120.32571671779,22.582175245755
高雄市前鎮區明正里17鄰明道中街23號,64,6400900,6400900-003,17鄰,明道中街,,,,,,23號,120.32585181611,22.582011001209
高雄市前鎮區明正里17鄰明道中街24號,64,6400900,6400900-003,17鄰,明道中街,,,,,,24號,120.32569368493,22.582152210943
高雄市前鎮區明正里17鄰明道中街25號,64,6400900,6400900-003,17鄰,明道中街,,,,,,25號,120.32582409481,22.581992191202
高雄市前鎮區明正里17鄰明道中街26號,64,6400900,6400900-003,17鄰,明道中街,,,,,,26號,120.32566129539,22.582133471623
高雄市前鎮區明正里17鄰明道中街27號,64,6400900,6400900-003,17鄰,明道中街,,,,,,27號,120.32578868364,22.581974884152
高雄市前鎮區明正里17鄰明道中街28號,64,6400900,6400900-003,17鄰,明道中街,,,,,,28號,120.325632122,22.582113300874
高雄市前鎮區明正里17鄰明道中街29號,64,6400900,6400900-003,17鄰,明道中街,,,,,,29號,120.32577442708,22.581946919258
高雄市前鎮區明正里17鄰明道中街30號,64,6400900,6400900-003,17鄰,明道中街,,,,,,30號,120.32559671831,22.582094458582
高雄市前鎮區明正里17鄰明道中街31號,64,6400900,6400900-003,17鄰,明道中街,,,,,,31號,120.32572972574,22.581940229512
高雄市前鎮區明正里17鄰明道中街32號,64,6400900,6400900-003,17鄰,明道中街,,,,,,32號,120.3255643288,22.582075719243
高雄市前鎮區明正里17鄰明道中街33號,64,6400900,6400900-003,17鄰,明道中街,,,,,,33號,120.32569589866,22.581917149399
高雄市前鎮區明正里17鄰明道中街35號,64,6400900,6400900-003,17鄰,明道中街,,,,,,35號,120.32566196731,22.581895513764
高雄市前鎮區明正里17鄰明道中街37號,64,6400900,6400900-003,17鄰,明道中街,,,,,,37號,120.32563125211,22.581872446698
高雄市前鎮區明正里17鄰明道中街51號,64,6400900,6400900-003,17鄰,明道中街,,,,,,51號,120.32557285955,22.581801581004
高雄市前鎮區明正里17鄰明道中街53號,64,6400900,6400900-003,17鄰,明道中街,,,,,,53號,120.32553506568,22.581774330054
