FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區忠孝里3鄰桂林街131巷1號,64,6400900,6400900-038,3鄰,桂林街,,131巷,,,,1號,120.31616787528,22.617042917199
高雄市前鎮區忠孝里3鄰桂林街137巷1號,64,6400900,6400900-038,3鄰,桂林街,,137巷,,,,1號,120.31606875741,22.617298154301
高雄市前鎮區忠孝里3鄰桂林街125巷1號,64,6400900,6400900-038,3鄰,桂林街,,125巷,,,,1號,120.31621599214,22.61677409725
高雄市前鎮區忠孝里3鄰桂林街131巷2號,64,6400900,6400900-038,3鄰,桂林街,,131巷,,,,2號,120.31610866,22.617195554838
高雄市前鎮區忠孝里3鄰桂林街115巷2號,64,6400900,6400900-038,3鄰,桂林街,,115巷,,,,2號,120.31625510426,22.616673932664
高雄市前鎮區忠孝里21鄰桂林街3號,64,6400900,6400900-038,21鄰,桂林街,,,,,,3號,120.31619865828,22.613551050959
高雄市前鎮區忠孝里3鄰桂林街131巷3號,64,6400900,6400900-038,3鄰,桂林街,,131巷,,,,3號,120.31609038013,22.617017030017
高雄市前鎮區忠孝里3鄰桂林街137巷3號,64,6400900,6400900-038,3鄰,桂林街,,137巷,,,,3號,120.31599136075,22.617271996568
高雄市前鎮區忠孝里3鄰桂林街125巷3號,64,6400900,6400900-038,3鄰,桂林街,,125巷,,,,3號,120.31614042959,22.616750837237
高雄市前鎮區忠孝里4鄰桂林街4巷4號,64,6400900,6400900-038,4鄰,桂林街,,4巷,,,,4號,120.31542258293,22.616275108904
高雄市前鎮區忠孝里21鄰桂林街5號,64,6400900,6400900-038,21鄰,桂林街,,,,,,5號,120.3162053331,22.613578171554
高雄市前鎮區忠孝里3鄰桂林街125巷5號,64,6400900,6400900-038,3鄰,桂林街,,125巷,,,,5號,120.31606334601,22.616720436442
高雄市前鎮區忠孝里3鄰桂林街137巷5號,64,6400900,6400900-038,3鄰,桂林街,,137巷,,,,5號,120.3159138673,22.617245748078
高雄市前鎮區忠孝里3鄰桂林街131巷5號,64,6400900,6400900-038,3鄰,桂林街,,131巷,,,,5號,120.31601269047,22.61699114197
