FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市大寮區三隆里30鄰瑞隆街1號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,1號,120.40470702285,22.598468610928
高雄市大寮區三隆里33鄰瑞隆街46巷2號,64,6401400,6401400-005,33鄰,瑞隆街,,46巷,,,,2號,120.40401222092,22.598937172763
高雄市大寮區三隆里31鄰瑞隆街2號,64,6401400,6401400-005,31鄰,瑞隆街,,,,,,2號,120.40481955391,22.598649374057
高雄市大寮區三隆里30鄰瑞隆街3號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,3號,120.40466838086,22.598475511726
高雄市大寮區三隆里30鄰瑞隆街5號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,5號,120.40462964199,22.598482321848
高雄市大寮區三隆里31鄰瑞隆街6號,64,6401400,6401400-005,31鄰,瑞隆街,,,,,,6號,120.40471102972,22.598690333037
高雄市大寮區三隆里33鄰瑞隆街46巷6號,64,6401400,6401400-005,33鄰,瑞隆街,,46巷,,,,6號,120.40405678382,22.598933093662
高雄市大寮區三隆里30鄰瑞隆街7號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,7號,120.40459109763,22.598489132681
高雄市大寮區三隆里31鄰瑞隆街8號,64,6401400,6401400-005,31鄰,瑞隆街,,,,,,8號,120.40467044094,22.598697587852
高雄市大寮區三隆里33鄰瑞隆街46巷8號,64,6401400,6401400-005,33鄰,瑞隆街,,46巷,,,,8號,120.40409667634,22.598929448758
高雄市大寮區三隆里30鄰瑞隆街9號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,9號,120.40455333212,22.598495765776
高雄市大寮區三隆里31鄰瑞隆街10號,64,6401400,6401400-005,31鄰,瑞隆街,,,,,,10號,120.40462946272,22.59870493152
高雄市大寮區三隆里33鄰瑞隆街46巷10號,64,6401400,6401400-005,33鄰,瑞隆街,,46巷,,,,10號,120.40413384484,22.598925974354
高雄市大寮區三隆里33鄰瑞隆街46巷11號,64,6401400,6401400-005,33鄰,瑞隆街,,46巷,,,,11號,120.40418946227,22.599132987069
高雄市大寮區三隆里30鄰瑞隆街11號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,11號,120.40451546896,22.598502488809
高雄市大寮區三隆里31鄰瑞隆街12號,64,6401400,6401400-005,31鄰,瑞隆街,,,,,,12號,120.40459062614,22.598711831577
高雄市大寮區三隆里33鄰瑞隆街46巷12號,64,6401400,6401400-005,33鄰,瑞隆街,,46巷,,,,12號,120.40417188866,22.598922503188
高雄市大寮區三隆里30鄰瑞隆街13號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,13號,120.40447877406,22.59850894524
高雄市大寮區三隆里30鄰瑞隆街15號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,15號,120.4044395481,22.598515934126
高雄市大寮區三隆里31鄰瑞隆街16號,64,6401400,6401400-005,31鄰,瑞隆街,,,,,,16號,120.40455286017,22.598718554978
高雄市大寮區三隆里33鄰瑞隆街46巷16號,64,6401400,6401400-005,33鄰,瑞隆街,,46巷,,,,16號,120.40421392165,22.598918685581
高雄市大寮區三隆里30鄰瑞隆街17號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,17號,120.4044028532,22.598522390539
高雄市大寮區三隆里31鄰瑞隆街18號,64,6401400,6401400-005,31鄰,瑞隆街,,,,,,18號,120.40449767127,22.598728374551
高雄市大寮區三隆里30鄰瑞隆街19號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,19號,120.40436596377,22.598528846223
高雄市大寮區三隆里33鄰瑞隆街20號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,20號,120.40435755683,22.598764791016
高雄市大寮區三隆里30鄰瑞隆街21號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,21號,120.40432810059,22.598535569211
高雄市大寮區三隆里33鄰瑞隆街22號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,22號,120.40431766552,22.598768165064
高雄市大寮區三隆里30鄰瑞隆街23號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,23號,120.40429101626,22.598542114462
高雄市大寮區三隆里30鄰瑞隆街25號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,25號,120.40425587865,22.598548305694
高雄市大寮區三隆里33鄰瑞隆街26號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,26號,120.40427612004,22.598771713583
高雄市大寮區三隆里30鄰瑞隆街27號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,27號,120.40422171401,22.598554410219
高雄市大寮區三隆里33鄰瑞隆街28號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,28號,120.404237688,22.598775002716
高雄市大寮區三隆里30鄰瑞隆街29號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,29號,120.40418326726,22.598561131008
高雄市大寮區三隆里33鄰瑞隆街30號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,30號,120.40419672606,22.598778553379
高雄市大寮區三隆里30鄰瑞隆街31號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,31號,120.40414707301,22.598564247807
高雄市大寮區三隆里33鄰瑞隆街32號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,32號,120.40415663907,22.598782197587
高雄市大寮區三隆里30鄰瑞隆街33號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,33號,120.40411147359,22.598564747861
高雄市大寮區三隆里30鄰瑞隆街35號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,35號,120.40406614751,22.598565392426
高雄市大寮區三隆里33鄰瑞隆街36號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,36號,120.40411684268,22.598786113788
高雄市大寮區三隆里30鄰瑞隆街37號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,37號,120.40402558749,22.598565964359
高雄市大寮區三隆里33鄰瑞隆街38號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,38號,120.40407675374,22.59879020951
高雄市大寮區三隆里30鄰瑞隆街39號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,39號,120.40398522161,22.598566627311
高雄市大寮區三隆里33鄰瑞隆街40號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,40號,120.40403773542,22.598794128579
高雄市大寮區三隆里30鄰瑞隆街41號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,41號,120.40394514789,22.598567201029
高雄市大寮區三隆里33鄰瑞隆街42號,64,6401400,6401400-005,33鄰,瑞隆街,,,,,,42號,120.40399725705,22.598798313145
高雄市大寮區三隆里30鄰瑞隆街43號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,43號,120.40390633892,22.598567689124
高雄市大寮區三隆里30鄰瑞隆街45號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,45號,120.40386665424,22.598568264266
高雄市大寮區三隆里30鄰瑞隆街47號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,47號,120.40382794214,22.59856884301
高雄市大寮區三隆里2鄰瑞隆街48號,64,6401400,6401400-005,2鄰,瑞隆街,,,,,,48號,120.40387387989,22.598832714213
高雄市大寮區三隆里30鄰瑞隆街49號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,49號,120.40378796568,22.598569417049
高雄市大寮區三隆里2鄰瑞隆街50號,64,6401400,6401400-005,2鄰,瑞隆街,,,,,,50號,120.40383400217,22.598832927395
高雄市大寮區三隆里30鄰瑞隆街51號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,51號,120.40374973988,22.598569997579
高雄市大寮區三隆里2鄰瑞隆街52號,64,6401400,6401400-005,2鄰,瑞隆街,,,,,,52號,120.40379217927,22.598833133345
高雄市大寮區三隆里30鄰瑞隆街53號,64,6401400,6401400-005,30鄰,瑞隆街,,,,,,53號,120.4037095689,22.598570570877
高雄市大寮區三隆里2鄰瑞隆街56號,64,6401400,6401400-005,2鄰,瑞隆街,,,,,,56號,120.40375570561,22.598833359148
高雄市大寮區三隆里2鄰瑞隆街58號,64,6401400,6401400-005,2鄰,瑞隆街,,,,,,58號,120.40371650909,22.598833484522
高雄市大寮區三隆里2鄰瑞隆街60號,64,6401400,6401400-005,2鄰,瑞隆街,,,,,,60號,120.40367731218,22.598833700194
