FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鳳山區鳳東里28鄰環河東街31巷1號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,1號,120.38707931507,22.626743951734
高雄市鳳山區鳳東里28鄰環河東街1號,64,6401200,6401200-035,28鄰,環河東街,,,,,,1號,120.38685453685,22.626077884503
高雄市鳳山區鳳東里28鄰環河東街41巷1號,64,6401200,6401200-035,28鄰,環河東街,,41巷,,,,1號,120.3867282654,22.62726269341
高雄市鳳山區鳳東里28鄰環河東街47巷1號,64,6401200,6401200-035,28鄰,環河東街,,47巷,,,,1號,120.38663875236,22.627441522088
高雄市鳳山區鳳東里28鄰環河東街87巷1號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,1號,120.38596845146,22.628786261337
高雄市鳳山區鳳東里28鄰環河東街87巷2號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,2號,120.38591707573,22.62887637256
高雄市鳳山區鳳東里28鄰環河東街47巷2號,64,6401200,6401200-035,28鄰,環河東街,,47巷,,,,2號,120.38658416288,22.627554559479
高雄市鳳山區鳳東里28鄰環河東街41巷2號,64,6401200,6401200-035,28鄰,環河東街,,41巷,,,,2號,120.38669107702,22.62735656178
高雄市鳳山區鳳東里28鄰環河東街31巷2號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,2號,120.38703262302,22.626831191405
高雄市鳳山區鳳東里28鄰環河東街31巷3號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,3號,120.38700844168,22.626712163458
高雄市鳳山區鳳東里28鄰環河東街3號,64,6401200,6401200-035,28鄰,環河東街,,,,,,3號,120.38693775775,22.626111164958
高雄市鳳山區鳳東里28鄰環河東街41巷3號,64,6401200,6401200-035,28鄰,環河東街,,41巷,,,,3號,120.38666583664,22.627235091429
高雄市鳳山區鳳東里28鄰環河東街47巷3號,64,6401200,6401200-035,28鄰,環河東街,,47巷,,,,3號,120.38656007118,22.627415393157
高雄市鳳山區鳳東里28鄰環河東街87巷3號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,3號,120.3858959763,22.628764490608
高雄市鳳山區鳳東里28鄰環河東街87巷5號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,5號,120.38583434374,22.628732737184
高雄市鳳山區鳳東里28鄰環河東街5號,64,6401200,6401200-035,28鄰,環河東街,,,,,,5號,120.387007106,22.626135813107
高雄市鳳山區鳳東里28鄰環河東街47巷5號,64,6401200,6401200-035,28鄰,環河東街,,47巷,,,,5號,120.38649998269,22.62738653575
高雄市鳳山區鳳東里28鄰環河東街41巷5號,64,6401200,6401200-035,28鄰,環河東街,,41巷,,,,5號,120.38660123301,22.627193393073
高雄市鳳山區鳳東里28鄰環河東街31巷5號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,5號,120.38693754951,22.626684619552
高雄市鳳山區鳳東里28鄰環河東街31巷6號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,6號,120.38696328683,22.626803743763
高雄市鳳山區鳳東里28鄰環河東街41巷6號,64,6401200,6401200-035,28鄰,環河東街,,41巷,,,,6號,120.38661925346,22.627319622146
高雄市鳳山區鳳東里28鄰環河東街47巷6號,64,6401200,6401200-035,28鄰,環河東街,,47巷,,,,6號,120.38651646585,22.627508424171
高雄市鳳山區鳳東里28鄰環河東街87巷6號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,6號,120.38586310896,22.628848983272
高雄市鳳山區鳳東里28鄰環河東街87巷7號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,7號,120.38577426769,22.628700989698
高雄市鳳山區鳳東里28鄰環河東街7號,64,6401200,6401200-035,28鄰,環河東街,,,,,,7號,120.38707957358,22.626159028217
高雄市鳳山區鳳東里28鄰環河東街47巷7號,64,6401200,6401200-035,28鄰,環河東街,,47巷,,,,7號,120.38642449065,22.627343260445
高雄市鳳山區鳳東里28鄰環河東街41巷7號,64,6401200,6401200-035,28鄰,環河東街,,41巷,,,,7號,120.38653495725,22.62715584246
高雄市鳳山區鳳東里28鄰環河東街31巷7號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,7號,120.38687124826,22.626652848689
高雄市鳳山區鳳東里28鄰環河東街31巷8號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,8號,120.38690313969,22.626766216723
高雄市鳳山區鳳東里28鄰環河東街41巷8號,64,6401200,6401200-035,28鄰,環河東街,,41巷,,,,8號,120.38654830185,22.627283498586
高雄市鳳山區鳳東里28鄰環河東街47巷8號,64,6401200,6401200-035,28鄰,環河東街,,47巷,,,,8號,120.38644406741,22.627469495485
高雄市鳳山區鳳東里28鄰環河東街87巷8號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,8號,120.38578609374,22.628819970479
高雄市鳳山區鳳東里28鄰環河東街9號,64,6401200,6401200-035,28鄰,環河東街,,,,,,9號,120.38715204118,22.626182243295
高雄市鳳山區鳳東里28鄰環河東街87巷9號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,9號,120.38571106627,22.628672029765
高雄市鳳山區鳳東里28鄰環河東街31巷9號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,9號,120.38680647826,22.626626773052
高雄市鳳山區鳳東里28鄰環河東街41巷10號,64,6401200,6401200-035,28鄰,環河東街,,41巷,,,,10號,120.38647742832,22.627251710073
高雄市鳳山區鳳東里28鄰環河東街31巷10號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,10號,120.38684004258,22.626735812712
高雄市鳳山區鳳東里28鄰環河東街47巷10號,64,6401200,6401200-035,28鄰,環河東街,,47巷,,,,10號,120.38636847994,22.627447713073
高雄市鳳山區鳳東里28鄰環河東街87巷10號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,10號,120.38571823528,22.628788193171
高雄市鳳山區鳳東里28鄰環河東街87巷11號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,11號,120.38564021792,22.62863446127
高雄市鳳山區鳳東里28鄰環河東街31巷11號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,11號,120.38673873072,22.626592106753
高雄市鳳山區鳳東里28鄰環河東街11號,64,6401200,6401200-035,28鄰,環河東街,,,,,,11號,120.38721993674,22.626205440877
高雄市鳳山區鳳東里28鄰環河東街31巷12號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,12號,120.38676905916,22.626706913764
高雄市鳳山區鳳東里28鄰環河東街87巷12號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,12號,120.38565347737,22.628759227255
高雄市鳳山區鳳東里28鄰環河東街87巷13號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,13號,120.38557390964,22.628604134766
高雄市鳳山區鳳東里28鄰環河東街13號,64,6401200,6401200-035,28鄰,環河東街,,,,,,13號,120.38728628228,22.626227187583
高雄市鳳山區鳳東里28鄰環河東街15號,64,6401200,6401200-035,28鄰,環河東街,,,,,,15號,120.38736474521,22.626280498009
高雄市鳳山區鳳東里28鄰環河東街87巷15號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,15號,120.38549679734,22.628575121464
高雄市鳳山區鳳東里28鄰環河東街87巷16號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,16號,120.38559497066,22.62872459586
高雄市鳳山區鳳東里28鄰環河東街31巷16號,64,6401200,6401200-035,28鄰,環河東街,,31巷,,,,16號,120.38669507938,22.626673668549
高雄市鳳山區鳳東里28鄰環河東街17號,64,6401200,6401200-035,28鄰,環河東街,,,,,,17號,120.38736411612,22.62642245969
高雄市鳳山區鳳東里28鄰環河東街87巷18號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,18號,120.38552406452,22.628700031429
高雄市鳳山區鳳東里28鄰環河東街19號,64,6401200,6401200-035,28鄰,環河東街,,,,,,19號,120.38733430516,22.626542003859
高雄市鳳山區鳳東里28鄰環河東街87巷20號,64,6401200,6401200-035,28鄰,環河東街,,87巷,,,,20號,120.38542832251,22.628703909108
高雄市鳳山區鳳東里28鄰環河東街29號,64,6401200,6401200-035,28鄰,環河東街,,,,,,29號,120.38723045149,22.626796094954
高雄市鳳山區鳳東里28鄰環河東街33號,64,6401200,6401200-035,28鄰,環河東街,,,,,,33號,120.38717584355,22.626913467279
高雄市鳳山區鳳東里28鄰環河東街39號,64,6401200,6401200-035,28鄰,環河東街,,,,,,39號,120.38687174887,22.627307673389
高雄市鳳山區鳳東里28鄰環河東街43號,64,6401200,6401200-035,28鄰,環河東街,,,,,,43號,120.38679634199,22.627420631289
高雄市鳳山區鳳東里28鄰環河東街45號,64,6401200,6401200-035,28鄰,環河東街,,,,,,45號,120.38676979071,22.627485009647
高雄市鳳山區鳳東里28鄰環河東街49號,64,6401200,6401200-035,28鄰,環河東街,,,,,,49號,120.38669361143,22.627596609922
高雄市鳳山區鳳東里28鄰環河東街85號,64,6401200,6401200-035,28鄰,環河東街,,,,,,85號,120.38609648761,22.628826938421
高雄市鳳山區鳳東里28鄰環河東街89號,64,6401200,6401200-035,28鄰,環河東街,,,,,,89號,120.38604646467,22.628962931275
