FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鼓山區龍水里15鄰美術南三路70巷1號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,1號,120.28921339601,22.6534026015
高雄市鼓山區龍水里15鄰美術南三路70巷2號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,2號,120.28939486998,22.653399793978
高雄市鼓山區龍水里15鄰美術南三路70巷3號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,3號,120.28921433495,22.653465910433
高雄市鼓山區龍水里15鄰美術南三路70巷5號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,5號,120.28921399045,22.653532825928
高雄市鼓山區龍水里15鄰美術南三路70巷6號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,6號,120.28939455021,22.653461923348
高雄市鼓山區龍水里15鄰美術南三路70巷7號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,7號,120.28921627292,22.653599753073
高雄市鼓山區龍水里15鄰美術南三路70巷8號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,8號,120.28939808552,22.653531204013
高雄市鼓山區龍水里15鄰美術南三路70巷9號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,9號,120.28921718118,22.653669022088
高雄市鼓山區龍水里15鄰美術南三路70巷10號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,10號,120.28940163292,22.653598136766
高雄市鼓山區龍水里15鄰美術南三路70巷11號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,11號,120.28921559043,22.6537323198
高雄市鼓山區龍水里15鄰美術南三路70巷12號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,12號,120.2894064698,22.653660288998
高雄市鼓山區龍水里15鄰美術南三路70巷16號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,16號,120.2894073656,22.653731996231
高雄市鼓山區龍水里15鄰美術南三路70巷18號,64,6400200,6400200-016,15鄰,美術南三路,,70巷,,,,18號,120.28944444023,22.653731167239
高雄市鼓山區龍水里10鄰美術南三路55號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,55號,120.28965670382,22.652906798168
高雄市鼓山區龍水里10鄰美術南三路57號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,57號,120.28957787275,22.652910783464
高雄市鼓山區龍水里10鄰美術南三路59號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,59號,120.28950839686,22.652911920389
高雄市鼓山區龍水里15鄰美術南三路60號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,60號,120.28949229666,22.653223406034
高雄市鼓山區龍水里10鄰美術南三路61號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,61號,120.28942956579,22.652915905612
高雄市鼓山區龍水里15鄰美術南三路62號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,62號,120.28944343599,22.653226801671
高雄市鼓山區龍水里10鄰美術南三路63號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,63號,120.28934303402,22.652922656148
高雄市鼓山區龍水里10鄰美術南三路65號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,65號,120.28926110438,22.652923737744
高雄市鼓山區龍水里15鄰美術南三路66號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,66號,120.28939574332,22.653230112166
高雄市鼓山區龍水里10鄰美術南三路67號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,67號,120.28906625854,22.652878171901
高雄市鼓山區龍水里15鄰美術南三路68號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,68號,120.28934941231,22.653233518991
高雄市鼓山區龍水里10鄰美術南三路69號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,69號,120.28906510032,22.652800774197
高雄市鼓山區龍水里10鄰美術南三路71號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,71號,120.28906388305,22.65273484514
高雄市鼓山區龍水里15鄰美術南三路72號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,72號,120.28923991221,22.65324143191
高雄市鼓山區龍水里10鄰美術南三路73號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,73號,120.28900859381,22.652682944628
高雄市鼓山區龍水里10鄰美術南三路75號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,75號,120.2888942429,22.652688216916
高雄市鼓山區龍水里15鄰美術南三路76號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,76號,120.28919229823,22.653248354948
高雄市鼓山區龍水里10鄰美術南三路77號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,77號,120.28885068819,22.652738234009
高雄市鼓山區龍水里15鄰美術南三路78號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,78號,120.28914461159,22.653250491411
高雄市鼓山區龍水里10鄰美術南三路79號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,79號,120.28885030446,22.652812735067
高雄市鼓山區龍水里15鄰美術南三路80號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,80號,120.2890931179,22.653255049246
高雄市鼓山區龍水里10鄰美術南三路81號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,81號,120.28885147,22.652888687901
高雄市鼓山區龍水里15鄰美術南三路82號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,82號,120.28893703197,22.653334729487
高雄市鼓山區龍水里10鄰美術南三路83號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,83號,120.2886360531,22.652945618299
高雄市鼓山區龍水里10鄰美術南三路85號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,85號,120.28862915732,22.652792157165
高雄市鼓山區龍水里15鄰美術南三路86號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,86號,120.28895706798,22.653657302427
高雄市鼓山區龍水里10鄰美術南三路87號,64,6400200,6400200-016,10鄰,美術南三路,,,,,,87號,120.2884134967,22.652971902845
高雄市鼓山區龍水里15鄰美術南三路100號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,100號,120.28854510184,22.653300208918
高雄市鼓山區龍水里15鄰美術南三路102號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,102號,120.28863929785,22.653297827543
高雄市鼓山區龍水里15鄰美術南三路106號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,106號,120.28872896565,22.653286756605
高雄市鼓山區龍水里15鄰美術南三路108號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,108號,120.28873000551,22.653387091595
高雄市鼓山區龍水里15鄰美術南三路110號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,110號,120.2887328012,22.653448783252
高雄市鼓山區龍水里15鄰美術南三路112號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,112號,120.28873404809,22.653508932826
高雄市鼓山區龍水里15鄰美術南三路116號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,116號,120.28869654269,22.653593383437
高雄市鼓山區龍水里15鄰美術南三路118號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,118號,120.28869750709,22.65368947369
高雄市鼓山區龍水里15鄰美術南三路120號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,120號,120.28874024988,22.653797127961
高雄市鼓山區龍水里15鄰美術南三路122號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,122號,120.2887600564,22.653843091494
高雄市鼓山區龍水里15鄰美術南三路126號,64,6400200,6400200-016,15鄰,美術南三路,,,,,,126號,120.28866584467,22.653848452972
高雄市鼓山區龍水里8鄰美術南三路128號,64,6400200,6400200-016,8鄰,美術南三路,,,,,,128號,120.28777643871,22.653284242282
高雄市鼓山區龍水里8鄰美術南三路130號,64,6400200,6400200-016,8鄰,美術南三路,,,,,,130號,120.28765749205,22.653293827957
高雄市鼓山區龍水里8鄰美術南三路132號,64,6400200,6400200-016,8鄰,美術南三路,,,,,,132號,120.28754156944,22.653301891779
高雄市鼓山區龍水里8鄰美術南三路196號,64,6400200,6400200-016,8鄰,美術南三路,,,,,,196號,120.28613920116,22.653494596391
高雄市鼓山區龍水里8鄰美術南三路198號,64,6400200,6400200-016,8鄰,美術南三路,,,,,,198號,120.2860291338,22.653555695009
高雄市鼓山區龍水里8鄰美術南三路200號,64,6400200,6400200-016,8鄰,美術南三路,,,,,,200號,120.28603933411,22.653690477491
高雄市鼓山區龍水里28鄰美術南三路201號,64,6400200,6400200-016,28鄰,美術南三路,,,,,,201號,120.28759484362,22.652952281776
高雄市鼓山區龍水里8鄰美術南三路202號,64,6400200,6400200-016,8鄰,美術南三路,,,,,,202號,120.28604043022,22.653760740697
高雄市鼓山區龍水里28鄰美術南三路203號,64,6400200,6400200-016,28鄰,美術南三路,,,,,,203號,120.28749751904,22.652957628743
高雄市鼓山區龍水里11鄰美術南三路205號,64,6400200,6400200-016,11鄰,美術南三路,,,,,,205號,120.28739552477,22.652962864582
