FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鳳山區福興里27鄰臨海街20巷1號,64,6401200,6401200-029,27鄰,臨海街,,20巷,,,,1號,120.32282168612,22.585868932219
高雄市鳳山區福興里27鄰臨海街30巷1號,64,6401200,6401200-029,27鄰,臨海街,,30巷,,,,1號,120.32293455067,22.585738461961
高雄市鳳山區福興里27鄰臨海街30巷1之1號,64,6401200,6401200-029,27鄰,臨海街,,30巷,,,,1之1號,120.32293455067,22.585738461961
高雄市鳳山區福興里27鄰臨海街20巷1之1號,64,6401200,6401200-029,27鄰,臨海街,,20巷,,,,1之1號,120.32282168612,22.585868932219
高雄市鳳山區福興里27鄰臨海街20巷1之2號,64,6401200,6401200-029,27鄰,臨海街,,20巷,,,,1之2號,120.32282168612,22.585868932219
高雄市鳳山區福興里27鄰臨海街30巷1之2號,64,6401200,6401200-029,27鄰,臨海街,,30巷,,,,1之2號,120.32293455067,22.585738461961
高雄市鳳山區福興里27鄰臨海街30巷1之3號,64,6401200,6401200-029,27鄰,臨海街,,30巷,,,,1之3號,120.32293455067,22.585738461961
高雄市鳳山區福興里27鄰臨海街20巷1之3號,64,6401200,6401200-029,27鄰,臨海街,,20巷,,,,1之3號,120.32282168612,22.585868932219
高雄市鳳山區福興里27鄰臨海街20巷1之4號,64,6401200,6401200-029,27鄰,臨海街,,20巷,,,,1之4號,120.32282168612,22.585868932219
高雄市鳳山區福興里27鄰臨海街30巷1之4號,64,6401200,6401200-029,27鄰,臨海街,,30巷,,,,1之4號,120.32293455067,22.585738461961
高雄市鳳山區福興里27鄰臨海街30巷2號,64,6401200,6401200-029,27鄰,臨海街,,30巷,,,,2號,120.32297024885,22.585697161234
高雄市鳳山區福興里27鄰臨海街2號,64,6401200,6401200-029,27鄰,臨海街,,,,,,2號,120.32304806838,22.585613593439
高雄市鳳山區福興里27鄰臨海街38巷2號,64,6401200,6401200-029,27鄰,臨海街,,38巷,,,,2號,120.32300594657,22.585655950805
高雄市鳳山區福興里27鄰臨海街20巷2號,64,6401200,6401200-029,27鄰,臨海街,,20巷,,,,2號,120.32285767744,22.585827361833
高雄市鳳山區福興里27鄰臨海街20巷2之1號,64,6401200,6401200-029,27鄰,臨海街,,20巷,,,,2之1號,120.32285767744,22.585827361833
高雄市鳳山區福興里27鄰臨海街38巷2之1號,64,6401200,6401200-029,27鄰,臨海街,,38巷,,,,2之1號,120.32300594657,22.585655950805
高雄市鳳山區福興里27鄰臨海街30巷2之1號,64,6401200,6401200-029,27鄰,臨海街,,30巷,,,,2之1號,120.32297024885,22.585697161234
高雄市鳳山區福興里27鄰臨海街2之1號,64,6401200,6401200-029,27鄰,臨海街,,,,,,2之1號,120.32276902191,22.586118230041
高雄市鳳山區福興里27鄰臨海街2之2號,64,6401200,6401200-029,27鄰,臨海街,,,,,,2之2號,120.32304806838,22.585613593439
高雄市鳳山區福興里27鄰臨海街30巷2之2號,64,6401200,6401200-029,27鄰,臨海街,,30巷,,,,2之2號,120.32297024885,22.585697161234
高雄市鳳山區福興里27鄰臨海街38巷2之2號,64,6401200,6401200-029,27鄰,臨海街,,38巷,,,,2之2號,120.32300594657,22.585655950805
高雄市鳳山區福興里27鄰臨海街20巷2之2號,64,6401200,6401200-029,27鄰,臨海街,,20巷,,,,2之2號,120.32285767744,22.585827361833
高雄市鳳山區福興里27鄰臨海街20巷2之3號,64,6401200,6401200-029,27鄰,臨海街,,20巷,,,,2之3號,120.32285767744,22.585827361833
高雄市鳳山區福興里27鄰臨海街38巷2之3號,64,6401200,6401200-029,27鄰,臨海街,,38巷,,,,2之3號,120.32300594657,22.585655950805
高雄市鳳山區福興里27鄰臨海街30巷2之3號,64,6401200,6401200-029,27鄰,臨海街,,30巷,,,,2之3號,120.32297024885,22.585697161234
高雄市鳳山區福興里27鄰臨海街2之3號,64,6401200,6401200-029,27鄰,臨海街,,,,,,2之3號,120.32304806838,22.585613593439
