FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市新興區開平里11鄰興邦路3號,64,6400600,6400600-017,11鄰,興邦路,,,,,,3號,120.31284530901,22.63576191683
高雄市新興區開平里11鄰興邦路7號,64,6400600,6400600-017,11鄰,興邦路,,,,,,7號,120.31224864074,22.635804602793
高雄市新興區開平里11鄰興邦路9號,64,6400600,6400600-017,11鄰,興邦路,,,,,,9號,120.31190894254,22.635839268339
高雄市新興區開平里9鄰興邦路10號,64,6400600,6400600-017,9鄰,興邦路,,,,,,10號,120.31188263378,22.636140690114
高雄市新興區開平里11鄰興邦路11號,64,6400600,6400600-017,11鄰,興邦路,,,,,,11號,120.31183403447,22.635838946909
高雄市新興區開平里10鄰興邦路12號,64,6400600,6400600-017,10鄰,興邦路,,,,,,12號,120.31183009354,22.636141909566
高雄市新興區開平里11鄰興邦路13號,64,6400600,6400600-017,11鄰,興邦路,,,,,,13號,120.31169385669,22.635856406686
高雄市新興區開平里9鄰興邦路14號,64,6400600,6400600-017,9鄰,興邦路,,,,,,14號,120.31177997234,22.636145758282
高雄市新興區開平里11鄰興邦路15號,64,6400600,6400600-017,11鄰,興邦路,,,,,,15號,120.3115790175,22.63586494443
高雄市新興區開平里9鄰興邦路16號,64,6400600,6400600-017,9鄰,興邦路,,,,,,16號,120.31171474747,22.636154509036
高雄市新興區開平里9鄰興邦路18號,64,6400600,6400600-017,9鄰,興邦路,,,,,,18號,120.31163882141,22.636163213828
高雄市新興區開平里9鄰興邦路20號,64,6400600,6400600-017,9鄰,興邦路,,,,,,20號,120.31157947851,22.636162959088
高雄市新興區開平里10鄰興邦路22號,64,6400600,6400600-017,10鄰,興邦路,,,,,,22號,120.31149196842,22.636153552707
高雄市新興區開平里10鄰興邦路26號,64,6400600,6400600-017,10鄰,興邦路,,,,,,26號,120.31145592127,22.636144367251
高雄市新興區開平里10鄰興邦路28號,64,6400600,6400600-017,10鄰,興邦路,,,,,,28號,120.31140534118,22.636162211444
高雄市新興區開平里10鄰興邦路30號,64,6400600,6400600-017,10鄰,興邦路,,,,,,30號,120.31131891472,22.636150100416
高雄市新興區開平里10鄰興邦路34號,64,6400600,6400600-017,10鄰,興邦路,,,,,,34號,120.31125348901,22.636179620698
高雄市新興區開平里10鄰興邦路36號,64,6400600,6400600-017,10鄰,興邦路,,,,,,36號,120.31121749414,22.636179466099
高雄市新興區開平里10鄰興邦路38號,64,6400600,6400600-017,10鄰,興邦路,,,,,,38號,120.31117177093,22.636179269706
高雄市新興區開平里10鄰興邦路40號,64,6400600,6400600-017,10鄰,興邦路,,,,,,40號,120.31112016569,22.636188078718
高雄市新興區開平里10鄰興邦路42號,64,6400600,6400600-017,10鄰,興邦路,,,,,,42號,120.3110695783,22.636187861399
高雄市新興區開平里10鄰興邦路44號,64,6400600,6400600-017,10鄰,興邦路,,,,,,44號,120.31103066492,22.636187694221
高雄市新興區開平里10鄰興邦路46號,64,6400600,6400600-017,10鄰,興邦路,,,,,,46號,120.31098786021,22.636187510313
高雄市新興區開平里8鄰興邦路62號,64,6400600,6400600-017,8鄰,興邦路,,,,,,62號,120.31058659922,22.636276634465
高雄市新興區開平里8鄰興邦路66號,64,6400600,6400600-017,8鄰,興邦路,,,,,,66號,120.31040347648,22.636302397315
高雄市新興區開平里8鄰興邦路82號,64,6400600,6400600-017,8鄰,興邦路,,,,,,82號,120.31016560978,22.636205648996
高雄市新興區開平里8鄰興邦路86號,64,6400600,6400600-017,8鄰,興邦路,,,,,,86號,120.31010994923,22.636208299371
高雄市新興區開平里8鄰興邦路88號,64,6400600,6400600-017,8鄰,興邦路,,,,,,88號,120.31005282221,22.636212388326
高雄市新興區開平里8鄰興邦路96號,64,6400600,6400600-017,8鄰,興邦路,,,,,,96號,120.3098012387,22.636271450075
高雄市新興區開平里7鄰興邦路98號,64,6400600,6400600-017,7鄰,興邦路,,,,,,98號,120.30975570372,22.636272518383
高雄市新興區開平里7鄰興邦路100號,64,6400600,6400600-017,7鄰,興邦路,,,,,,100號,120.30971966372,22.636281393938
高雄市新興區開平里7鄰興邦路102號,64,6400600,6400600-017,7鄰,興邦路,,,,,,102號,120.30968075033,22.636281226431
高雄市新興區開平里7鄰興邦路104號,64,6400600,6400600-017,7鄰,興邦路,,,,,,104號,120.30962817214,22.636290030772
高雄市新興區開平里7鄰興邦路106號,64,6400600,6400600-017,7鄰,興邦路,,,,,,106號,120.30958439457,22.636289842301
高雄市新興區開平里7鄰興邦路106之1號,64,6400600,6400600-017,7鄰,興邦路,,,,,,106之1號,120.30952499949,22.63628055589
