FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鳳山區鎮西里36鄰華西街1號,64,6401200,6401200-012,36鄰,華西街,,,,,,1號,120.35355475897,22.629371162535
高雄市鳳山區鎮西里36鄰華西街2號,64,6401200,6401200-012,36鄰,華西街,,,,,,2號,120.35368718523,22.629386325992
高雄市鳳山區鎮西里36鄰華西街3號,64,6401200,6401200-012,36鄰,華西街,,,,,,3號,120.35355558029,22.629424356957
高雄市鳳山區鎮西里36鄰華西街4號,64,6401200,6401200-012,36鄰,華西街,,,,,,4號,120.35369022318,22.62942318369
高雄市鳳山區鎮西里36鄰華西街5號,64,6401200,6401200-012,36鄰,華西街,,,,,,5號,120.35355773312,22.629484058886
高雄市鳳山區鎮西里36鄰華西街6號,64,6401200,6401200-012,36鄰,華西街,,,,,,6號,120.35368860353,22.629457494012
高雄市鳳山區鎮西里36鄰華西街7號,64,6401200,6401200-012,36鄰,華西街,,,,,,7號,120.35355281875,22.629536417424
高雄市鳳山區鎮西里36鄰華西街8號,64,6401200,6401200-012,36鄰,華西街,,,,,,8號,120.35369086874,22.629493174599
高雄市鳳山區鎮西里36鄰華西街9號,64,6401200,6401200-012,36鄰,華西街,,,,,,9號,120.35339929519,22.629414515664
高雄市鳳山區鎮西里36鄰華西街10號,64,6401200,6401200-012,36鄰,華西街,,,,,,10號,120.3536928383,22.629529666762
高雄市鳳山區鎮西里36鄰華西街11號,64,6401200,6401200-012,36鄰,華西街,,,,,,11號,120.35330244557,22.629613343539
高雄市鳳山區鎮西里36鄰華西街12號,64,6401200,6401200-012,36鄰,華西街,,,,,,12號,120.35369538944,22.629566612805
高雄市鳳山區鎮西里36鄰華西街13號,64,6401200,6401200-012,36鄰,華西街,,,,,,13號,120.35340480573,22.629609060209
高雄市鳳山區鎮西里37鄰華西街14號,64,6401200,6401200-012,37鄰,華西街,,,,,,14號,120.35370799798,22.629970067166
高雄市鳳山區鎮西里36鄰華西街15號,64,6401200,6401200-012,36鄰,華西街,,,,,,15號,120.35355328475,22.62964478829
高雄市鳳山區鎮西里37鄰華西街16號,64,6401200,6401200-012,37鄰,華西街,,,,,,16號,120.35371056432,22.630003762199
高雄市鳳山區鎮西里36鄰華西街17號,64,6401200,6401200-012,36鄰,華西街,,,,,,17號,120.35351960838,22.629669216201
高雄市鳳山區鎮西里37鄰華西街18號,64,6401200,6401200-012,37鄰,華西街,,,,,,18號,120.35370961001,22.630041416576
高雄市鳳山區鎮西里20鄰華西街19號,64,6401200,6401200-012,20鄰,華西街,,,,,,19號,120.3535563072,22.629892965448
高雄市鳳山區鎮西里37鄰華西街20號,64,6401200,6401200-012,37鄰,華西街,,,,,,20號,120.35371109952,22.63007655219
高雄市鳳山區鎮西里20鄰華西街21號,64,6401200,6401200-012,20鄰,華西街,,,,,,21號,120.35355144659,22.629954625872
高雄市鳳山區鎮西里20鄰華西街21之1號,64,6401200,6401200-012,20鄰,華西街,,,,,,21之1號,120.35352178677,22.630014651118
高雄市鳳山區鎮西里37鄰華西街22號,64,6401200,6401200-012,37鄰,華西街,,,,,,22號,120.35371317271,22.630111690156
高雄市鳳山區鎮西里20鄰華西街23號,64,6401200,6401200-012,20鄰,華西街,,,,,,23號,120.35353387313,22.630072045084
高雄市鳳山區鎮西里20鄰華西街23之1號,64,6401200,6401200-012,20鄰,華西街,,,,,,23之1號,120.35352746278,22.630132254339
高雄市鳳山區鎮西里20鄰華西街23之2號,64,6401200,6401200-012,20鄰,華西街,,,,,,23之2號,120.3535287443,22.630191049676
高雄市鳳山區鎮西里37鄰華西街24號,64,6401200,6401200-012,37鄰,華西街,,,,,,24號,120.35371446301,22.630147818349
高雄市鳳山區鎮西里20鄰華西街25號,64,6401200,6401200-012,20鄰,華西街,,,,,,25號,120.35351758749,22.63024690504
高雄市鳳山區鎮西里38鄰華西街26號,64,6401200,6401200-012,38鄰,華西街,,,,,,26號,120.35373763861,22.63057994273
高雄市鳳山區鎮西里20鄰華西街27號,64,6401200,6401200-012,20鄰,華西街,,,,,,27號,120.35353753652,22.630287172273
高雄市鳳山區鎮西里38鄰華西街28號,64,6401200,6401200-012,38鄰,華西街,,,,,,28號,120.35373766427,22.630616065826
高雄市鳳山區鎮西里22鄰華西街29號,64,6401200,6401200-012,22鄰,華西街,,,,,,29號,120.35358378698,22.630423903586
高雄市鳳山區鎮西里38鄰華西街30號,64,6401200,6401200-012,38鄰,華西街,,,,,,30號,120.35373450882,22.630645944888
高雄市鳳山區鎮西里22鄰華西街31號,64,6401200,6401200-012,22鄰,華西街,,,,,,31號,120.35359134599,22.630471706707
高雄市鳳山區鎮西里38鄰華西街32號,64,6401200,6401200-012,38鄰,華西街,,,,,,32號,120.35373804123,22.63068108873
高雄市鳳山區鎮西里22鄰華西街33號,64,6401200,6401200-012,22鄰,華西街,,,,,,33號,120.35359217943,22.630501511535
高雄市鳳山區鎮西里38鄰華西街34號,64,6401200,6401200-012,38鄰,華西街,,,,,,34號,120.35374074177,22.630727698271
高雄市鳳山區鎮西里38鄰華西街34之1號,64,6401200,6401200-012,38鄰,華西街,,,,,,34之1號,120.35391183044,22.630713486793
高雄市鳳山區鎮西里38鄰華西街34之2號,64,6401200,6401200-012,38鄰,華西街,,,,,,34之2號,120.35394802763,22.630711736138
高雄市鳳山區鎮西里38鄰華西街34之3號,64,6401200,6401200-012,38鄰,華西街,,,,,,34之3號,120.35398734243,22.630709004649
高雄市鳳山區鎮西里38鄰華西街34之4號,64,6401200,6401200-012,38鄰,華西街,,,,,,34之4號,120.35402263792,22.63071284941
高雄市鳳山區鎮西里38鄰華西街34之5號,64,6401200,6401200-012,38鄰,華西街,,,,,,34之5號,120.35406123884,22.630717159012
高雄市鳳山區鎮西里38鄰華西街34之6號,64,6401200,6401200-012,38鄰,華西街,,,,,,34之6號,120.35411149907,22.63072458601
高雄市鳳山區鎮西里38鄰華西街34之7號,64,6401200,6401200-012,38鄰,華西街,,,,,,34之7號,120.35396276331,22.630868388664
高雄市鳳山區鎮西里38鄰華西街34號附7,64,6401200,6401200-012,38鄰,華西街,,,,,,34號附7,120.35391721514,22.630851859544
高雄市鳳山區鎮西里22鄰華西街35號,64,6401200,6401200-012,22鄰,華西街,,,,,,35號,120.3535937683,22.63053619601
高雄市鳳山區鎮西里22鄰華西街37號,64,6401200,6401200-012,22鄰,華西街,,,,,,37號,120.35359380998,22.630568887486
高雄市鳳山區鎮西里38鄰華西街38號,64,6401200,6401200-012,38鄰,華西街,,,,,,38號,120.35418698617,22.630725431814
高雄市鳳山區鎮西里22鄰華西街39號,64,6401200,6401200-012,22鄰,華西街,,,,,,39號,120.3535934486,22.630604557484
高雄市鳳山區鎮西里38鄰華西街40號,64,6401200,6401200-012,38鄰,華西街,,,,,,40號,120.35424187808,22.630720144065
高雄市鳳山區鎮西里22鄰華西街41號,64,6401200,6401200-012,22鄰,華西街,,,,,,41號,120.35359514404,22.630637255624
高雄市鳳山區鎮西里38鄰華西街42號,64,6401200,6401200-012,38鄰,華西街,,,,,,42號,120.35428876726,22.630720332836
高雄市鳳山區鎮西里22鄰華西街43號,64,6401200,6401200-012,22鄰,華西街,,,,,,43號,120.35359497807,22.630672745794
高雄市鳳山區鎮西里22鄰華西街45號,64,6401200,6401200-012,22鄰,華西街,,,,,,45號,120.35359454052,22.630703900111
高雄市鳳山區鎮西里38鄰華西街46號,64,6401200,6401200-012,38鄰,華西街,,,,,,46號,120.35433478513,22.630719615012
高雄市鳳山區鎮西里22鄰華西街47號,64,6401200,6401200-012,22鄰,華西街,,,,,,47號,120.35359245428,22.630733964093
高雄市鳳山區鎮西里22鄰華西街47之3號,64,6401200,6401200-012,22鄰,華西街,,,,,,47之3號,120.3535887741,22.630792829737
