FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鳳山區誠義里13鄰誠愛路48巷1號,64,6401200,6401200-020,13鄰,誠愛路,,48巷,,,,1號,120.35924778209,22.60982026884
高雄市鳳山區誠義里4鄰誠愛路1號,64,6401200,6401200-020,4鄰,誠愛路,,,,,,1號,120.35880425183,22.608810572526
高雄市鳳山區誠義里5鄰誠愛路23巷1號,64,6401200,6401200-020,5鄰,誠愛路,,23巷,,,,1號,120.35866330039,22.609085899699
高雄市鳳山區誠義里5鄰誠愛路51巷1號,64,6401200,6401200-020,5鄰,誠愛路,,51巷,,,,1號,120.35875045926,22.609860817737
高雄市鳳山區誠義里5鄰誠愛路41巷1號,64,6401200,6401200-020,5鄰,誠愛路,,41巷,,,,1號,120.35876723449,22.609578221415
高雄市鳳山區誠義里6鄰誠愛路12巷1號,64,6401200,6401200-020,6鄰,誠愛路,,12巷,,,,1號,120.359265849,22.609195501399
高雄市鳳山區誠義里6鄰誠愛路30巷1號,64,6401200,6401200-020,6鄰,誠愛路,,30巷,,,,1號,120.35917470938,22.609510582659
高雄市鳳山區誠義里7鄰誠愛路100巷1號,64,6401200,6401200-020,7鄰,誠愛路,,100巷,,,,1號,120.35948511086,22.610976794393
高雄市鳳山區誠義里7鄰誠愛路108巷1號,64,6401200,6401200-020,7鄰,誠愛路,,108巷,,,,1號,120.35912823577,22.611060168827
高雄市鳳山區誠義里8鄰誠愛路65巷1號,64,6401200,6401200-020,8鄰,誠愛路,,65巷,,,,1號,120.35867670394,22.610642949573
高雄市鳳山區誠義里9鄰誠愛路142巷1號,64,6401200,6401200-020,9鄰,誠愛路,,142巷,,,,1號,120.35907883809,22.612190805337
高雄市鳳山區誠義里9鄰誠愛路130巷1號,64,6401200,6401200-020,9鄰,誠愛路,,130巷,,,,1號,120.35910428846,22.61184123534
高雄市鳳山區誠義里9鄰誠愛路142巷2號,64,6401200,6401200-020,9鄰,誠愛路,,142巷,,,,2號,120.35908707362,22.612029819499
高雄市鳳山區誠義里9鄰誠愛路130巷2號,64,6401200,6401200-020,9鄰,誠愛路,,130巷,,,,2號,120.35910975841,22.611710310934
高雄市鳳山區誠義里8鄰誠愛路65巷2號,64,6401200,6401200-020,8鄰,誠愛路,,65巷,,,,2號,120.35866465772,22.610954463222
高雄市鳳山區誠義里7鄰誠愛路108巷2號,64,6401200,6401200-020,7鄰,誠愛路,,108巷,,,,2號,120.35913533679,22.610913085829
高雄市鳳山區誠義里7鄰誠愛路100巷2號,64,6401200,6401200-020,7鄰,誠愛路,,100巷,,,,2號,120.35918456601,22.610658614475
