FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市林園區頂厝里15鄰過溝1巷12弄1號,64,6401300,6401300-007,15鄰,過溝,,1巷,12弄,,,1號,120.38394735979,22.500739362657
高雄市林園區頂厝里15鄰過溝1巷69弄2號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,2號,120.38314371894,22.498999730459
高雄市林園區頂厝里16鄰過溝2巷2號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,2號,120.3833912303,22.501769831621
高雄市林園區頂厝里15鄰過溝1巷2之1號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,2之1號,120.38413421721,22.501056159543
高雄市林園區頂厝里15鄰過溝1巷12弄3號,64,6401300,6401300-007,15鄰,過溝,,1巷,12弄,,,3號,120.38398620293,22.500724971375
高雄市林園區頂厝里15鄰過溝1巷69弄4號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,4號,120.38316890663,22.498952414499
高雄市林園區頂厝里15鄰過溝1巷12弄5號,64,6401300,6401300-007,15鄰,過溝,,1巷,12弄,,,5號,120.38402125006,22.500711829902
高雄市林園區頂厝里15鄰過溝1巷69弄6號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,6號,120.38320464651,22.498936385948
高雄市林園區頂厝里15鄰過溝1巷6號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,6號,120.38386198222,22.500968602406
高雄市林園區頂厝里16鄰過溝2巷6號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,6號,120.38331940727,22.501769376108
高雄市林園區頂厝里15鄰過溝1巷12弄7號,64,6401300,6401300-007,15鄰,過溝,,1巷,12弄,,,7號,120.38406158542,22.500689677707
高雄市林園區頂厝里15鄰過溝1巷8號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,8號,120.3838535063,22.500929285452
高雄市林園區頂厝里16鄰過溝2巷8號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,8號,120.38327657226,22.501763342044
高雄市林園區頂厝里15鄰過溝1巷69弄8號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,8號,120.38323989964,22.498920536144
高雄市林園區頂厝里15鄰過溝1巷8之1號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,8之1號,120.38384691579,22.500903160863
高雄市林園區頂厝里15鄰過溝1巷8之2號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,8之2號,120.38383873146,22.500863845023
高雄市林園區頂厝里15鄰過溝1巷8之3號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,8之3號,120.38382868652,22.500827682891
高雄市林園區頂厝里16鄰過溝2巷9號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,9號,120.38331116177,22.501568496717
高雄市林園區頂厝里15鄰過溝1巷12弄9號,64,6401300,6401300-007,15鄰,過溝,,1巷,12弄,,,9號,120.38408849938,22.500669551311
高雄市林園區頂厝里15鄰過溝1巷10號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,10號,120.38382078136,22.500791167705
高雄市林園區頂厝里15鄰過溝1巷69弄10號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,10號,120.38327232869,22.498905939853
高雄市林園區頂厝里16鄰過溝2巷10號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,10號,120.38323480754,22.501757041138
高雄市林園區頂厝里16鄰過溝2巷11號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,11號,120.38327163089,22.501562565609
高雄市林園區頂厝里15鄰過溝1巷12弄11號,64,6401300,6401300-007,15鄰,過溝,,1巷,12弄,,,11號,120.38411414986,22.50064942008
高雄市林園區頂厝里15鄰過溝1巷69弄12號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,12號,120.38330699748,22.498890358725
高雄市林園區頂厝里16鄰過溝2巷12號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,12號,120.38320164806,22.50173894265
高雄市林園區頂厝里16鄰過溝2巷13號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,13號,120.38323501372,22.501557097191
高雄市林園區頂厝里15鄰過溝1巷13號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,13號,120.38370906804,22.500602806798
高雄市林園區頂厝里15鄰過溝1巷69弄14號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,14號,120.38334195822,22.498874688398
高雄市林園區頂厝里16鄰過溝2巷14號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,14號,120.38316580837,22.501733477192
高雄市林園區頂厝里16鄰過溝2巷15號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,15號,120.38319742505,22.501551534737
高雄市林園區頂厝里15鄰過溝1巷69弄16號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,16號,120.38337282943,22.49886071829
高雄市林園區頂厝里16鄰過溝2巷16號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,16號,120.38313231168,22.501725672657
高雄市林園區頂厝里16鄰過溝2巷17號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,17號,120.38315935084,22.501545880106
高雄市林園區頂厝里15鄰過溝1巷17號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,17號,120.38394569466,22.500413068804
高雄市林園區頂厝里15鄰過溝1巷18號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,18號,120.38364787474,22.500462773935
高雄市林園區頂厝里15鄰過溝1巷69弄18號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,18號,120.38340555042,22.498846032779
高雄市林園區頂厝里16鄰過溝2巷18號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,18號,120.383096472,22.501720207184
高雄市林園區頂厝里16鄰過溝2巷19號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,19號,120.38312244211,22.501540410547
高雄市林園區頂厝里15鄰過溝1巷19號,64,6401300,6401300-007,15鄰,過溝,,1巷,,,,19號,120.38364028923,22.500419938312
高雄市林園區頂厝里15鄰過溝1巷69弄20號,64,6401300,6401300-007,15鄰,過溝,,1巷,69弄,,,20號,120.38344421191,22.498828660714
高雄市林園區頂厝里16鄰過溝2巷20號,64,6401300,6401300-007,16鄰,過溝,,2巷,,,,20號,120.3830578154,22.501714369679
