FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市左營區福山里73鄰重平路1號,64,6400300,6400300-044,73鄰,重平路,,,,,,1號,120.31133881132,22.684034539091
高雄市左營區福山里73鄰重平路3號,64,6400300,6400300-044,73鄰,重平路,,,,,,3號,120.31118748985,22.683915677124
高雄市左營區福山里73鄰重平路5號,64,6400300,6400300-044,73鄰,重平路,,,,,,5號,120.31113957209,22.683961978718
高雄市左營區福山里73鄰重平路7號,64,6400300,6400300-044,73鄰,重平路,,,,,,7號,120.31107486324,22.684038189747
高雄市左營區福山里73鄰重平路9號,64,6400300,6400300-044,73鄰,重平路,,,,,,9號,120.31123401749,22.684147603352
高雄市左營區福山里73鄰重平路11號,64,6400300,6400300-044,73鄰,重平路,,,,,,11號,120.31109266711,22.684175622289
高雄市左營區福山里73鄰重平路13號,64,6400300,6400300-044,73鄰,重平路,,,,,,13號,120.31102190488,22.684119418163
高雄市左營區福山里73鄰重平路15號,64,6400300,6400300-044,73鄰,重平路,,,,,,15號,120.31091017656,22.684217913043
高雄市左營區福山里73鄰重平路17號,64,6400300,6400300-044,73鄰,重平路,,,,,,17號,120.31098492939,22.684410316334
高雄市左營區福山里28鄰重平路18號,64,6400300,6400300-044,28鄰,重平路,,,,,,18號,120.31151373645,22.684259883289
高雄市左營區福山里28鄰重平路20號,64,6400300,6400300-044,28鄰,重平路,,,,,,20號,120.31148683076,22.684288484996
高雄市左營區福山里28鄰重平路26號,64,6400300,6400300-044,28鄰,重平路,,,,,,26號,120.31142358463,22.68432514828
