FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區鎮榮里19鄰鎮昌街53巷1號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,1號,120.3116179939,22.589798090142
高雄市前鎮區鎮榮里19鄰鎮昌街53巷1之1號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,1之1號,120.3116179939,22.589798090142
高雄市前鎮區鎮榮里19鄰鎮昌街53巷1之2號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,1之2號,120.3116179939,22.589798090142
高雄市前鎮區鎮榮里19鄰鎮昌街53巷1之3號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,1之3號,120.3116179939,22.589798090142
高雄市前鎮區鎮榮里19鄰鎮昌街53巷1之4號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,1之4號,120.3116179939,22.589798090142
高雄市前鎮區鎮榮里19鄰鎮昌街53巷2號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,2號,120.31145334092,22.589661923318
高雄市前鎮區鎮榮里19鄰鎮昌街53巷2之1號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,2之1號,120.31145334092,22.589661923318
高雄市前鎮區鎮榮里19鄰鎮昌街53巷2之2號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,2之2號,120.31145334092,22.589661923318
高雄市前鎮區鎮榮里19鄰鎮昌街53巷2之3號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,2之3號,120.31145334092,22.589661923318
高雄市前鎮區鎮榮里19鄰鎮昌街53巷2之4號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,2之4號,120.31145334092,22.589661923318
高雄市前鎮區鎮榮里19鄰鎮昌街53巷3號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,3號,120.31157502398,22.589834028931
高雄市前鎮區鎮榮里19鄰鎮昌街53巷3之1號,64,6400900,6400900-017,19鄰,鎮昌街,,53巷,,,,3之1號,120.31157502398,22.589834028931
