FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市岡山區平安里6鄰開元街1號,64,6401900,6401900-001,6鄰,開元街,,,,,,1號,120.29425480472,22.793833933373
高雄市岡山區平安里6鄰開元街2號,64,6401900,6401900-001,6鄰,開元街,,,,,,2號,120.29432302515,22.79403380901
高雄市岡山區平安里6鄰開元街2之1號,64,6401900,6401900-001,6鄰,開元街,,,,,,2之1號,120.29420244373,22.793977828269
高雄市岡山區平安里6鄰開元街3號,64,6401900,6401900-001,6鄰,開元街,,,,,,3號,120.29417866749,22.793809755975
高雄市岡山區平安里6鄰開元街5號,64,6401900,6401900-001,6鄰,開元街,,,,,,5號,120.29414399038,22.793810505565
高雄市岡山區平安里6鄰開元街6號,64,6401900,6401900-001,6鄰,開元街,,,,,,6號,120.29405608187,22.793972845897
高雄市岡山區平安里6鄰開元街6之1號,64,6401900,6401900-001,6鄰,開元街,,,,,,6之1號,120.29406118076,22.794041861391
高雄市岡山區平安里6鄰開元街7號,64,6401900,6401900-001,6鄰,開元街,,,,,,7號,120.29410815524,22.79380917301
高雄市岡山區平安里6鄰開元街8號,64,6401900,6401900-001,6鄰,開元街,,,,,,8號,120.29395813632,22.793965910403
高雄市岡山區平安里6鄰開元街9號,64,6401900,6401900-001,6鄰,開元街,,,,,,9號,120.29407659801,22.793809304259
高雄市岡山區平安里6鄰開元街10號,64,6401900,6401900-001,6鄰,開元街,,,,,,10號,120.29400848935,22.793966133291
高雄市岡山區平安里6鄰開元街11號,64,6401900,6401900-001,6鄰,開元街,,,,,,11號,120.29403998231,22.793808239148
高雄市岡山區平安里6鄰開元街12號,64,6401900,6401900-001,6鄰,開元街,,,,,,12號,120.29390634236,22.793961798011
高雄市岡山區平安里6鄰開元街14號,64,6401900,6401900-001,6鄰,開元街,,,,,,14號,120.2937938602,22.794035259706
高雄市岡山區平安里6鄰開元街16號,64,6401900,6401900-001,6鄰,開元街,,,,,,16號,120.29379058515,22.793990363682
高雄市岡山區平安里6鄰開元街17號,64,6401900,6401900-001,6鄰,開元街,,,,,,17號,120.29412325299,22.793638653905
高雄市岡山區平安里7鄰開元街19號,64,6401900,6401900-001,7鄰,開元街,,,,,,19號,120.29398865027,22.793809005291
高雄市岡山區平安里5鄰開元街20號,64,6401900,6401900-001,5鄰,開元街,,,,,,20號,120.29381778392,22.793947679598
高雄市岡山區平安里7鄰開元街21號,64,6401900,6401900-001,7鄰,開元街,,,,,,21號,120.29394925921,22.793779481838
高雄市岡山區平安里5鄰開元街22號,64,6401900,6401900-001,5鄰,開元街,,,,,,22號,120.29376490143,22.79394690362
高雄市岡山區平安里7鄰開元街23號,64,6401900,6401900-001,7鄰,開元街,,,,,,23號,120.29389549744,22.793779243842
高雄市岡山區平安里5鄰開元街24號,64,6401900,6401900-001,5鄰,開元街,,,,,,24號,120.29371123001,22.793948020534
高雄市岡山區平安里7鄰開元街25號,64,6401900,6401900-001,7鄰,開元街,,,,,,25號,120.29384800658,22.793771718897
高雄市岡山區平安里5鄰開元街26號,64,6401900,6401900-001,5鄰,開元街,,,,,,26號,120.29367199997,22.793943963701
高雄市岡山區平安里7鄰開元街27號,64,6401900,6401900-001,7鄰,開元街,,,,,,27號,120.29380691354,22.793770092081
高雄市岡山區平安里5鄰開元街28號,64,6401900,6401900-001,5鄰,開元街,,,,,,28號,120.29362865936,22.793943771763
高雄市岡山區平安里7鄰開元街29號,64,6401900,6401900-001,7鄰,開元街,,,,,,29號,120.29376895991,22.793764054217
高雄市岡山區平安里5鄰開元街30號,64,6401900,6401900-001,5鄰,開元街,,,,,,30號,120.29358386435,22.793942309103
高雄市岡山區平安里7鄰開元街31號,64,6401900,6401900-001,7鄰,開元街,,,,,,31號,120.2937294103,22.793765323971
高雄市岡山區平安里5鄰開元街32號,64,6401900,6401900-001,5鄰,開元街,,,,,,32號,120.2935446413,22.793936897697
高雄市岡山區平安里7鄰開元街33號,64,6401900,6401900-001,7鄰,開元街,,,,,,33號,120.2936867743,22.793760710231
高雄市岡山區平安里5鄰開元街34號,64,6401900,6401900-001,5鄰,開元街,,,,,,34號,120.29349985326,22.793934080472
高雄市岡山區平安里7鄰開元街35號,64,6401900,6401900-001,7鄰,開元街,,,,,,35號,120.29364570406,22.793754658536
高雄市岡山區平安里5鄰開元街36號,64,6401900,6401900-001,5鄰,開元街,,,,,,36號,120.29345504476,22.793935236558
高雄市岡山區平安里7鄰開元街37號,64,6401900,6401900-001,7鄰,開元街,,,,,,37號,120.29360452852,22.793750141547
高雄市岡山區平安里5鄰開元街38號,64,6401900,6401900-001,5鄰,開元街,,,,,,38號,120.29338784247,22.79393493885
高雄市岡山區平安里7鄰開元街39號,64,6401900,6401900-001,7鄰,開元街,,,,,,39號,120.2935634434,22.793746979521
高雄市岡山區平安里5鄰開元街40號,64,6401900,6401900-001,5鄰,開元街,,,,,,40號,120.29332482815,22.793934659669
高雄市岡山區平安里7鄰開元街41號,64,6401900,6401900-001,7鄰,開元街,,,,,,41號,120.29350658735,22.793742393056
高雄市岡山區平安里5鄰開元街42號,64,6401900,6401900-001,5鄰,開元街,,,,,,42號,120.2932842281,22.793931860939
