FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市小港區坪頂里9鄰高坪十五路518巷1號,64,6401100,6401100-027,9鄰,高坪十五路,,518巷,,,,1號,120.39358194876,22.560751796456
高雄市小港區坪頂里9鄰高坪十五路518巷2號,64,6401100,6401100-027,9鄰,高坪十五路,,518巷,,,,2號,120.39354526439,22.560424469508
高雄市小港區坪頂里9鄰高坪十五路518巷3號,64,6401100,6401100-027,9鄰,高坪十五路,,518巷,,,,3號,120.39364212907,22.560753468363
高雄市小港區坪頂里9鄰高坪十五路518巷5號,64,6401100,6401100-027,9鄰,高坪十五路,,518巷,,,,5號,120.39370542081,22.56075515198
高雄市小港區坪頂里9鄰高坪十五路518巷6號,64,6401100,6401100-027,9鄰,高坪十五路,,518巷,,,,6號,120.39366194769,22.56042373556
高雄市小港區坪頂里9鄰高坪十五路518巷7號,64,6401100,6401100-027,9鄰,高坪十五路,,518巷,,,,7號,120.39376871255,22.560756835571
高雄市小港區坪頂里9鄰高坪十五路518巷8號,64,6401100,6401100-027,9鄰,高坪十五路,,518巷,,,,8號,120.3937786306,22.560423091834
高雄市小港區坪頂里9鄰高坪十五路518巷9號,64,6401100,6401100-027,9鄰,高坪十五路,,518巷,,,,9號,120.39384125397,22.56075566413
高雄市小港區坪頂里9鄰高坪十五路378巷9號,64,6401100,6401100-027,9鄰,高坪十五路,,378巷,,,,9號,120.39351048616,22.55899411858
高雄市小港區坪頂里9鄰高坪十五路518巷10號,64,6401100,6401100-027,9鄰,高坪十五路,,518巷,,,,10號,120.39390315377,22.560430605366
高雄市小港區坪頂里9鄰高坪十五路378巷11號,64,6401100,6401100-027,9鄰,高坪十五路,,378巷,,,,11號,120.39357067202,22.558994345581
高雄市小港區坪頂里9鄰高坪十五路378巷13號,64,6401100,6401100-027,9鄰,高坪十五路,,378巷,,,,13號,120.39362317034,22.558995988508
高雄市小港區坪頂里9鄰高坪十五路456巷13號,64,6401100,6401100-027,9鄰,高坪十五路,,456巷,,,,13號,120.39358021893,22.560102199111
高雄市小港區坪頂里9鄰高坪十五路456巷15號,64,6401100,6401100-027,9鄰,高坪十五路,,456巷,,,,15號,120.3937193664,22.560100646752
高雄市小港區坪頂里9鄰高坪十五路378巷15號,64,6401100,6401100-027,9鄰,高坪十五路,,378巷,,,,15號,120.39368336253,22.55899477055
高雄市小港區坪頂里9鄰高坪十五路378巷17號,64,6401100,6401100-027,9鄰,高坪十五路,,378巷,,,,17號,120.39374053424,22.558994986121
高雄市小港區坪頂里9鄰高坪十五路456巷18號,64,6401100,6401100-027,9鄰,高坪十五路,,456巷,,,,18號,120.3935660824,22.559754998948
高雄市小港區坪頂里9鄰高坪十五路378巷19號,64,6401100,6401100-027,9鄰,高坪十五路,,378巷,,,,19號,120.39379758978,22.558999536055
高雄市小港區坪頂里11鄰高坪十五路52巷19號,64,6401100,6401100-027,11鄰,高坪十五路,,52巷,,,,19號,120.3961896398,22.554568413048
