FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市萬里區北基里15鄰仁二街1號,65,6502800,6502800-010,15鄰,仁二街,,,,,,1號,121.68244567233,25.175588628054
新北市萬里區北基里15鄰仁二街2號,65,6502800,6502800-010,15鄰,仁二街,,,,,,2號,121.68260362544,25.175652357826
新北市萬里區北基里15鄰仁二街3號,65,6502800,6502800-010,15鄰,仁二街,,,,,,3號,121.68240900926,25.175662283052
新北市萬里區北基里15鄰仁二街4號,65,6502800,6502800-010,15鄰,仁二街,,,,,,4號,121.68256931271,25.175720504117
新北市萬里區北基里15鄰仁二街5號,65,6502800,6502800-010,15鄰,仁二街,,,,,,5號,121.68238246687,25.17571486573
新北市萬里區北基里15鄰仁二街6號,65,6502800,6502800-010,15鄰,仁二街,,,,,,6號,121.68253440345,25.175784861493
新北市萬里區北基里15鄰仁二街7號,65,6502800,6502800-010,15鄰,仁二街,,,,,,7號,121.68234608245,25.175794035387
新北市萬里區北基里15鄰仁二街8號,65,6502800,6502800-010,15鄰,仁二街,,,,,,8號,121.68249497782,25.175861246605
新北市萬里區北基里15鄰仁二街9號,65,6502800,6502800-010,15鄰,仁二街,,,,,,9號,121.6823053728,25.17586076667
新北市萬里區北基里15鄰仁二街10號,65,6502800,6502800-010,15鄰,仁二街,,,,,,10號,121.68245044579,25.175947035093
新北市萬里區北基里15鄰仁二街11號,65,6502800,6502800-010,15鄰,仁二街,,,,,,11號,121.68226636913,25.175938133803
新北市萬里區北基里15鄰仁二街12號,65,6502800,6502800-010,15鄰,仁二街,,,,,,12號,121.68241102006,25.176023420183
新北市萬里區北基里15鄰仁二街13號,65,6502800,6502800-010,15鄰,仁二街,,,,,,13號,121.68222718125,25.176012712199
新北市萬里區北基里15鄰仁二街14號,65,6502800,6502800-010,15鄰,仁二街,,,,,,14號,121.68238355624,25.176072666839
新北市萬里區北基里15鄰仁二街15號,65,6502800,6502800-010,15鄰,仁二街,,,,,,15號,121.68219918821,25.176070266798
新北市萬里區北基里15鄰仁二街16號,65,6502800,6502800-010,15鄰,仁二街,,,,,,16號,121.68234946164,25.176135485697
新北市萬里區北基里15鄰仁二街17號,65,6502800,6502800-010,15鄰,仁二街,,,,,,17號,121.68216417576,25.176132178042
新北市萬里區北基里15鄰仁二街18號,65,6502800,6502800-010,15鄰,仁二街,,,,,,18號,121.6823199146,25.176193670398
新北市萬里區北基里15鄰仁二街19號,65,6502800,6502800-010,15鄰,仁二街,,,,,,19號,121.68213055656,25.176193098831
新北市萬里區北基里15鄰仁二街20號,65,6502800,6502800-010,15鄰,仁二街,,,,,,20號,121.68227629267,25.176280817829
新北市萬里區北基里15鄰仁二街21號,65,6502800,6502800-010,15鄰,仁二街,,,,,,21號,121.6820848889,25.176279894526
新北市萬里區北基里15鄰仁二街22號,65,6502800,6502800-010,15鄰,仁二街,,,,,,22號,121.68224352768,25.176349047187
新北市萬里區北基里15鄰仁二街23號,65,6502800,6502800-010,15鄰,仁二街,,,,,,23號,121.68205054607,25.176342714461
新北市萬里區北基里15鄰仁二街24號,65,6502800,6502800-010,15鄰,仁二街,,,,,,24號,121.68221100042,25.176413655311
