FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市汐止區北山里8鄰南陽街112號,65,6501100,6501100-020,8鄰,南陽街,,,,,,112號,121.62336844688,25.061852682649
新北市汐止區環河里10鄰南陽街279巷1號,65,6501100,6501100-038,10鄰,南陽街,,279巷,,,,1號,121.62853549514,25.056456213711
新北市汐止區環河里5鄰南陽街61巷1號,65,6501100,6501100-038,5鄰,南陽街,,61巷,,,,1號,121.62485570604,25.064051889979
新北市汐止區環河里5鄰南陽街73巷10弄1號,65,6501100,6501100-038,5鄰,南陽街,,73巷,10弄,,,1號,121.62436275788,25.063294558781
新北市汐止區環河里5鄰南陽街73巷15弄1號,65,6501100,6501100-038,5鄰,南陽街,,73巷,15弄,,,1號,121.6248698378,25.063449620526
新北市汐止區環河里6鄰南陽街120巷1號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,1號,121.62417631419,25.060348968023
新北市汐止區環河里6鄰南陽街90巷1號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,1號,121.62295233052,25.06177361963
新北市汐止區環河里9鄰南陽街240巷1號,65,6501100,6501100-038,9鄰,南陽街,,240巷,,,,1號,121.62666097245,25.057017332726
新北市汐止區環河里9鄰南陽街240巷2號,65,6501100,6501100-038,9鄰,南陽街,,240巷,,,,2號,121.62649028867,25.057033851783
新北市汐止區環河里9鄰南陽街256巷2號,65,6501100,6501100-038,9鄰,南陽街,,256巷,,,,2號,121.62681696994,25.056475122896
新北市汐止區環河里6鄰南陽街121巷2號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,2號,121.62434477174,25.060537594299
新北市汐止區環河里5鄰南陽街73巷15弄2號,65,6501100,6501100-038,5鄰,南陽街,,73巷,15弄,,,2號,121.62465642691,25.063345153161
新北市汐止區環河里5鄰南陽街73巷10弄2號,65,6501100,6501100-038,5鄰,南陽街,,73巷,10弄,,,2號,121.62443297251,25.063326041938
新北市汐止區環河里5鄰南陽街39巷2號,65,6501100,6501100-038,5鄰,南陽街,,39巷,,,,2號,121.62545671663,25.065084252298
新北市汐止區環河里5鄰南陽街73巷20弄2號,65,6501100,6501100-038,5鄰,南陽街,,73巷,20弄,,,2號,121.62490982766,25.063032766774
新北市汐止區環河里5鄰南陽街73巷9弄2號,65,6501100,6501100-038,5鄰,南陽街,,73巷,9弄,,,2號,121.62482288099,25.063522773065
新北市汐止區環河里5鄰南陽街1巷2號,65,6501100,6501100-038,5鄰,南陽街,,1巷,,,,2號,121.62475190702,25.06637464231
新北市汐止區環河里6鄰南陽街121巷2之1號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,2之1號,121.62450306596,25.060590374218
新北市汐止區環河里6鄰南陽街120巷3號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,3號,121.62408704036,25.060317194659
新北市汐止區環河里5鄰南陽街61巷3號,65,6501100,6501100-038,5鄰,南陽街,,61巷,,,,3號,121.62486416919,25.063910927933
新北市汐止區環河里10鄰南陽街279巷3號,65,6501100,6501100-038,10鄰,南陽街,,279巷,,,,3號,121.62857799323,25.056485284447
新北市汐止區環河里9鄰南陽街240巷3號,65,6501100,6501100-038,9鄰,南陽街,,240巷,,,,3號,121.62653630853,25.056759541541
新北市汐止區環河里5鄰南陽街1巷4號,65,6501100,6501100-038,5鄰,南陽街,,1巷,,,,4號,121.62480350843,25.066376682157
新北市汐止區環河里5鄰南陽街73巷15弄4號,65,6501100,6501100-038,5鄰,南陽街,,73巷,15弄,,,4號,121.6247293154,25.063370305356
新北市汐止區環河里5鄰南陽街73巷20弄4號,65,6501100,6501100-038,5鄰,南陽街,,73巷,20弄,,,4號,121.62483104423,25.062924031536
新北市汐止區環河里6鄰南陽街120巷5號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,5號,121.62398453541,25.060287472019
新北市汐止區環河里6鄰南陽街90巷5號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,5號,121.62263479726,25.061595186595
新北市汐止區環河里8鄰南陽街180巷5號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,5號,121.62536610168,25.057896327838
新北市汐止區環河里9鄰南陽街240巷5號,65,6501100,6501100-038,9鄰,南陽街,,240巷,,,,5號,121.62642173354,25.056622429637
新北市汐止區環河里5鄰南陽街1巷6號,65,6501100,6501100-038,5鄰,南陽街,,1巷,,,,6號,121.62486386471,25.066381212968
新北市汐止區環河里6鄰南陽街90巷6號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,6號,121.6230212794,25.062074430977
新北市汐止區環河里5鄰南陽街73巷20弄6號,65,6501100,6501100-038,5鄰,南陽街,,73巷,20弄,,,6號,121.6248731527,25.062860378753
新北市汐止區環河里5鄰南陽街73巷9弄6號,65,6501100,6501100-038,5鄰,南陽街,,73巷,9弄,,,6號,121.62495363018,25.063576571125
新北市汐止區環河里8鄰南陽街180巷6號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,6號,121.62528142045,25.058220463342
新北市汐止區環河里9鄰南陽街240巷6號,65,6501100,6501100-038,9鄰,南陽街,,240巷,,,,6號,121.62644470644,25.056977077603
新北市汐止區環河里9鄰南陽街256巷6號,65,6501100,6501100-038,9鄰,南陽街,,256巷,,,,6號,121.62676121193,25.056440329711
新北市汐止區環河里8鄰南陽街180巷7號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,7號,121.62527413674,25.057831984561
新北市汐止區環河里5鄰南陽街39巷7號,65,6501100,6501100-038,5鄰,南陽街,,39巷,,,,7號,121.62573483416,25.064823680209
新北市汐止區環河里6鄰南陽街91巷38弄7號,65,6501100,6501100-038,6鄰,南陽街,,91巷,38弄,,,7號,121.62462975049,25.060445213428
新北市汐止區環河里6鄰南陽街120巷7號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,7號,121.62391819437,25.060263104426
新北市汐止區環河里6鄰南陽街90巷8號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,8號,121.62293828269,25.062051315508
新北市汐止區環河里5鄰南陽街73巷9弄8號,65,6501100,6501100-038,5鄰,南陽街,,73巷,9弄,,,8號,121.62503321072,25.063600069968
新北市汐止區環河里6鄰南陽街115巷8號,65,6501100,6501100-038,6鄰,南陽街,,115巷,,,,8號,121.62423546969,25.06118126005
新北市汐止區環河里8鄰南陽街180巷8號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,8號,121.62520553999,25.058136362313
新北市汐止區環河里9鄰南陽街256巷8號,65,6501100,6501100-038,9鄰,南陽街,,256巷,,,,8號,121.62671073251,25.056416438068
新北市汐止區環河里9鄰南陽街240巷8號,65,6501100,6501100-038,9鄰,南陽街,,240巷,,,,8號,121.62640337137,25.05691937367
新北市汐止區環河里8鄰南陽街180巷9號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,9號,121.62520906746,25.057784581826
新北市汐止區環河里5鄰南陽街61巷9號,65,6501100,6501100-038,5鄰,南陽街,,61巷,,,,9號,121.62491216729,25.063767524455
新北市汐止區環河里6鄰南陽街90巷9號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,9號,121.62255762039,25.061497818583
新北市汐止區環河里6鄰南陽街91巷38弄9號,65,6501100,6501100-038,6鄰,南陽街,,91巷,38弄,,,9號,121.6246056106,25.060514460134
新北市汐止區環河里6鄰南陽街120巷9號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,9號,121.62384893712,25.060244156804
新北市汐止區環河里5鄰南陽街73巷9弄10號,65,6501100,6501100-038,5鄰,南陽街,,73巷,9弄,,,10號,121.62514742963,25.063583970759
新北市汐止區環河里6鄰南陽街115巷10號,65,6501100,6501100-038,6鄰,南陽街,,115巷,,,,10號,121.62436551308,25.061225410761
新北市汐止區環河里6鄰南陽街120巷10號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,10號,121.62353585738,25.060347857881
新北市汐止區環河里8鄰南陽街180巷10號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,10號,121.62513903312,25.058079125122
新北市汐止區環河里9鄰南陽街240巷10號,65,6501100,6501100-038,9鄰,南陽街,,240巷,,,,10號,121.62635928507,25.056850757489
新北市汐止區環河里9鄰南陽街256巷10號,65,6501100,6501100-038,9鄰,南陽街,,256巷,,,,10號,121.62663211254,25.056372433474
新北市汐止區環河里8鄰南陽街180巷11號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,11號,121.62513192075,25.057724328938
新北市汐止區環河里6鄰南陽街120巷11號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,11號,121.62377224833,25.060211888008
新北市汐止區環河里6鄰南陽街115巷11號,65,6501100,6501100-038,6鄰,南陽街,,115巷,,,,11號,121.62443144886,25.061427829313
新北市汐止區環河里5鄰南陽街73巷11號,65,6501100,6501100-038,5鄰,南陽街,,73巷,,,,11號,121.62434957085,25.063565480103
新北市汐止區環河里6鄰南陽街121巷11號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,11號,121.6247188666,25.060842637663
新北市汐止區環河里6鄰南陽街90巷11號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,11號,121.62244086763,25.061478988181
新北市汐止區環河里5鄰南陽街11號,65,6501100,6501100-038,5鄰,南陽街,,,,,,11號,121.62498740727,25.066156871898
新北市汐止區環河里6鄰南陽街121巷12號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,12號,121.62477830061,25.060697109643
新北市汐止區環河里6鄰南陽街115巷12號,65,6501100,6501100-038,6鄰,南陽街,,115巷,,,,12號,121.62447596937,25.061259342826
新北市汐止區環河里6鄰南陽街120巷12號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,12號,121.6234562774,25.060323997068
新北市汐止區環河里8鄰南陽街180巷12號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,12號,121.6250579204,25.058028368258
新北市汐止區環河里9鄰南陽街240巷12號,65,6501100,6501100-038,9鄰,南陽街,,240巷,,,,12號,121.62631122897,25.056771324478
新北市汐止區環河里9鄰南陽街256巷12號,65,6501100,6501100-038,9鄰,南陽街,,256巷,,,,12號,121.62655673234,25.056339889713
新北市汐止區環河里8鄰南陽街180巷13號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,13號,121.62503353446,25.057652329738
新北市汐止區環河里6鄰南陽街120巷13號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,13號,121.62369398306,25.060189285714
新北市汐止區環河里6鄰南陽街115巷13號,65,6501100,6501100-038,6鄰,南陽街,,115巷,,,,13號,121.62435315205,25.061399178782
新北市汐止區環河里5鄰南陽街73巷13號,65,6501100,6501100-038,5鄰,南陽街,,73巷,,,,13號,121.62461109451,25.063418109214
新北市汐止區環河里6鄰南陽街121巷13號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,13號,121.62480936411,25.060875208975
新北市汐止區環河里6鄰南陽街90巷13號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,13號,121.62231715297,25.061376930977
新北市汐止區環河里6鄰南陽街90巷14號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,14號,121.62275407677,25.061886406984
新北市汐止區環河里6鄰南陽街121巷14號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,14號,121.62485968724,25.060721422562
新北市汐止區環河里6鄰南陽街115巷14號,65,6501100,6501100-038,6鄰,南陽街,,115巷,,,,14號,121.62456711297,25.061305913932
新北市汐止區環河里5鄰南陽街73巷9弄14號,65,6501100,6501100-038,5鄰,南陽街,,73巷,9弄,,,14號,121.62524157492,25.063416990467
新北市汐止區環河里6鄰南陽街120巷14號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,14號,121.62336775902,25.060294576396
新北市汐止區環河里8鄰南陽街180巷14號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,14號,121.62499446397,25.05797653494
新北市汐止區環河里6鄰南陽街120巷15號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,15號,121.62361970957,25.060164229064
新北市汐止區環河里5鄰南陽街73巷15號,65,6501100,6501100-038,5鄰,南陽街,,73巷,,,,15號,121.62461476897,25.063366742725
新北市汐止區環河里6鄰南陽街121巷15號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,15號,121.62488775589,25.060905041535
新北市汐止區環河里6鄰南陽街90巷15號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,15號,121.62219781476,25.061348541574
新北市汐止區環河里8鄰南陽街180巷15號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,15號,121.62496544406,25.057573973684
新北市汐止區環河里8鄰南陽街180巷16號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,16號,121.62470481639,25.05813603193
新北市汐止區環河里6鄰南陽街90巷16號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,16號,121.62268512708,25.061848056452
新北市汐止區環河里6鄰南陽街121巷16號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,16號,121.62492604291,25.060748588334
新北市汐止區環河里6鄰南陽街120巷16號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,16號,121.62329840583,25.060274283753
新北市汐止區環河里6鄰南陽街120巷17號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,17號,121.62353956896,25.060143160289
新北市汐止區環河里5鄰南陽街73巷17號,65,6501100,6501100-038,5鄰,南陽街,,73巷,,,,17號,121.62473815957,25.063277090577
新北市汐止區環河里6鄰南陽街121巷17號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,17號,121.62495411121,25.060932117013
新北市汐止區環河里8鄰南陽街180巷17號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,17號,121.62483357109,25.057410652937
新北市汐止區環河里8鄰南陽街180巷18號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,18號,121.62458549209,25.057851764699
新北市汐止區環河里6鄰南陽街90巷18號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,18號,121.62261339037,25.061807361274
新北市汐止區環河里6鄰南陽街121巷18號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,18號,121.62499843022,25.06077293002
新北市汐止區環河里6鄰南陽街120巷18號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,18號,121.62321559067,25.060241760515
新北市汐止區環河里6鄰南陽街120巷19號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,19號,121.62345519783,25.060110652745
新北市汐止區環河里5鄰南陽街73巷19號,65,6501100,6501100-038,5鄰,南陽街,,73巷,,,,19號,121.62477793336,25.063204509965
新北市汐止區環河里6鄰南陽街121巷19號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,19號,121.62506084362,25.060956855796
新北市汐止區環河里8鄰南陽街180巷20號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,20號,121.62454391373,25.058050997182
新北市汐止區環河里6鄰南陽街90巷20號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,20號,121.62232133431,25.061686699015
新北市汐止區環河里6鄰南陽街121巷20號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,20號,121.62508795875,25.060805956639
新北市汐止區環河里6鄰南陽街120巷20號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,20號,121.62314166166,25.060220132806
新北市汐止區環河里6鄰南陽街90巷20之1號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,20之1號,121.622243784,25.061648799603
新北市汐止區環河里6鄰南陽街120巷21號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,21號,121.62337224171,25.060083555991
新北市汐止區環河里5鄰南陽街73巷21號,65,6501100,6501100-038,5鄰,南陽街,,73巷,,,,21號,121.62495913525,25.063292140165
新北市汐止區環河里8鄰南陽街180巷22號,65,6501100,6501100-038,8鄰,南陽街,,180巷,,,,22號,121.62450905293,25.058077731143
新北市汐止區環河里5鄰南陽街22號,65,6501100,6501100-038,5鄰,南陽街,,,,,,22號,121.62487968997,25.065667305891
新北市汐止區環河里6鄰南陽街120巷22號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,22號,121.62304978904,25.060191809373
新北市汐止區環河里6鄰南陽街121巷22號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,22號,121.62515879316,25.060828959617
新北市汐止區環河里6鄰南陽街90巷22號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,22號,121.62204616057,25.061493913266
新北市汐止區環河里6鄰南陽街120巷23號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,23號,121.62329833857,25.060051356503
新北市汐止區環河里5鄰南陽街73巷23號,65,6501100,6501100-038,5鄰,南陽街,,73巷,,,,23號,121.62496076504,25.063419978233
新北市汐止區環河里5鄰南陽街23號,65,6501100,6501100-038,5鄰,南陽街,,,,,,23號,121.62516534595,25.065616287127
新北市汐止區環河里6鄰南陽街120巷24號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,24號,121.62295622799,25.060151025346
新北市汐止區環河里6鄰南陽街121巷24號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,24號,121.62524051081,25.060855970292
新北市汐止區環河里6鄰南陽街90巷24號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,24號,121.62183095381,25.0613584743
新北市汐止區環河里6鄰南陽街120巷25號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,25號,121.62322293597,25.060028380824
新北市汐止區環河里5鄰南陽街73巷25號,65,6501100,6501100-038,5鄰,南陽街,,73巷,,,,25號,121.62505221957,25.063429803901
新北市汐止區環河里6鄰南陽街120巷26號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,26號,121.62287974677,25.060126428983
新北市汐止區環河里6鄰南陽街121巷26號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,26號,121.62531348666,25.060881031581
新北市汐止區環河里6鄰南陽街90巷26號,65,6501100,6501100-038,6鄰,南陽街,,90巷,,,,26號,121.62174596995,25.061316579278
新北市汐止區環河里6鄰南陽街120巷27號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,27號,121.62314152914,25.059999923242
新北市汐止區環河里5鄰南陽街73巷27號,65,6501100,6501100-038,5鄰,南陽街,,73巷,,,,27號,121.62507713148,25.063377869519
新北市汐止區環河里6鄰南陽街120巷28號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,28號,121.62282462383,25.060105625027
新北市汐止區環河里6鄰南陽街121巷28號,65,6501100,6501100-038,6鄰,南陽街,,121巷,,,,28號,121.62537448888,25.060900094526
新北市汐止區環河里6鄰南陽街120巷29號,65,6501100,6501100-038,6鄰,南陽街,,120巷,,,,29號,121.62307437948,25.059978267048
