FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市烏來區福山里3鄰卡拉模基1號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,1號,121.50286136338,24.778879308474
新北市烏來區福山里3鄰卡拉模基2號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,2號,121.50324369354,24.779068541742
新北市烏來區福山里3鄰卡拉模基5號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,5號,121.50286990713,24.779563968266
新北市烏來區福山里3鄰卡拉模基6號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,6號,121.50360325693,24.779051081669
新北市烏來區福山里3鄰卡拉模基9號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,9號,121.5026845993,24.780235014042
新北市烏來區福山里3鄰卡拉模基10號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,10號,121.50323251901,24.779451149663
新北市烏來區福山里3鄰卡拉模基12號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,12號,121.50319345789,24.779657327585
新北市烏來區福山里3鄰卡拉模基15號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,15號,121.50259099082,24.78050557603
新北市烏來區福山里3鄰卡拉模基16號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,16號,121.50312216555,24.77983833422
新北市烏來區福山里3鄰卡拉模基17號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,17號,121.50272079149,24.780391643981
新北市烏來區福山里3鄰卡拉模基18號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,18號,121.50293077561,24.779993742418
新北市烏來區福山里3鄰卡拉模基20號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,20號,121.50296204981,24.780041578284
新北市烏來區福山里3鄰卡拉模基21號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,21號,121.50298106343,24.780347514697
新北市烏來區福山里3鄰卡拉模基22號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,22號,121.50303746181,24.78003121311
新北市烏來區福山里3鄰卡拉模基23號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,23號,121.50308902393,24.780438528631
新北市烏來區福山里3鄰卡拉模基25號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,25號,121.50303188659,24.780490552771
新北市烏來區福山里3鄰卡拉模基26號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,26號,121.50305648784,24.780158639526
新北市烏來區福山里3鄰卡拉模基28號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,28號,121.50322971746,24.780274451809
新北市烏來區福山里3鄰卡拉模基30號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,30號,121.50340429053,24.780176529561
新北市烏來區福山里3鄰卡拉模基40號,65,6502900,6502900-003,3鄰,卡拉模基,,,,,,40號,121.50540229264,24.78114053421
