FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市八里區舊城里21鄰松子腳1號,65,6502300,6502300-006,21鄰,松子腳,,,,,,1號,121.40337976663,25.145003442674
新北市八里區舊城里21鄰松子腳1之4號,65,6502300,6502300-006,21鄰,松子腳,,,,,,1之4號,121.40337976663,25.145003442674
新北市八里區舊城里21鄰松子腳2之2號,65,6502300,6502300-006,21鄰,松子腳,,,,,,2之2號,121.40343485034,25.144812421373
新北市八里區舊城里21鄰松子腳3號,65,6502300,6502300-006,21鄰,松子腳,,,,,,3號,121.40323550781,25.144397898926
新北市八里區舊城里21鄰松子腳3之2號,65,6502300,6502300-006,21鄰,松子腳,,,,,,3之2號,121.40312067922,25.144408774278
新北市八里區舊城里21鄰松子腳4號,65,6502300,6502300-006,21鄰,松子腳,,,,,,4號,121.40298410186,25.144021553043
新北市八里區舊城里21鄰松子腳5號,65,6502300,6502300-006,21鄰,松子腳,,,,,,5號,121.40301431616,25.143931885371
新北市八里區舊城里21鄰松子腳7號,65,6502300,6502300-006,21鄰,松子腳,,,,,,7號,121.40269687002,25.144073694768
新北市八里區舊城里21鄰松子腳8號,65,6502300,6502300-006,21鄰,松子腳,,,,,,8號,121.40335044221,25.144944379684
新北市八里區舊城里22鄰松子腳10號,65,6502300,6502300-006,22鄰,松子腳,,,,,,10號,121.40303418558,25.141038959193
新北市八里區舊城里21鄰松子腳10號,65,6502300,6502300-006,21鄰,松子腳,,,,,,10號,121.40659393554,25.142960254181
新北市八里區舊城里22鄰松子腳10之2號,65,6502300,6502300-006,22鄰,松子腳,,,,,,10之2號,121.40657760157,25.142795970213
新北市八里區舊城里21鄰松子腳11號,65,6502300,6502300-006,21鄰,松子腳,,,,,,11號,121.40310366007,25.146051819597
新北市八里區舊城里21鄰松子腳12號,65,6502300,6502300-006,21鄰,松子腳,,,,,,12號,121.40301203866,25.146029318177
新北市八里區舊城里21鄰松子腳13號,65,6502300,6502300-006,21鄰,松子腳,,,,,,13號,121.40223842371,25.145634745864
新北市八里區舊城里21鄰松子腳14號,65,6502300,6502300-006,21鄰,松子腳,,,,,,14號,121.40754324782,25.144465656901
新北市八里區舊城里22鄰松子腳14號,65,6502300,6502300-006,22鄰,松子腳,,,,,,14號,121.408398354,25.145212703092
新北市八里區舊城里22鄰松子腳15號,65,6502300,6502300-006,22鄰,松子腳,,,,,,15號,121.40769309886,25.144332703624
新北市八里區舊城里22鄰松子腳15之1號,65,6502300,6502300-006,22鄰,松子腳,,,,,,15之1號,121.40769661226,25.144381174638
新北市八里區舊城里22鄰松子腳15之2號,65,6502300,6502300-006,22鄰,松子腳,,,,,,15之2號,121.40757968232,25.144622301839
新北市八里區舊城里21鄰松子腳17號,65,6502300,6502300-006,21鄰,松子腳,,,,,,17號,121.40167740783,25.142013260516
