FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市雙溪區長源里9鄰柑腳3號,65,6502500,6502500-011,9鄰,柑腳,,,,,,3號,121.80455808675,25.015129854379
新北市雙溪區長源里9鄰柑腳5號,65,6502500,6502500-011,9鄰,柑腳,,,,,,5號,121.80453674504,25.01486515773
新北市雙溪區長源里9鄰柑腳5之1號,65,6502500,6502500-011,9鄰,柑腳,,,,,,5之1號,121.80453869156,25.014913003507
新北市雙溪區長源里9鄰柑腳8號,65,6502500,6502500-011,9鄰,柑腳,,,,,,8號,121.80493445864,25.014737419683
新北市雙溪區長源里9鄰柑腳8之1號,65,6502500,6502500-011,9鄰,柑腳,,,,,,8之1號,121.80493445864,25.014737419683
新北市雙溪區長源里9鄰柑腳9號,65,6502500,6502500-011,9鄰,柑腳,,,,,,9號,121.8048601,25.014788567401
新北市雙溪區長源里9鄰柑腳10號,65,6502500,6502500-011,9鄰,柑腳,,,,,,10號,121.80489566299,25.014853194416
新北市雙溪區長源里9鄰柑腳11號,65,6502500,6502500-011,9鄰,柑腳,,,,,,11號,121.80498674706,25.014898029855
新北市雙溪區長源里9鄰柑腳12號,65,6502500,6502500-011,9鄰,柑腳,,,,,,12號,121.8050707876,25.014789503197
新北市雙溪區長源里9鄰柑腳14號,65,6502500,6502500-011,9鄰,柑腳,,,,,,14號,121.80504380382,25.014624512991
新北市雙溪區長源里9鄰柑腳16號,65,6502500,6502500-011,9鄰,柑腳,,,,,,16號,121.80494706631,25.01460300891
新北市雙溪區長源里9鄰柑腳17號,65,6502500,6502500-011,9鄰,柑腳,,,,,,17號,121.8049108809,25.014591829782
新北市雙溪區長源里9鄰柑腳18號,65,6502500,6502500-011,9鄰,柑腳,,,,,,18號,121.80486179075,25.014582878141
新北市雙溪區長源里5鄰柑腳58之1號,65,6502500,6502500-011,5鄰,柑腳,,,,,,58之1號,121.79454140875,25.006516371598
