FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市中和區中原里1鄰橋和路281巷1號,65,6500300,6500300-001,1鄰,橋和路,,281巷,,,,1號,121.49575948711,25.006984647648
新北市中和區中原里22鄰橋和路160巷1號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,1號,121.49447081193,25.005901595319
新北市中和區中原里1鄰橋和路281巷1之1號,65,6500300,6500300-001,1鄰,橋和路,,281巷,,,,1之1號,121.49573869602,25.007030101487
新北市中和區中原里22鄰橋和路160巷2號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,2號,121.49421644416,25.005876159777
新北市中和區中原里1鄰橋和路281巷2號,65,6500300,6500300-001,1鄰,橋和路,,281巷,,,,2號,121.49593751407,25.006931501239
新北市中和區中原里1鄰橋和路271巷2號,65,6500300,6500300-001,1鄰,橋和路,,271巷,,,,2號,121.49582447542,25.00685066083
新北市中和區中原里9鄰橋和路2之1號,65,6500300,6500300-001,9鄰,橋和路,,,,,,2之1號,121.48845298357,25.004891953139
新北市中和區中原里22鄰橋和路160巷3號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,3號,121.49448896838,25.005853757945
新北市中和區中原里11鄰橋和路112巷4號,65,6500300,6500300-001,11鄰,橋和路,,112巷,,,,4號,121.49128693295,25.004822898349
新北市中和區中原里1鄰橋和路271巷4號,65,6500300,6500300-001,1鄰,橋和路,,271巷,,,,4號,121.49586906612,25.006857680528
新北市中和區中原里1鄰橋和路281巷4號,65,6500300,6500300-001,1鄰,橋和路,,281巷,,,,4號,121.49592978244,25.006962574846
新北市中和區中原里22鄰橋和路160巷5號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,5號,121.49450451896,25.005808321694
新北市中和區中原里11鄰橋和路112巷6號,65,6500300,6500300-001,11鄰,橋和路,,112巷,,,,6號,121.49130980908,25.004641275475
新北市中和區中原里22鄰橋和路160巷6號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,6號,121.49423202352,25.005837891815
新北市中和區中原里1鄰橋和路281巷6號,65,6500300,6500300-001,1鄰,橋和路,,281巷,,,,6號,121.49591418429,25.006996067143
新北市中和區中原里1鄰橋和路271巷6號,65,6500300,6500300-001,1鄰,橋和路,,271巷,,,,6號,121.49578002856,25.00687947339
新北市中和區中原里22鄰橋和路160巷7號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,7號,121.49451747287,25.005770062433
新北市中和區中原里11鄰橋和路112巷8號,65,6500300,6500300-001,11鄰,橋和路,,112巷,,,,8號,121.49134587709,25.004483506563
新北市中和區中原里1鄰橋和路281巷8號,65,6500300,6500300-001,1鄰,橋和路,,281巷,,,,8號,121.49589857657,25.007027176038
新北市中和區中原里22鄰橋和路160巷8號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,8號,121.49424235218,25.0057996413
新北市中和區中原里22鄰橋和路160巷9號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,9號,121.49453042642,25.005734186605
新北市中和區中原里11鄰橋和路112巷10號,65,6500300,6500300-001,11鄰,橋和路,,112巷,,,,10號,121.49137417395,25.004349642803
新北市中和區中原里22鄰橋和路160巷10號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,10號,121.49425529661,25.00575898963
新北市中和區中原里22鄰橋和路160巷11號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,11號,121.49454861222,25.005691215303
新北市中和區中原里22鄰橋和路160巷12號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,12號,121.49427347224,25.005715928113
新北市中和區中原里9鄰橋和路12號,65,6500300,6500300-001,9鄰,橋和路,,,,,,12號,121.48916057992,25.005018604104
新北市中和區中原里22鄰橋和路160巷15號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,15號,121.49462549811,25.005910632777
新北市中和區中原里22鄰橋和路160巷16號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,16號,121.49429165743,25.005675259023
新北市中和區中原里22鄰橋和路160巷17號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,17號,121.49464106777,25.005869972345
新北市中和區中原里23鄰橋和路160巷18號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,18號,121.49430460183,25.005634607348
新北市中和區中原里22鄰橋和路160巷19號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,19號,121.49464879041,25.005834113903
新北市中和區中原里23鄰橋和路160巷20號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,20號,121.49432016202,25.005591563545
新北市中和區中原里22鄰橋和路160巷21號,65,6500300,6500300-001,22鄰,橋和路,,160巷,,,,21號,121.49463552086,25.005793549379
新北市中和區中原里23鄰橋和路160巷22號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,22號,121.4943331064,25.005550911868
新北市中和區中原里24鄰橋和路160巷23號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,23號,121.49459726636,25.005404319213
新北市中和區中原里24鄰橋和路160巷25號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,25號,121.49462069217,25.005363632657
新北市中和區中原里23鄰橋和路160巷26號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,26號,121.49434866621,25.005510251496
新北市中和區中原里24鄰橋和路160巷27號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,27號,121.49463888677,25.005325355956
新北市中和區中原里23鄰橋和路160巷28號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,28號,121.49436683223,25.005464806565
新北市中和區中原里24鄰橋和路160巷29號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,29號,121.49465968758,25.005282294689
新北市中和區中原里23鄰橋和路160巷30號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,30號,121.49438235411,25.005412202062
新北市中和區中原里24鄰橋和路160巷31號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,31號,121.494677863,25.005239233122
新北市中和區中原里23鄰橋和路160巷32號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,32號,121.4943715376,25.005331020699
新北市中和區中原里24鄰橋和路160巷33號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,33號,121.49470130788,25.005203322386
新北市中和區中原里24鄰橋和路160巷35號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,35號,121.49467075263,25.005427963338
新北市中和區中原里23鄰橋和路160巷36號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,36號,121.49439232892,25.005285567038
新北市中和區中原里24鄰橋和路160巷37號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,37號,121.49469416887,25.005384893369
新北市中和區中原里23鄰橋和路160巷38號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,38號,121.4944104949,25.0052401221
新北市中和區中原里24鄰橋和路160巷39號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,39號,121.49472539378,25.005327460708
新北市中和區中原里24鄰橋和路160巷41號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,41號,121.49474877169,25.005274830037
新北市中和區中原里23鄰橋和路160巷42號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,42號,121.49442344879,25.005201862844
新北市中和區中原里24鄰橋和路160巷43號,65,6500300,6500300-001,24鄰,橋和路,,160巷,,,,43號,121.49476955328,25.005226983895
新北市中和區中原里23鄰橋和路160巷46號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,46號,121.49443901843,25.00516120243
新北市中和區中原里23鄰橋和路160巷48號,65,6500300,6500300-001,23鄰,橋和路,,160巷,,,,48號,121.49445199142,25.005127719004
新北市中和區中原里9鄰橋和路56號,65,6500300,6500300-001,9鄰,橋和路,,,,,,56號,121.48942686677,25.005077449428
新北市中和區中原里9鄰橋和路60號,65,6500300,6500300-001,9鄰,橋和路,,,,,,60號,121.48972598277,25.00515051388
新北市中和區中原里11鄰橋和路81號,65,6500300,6500300-001,11鄰,橋和路,,,,,,81號,121.48937561331,25.005371430613
新北市中和區中原里11鄰橋和路85號,65,6500300,6500300-001,11鄰,橋和路,,,,,,85號,121.49000524432,25.005505511397
